region	population	upstream_vmr_run_id	vmr_set_id	expected_tasks	expected_initial_chunks	chunk_attempt_receipts	normally_completed_chunk_attempts	interrupted_chunk_attempts	vmrs_recorded_in_chunk_receipts	recorded_tasks	analyzed_tasks	excluded_tasks	failed_tasks	failure_rate	qc_failed_tasks	qc_failure_rate	computational_failed_tasks	computational_failure_rate	within_domain_rate	positive_signal_rate	complete	failure_qc_pass	computational_qc_pass	domain_qc_pass	overall_qc_pass
caudate	AA	vmrcat-AA-caudate-20260816	vmrset-AA-caudate-937a41979978	11530	462	462	462	0	11530	11530	11343	0	187	0.0162185602775369	187	0.0162185602775369	0	0	0.757118927973199	0.400511328572688	TRUE	TRUE	TRUE	FALSE	FALSE
dlpfc	AA	vmrcat-AA-dlpfc-20260816	vmrset-AA-dlpfc-856067dfe289	9572	383	383	383	0	9572	9572	9347	0	225	0.0235060593397409	225	0.0235060593397409	0	0	0.773938161977105	0.383652508826361	TRUE	TRUE	TRUE	FALSE	FALSE
hippocampus	AA	vmrcat-AA-hippocampus-20260816	vmrset-AA-hippocampus-2d907b892215	9497	380	380	380	0	9497	9497	9272	0	225	0.0236916921132989	225	0.0236916921132989	0	0	0.759383088869715	0.419542709232097	TRUE	TRUE	TRUE	FALSE	FALSE
caudate	all_individuals	vmrcat-all_individuals-caudate-20260816	vmrset-all_individuals-caudate-cb5519d7d2ad	11463	459	459	459	0	11463	11463	11243	0	220	0.0191921835470645	220	0.0191921835470645	0	0	0.495775148981589	0.461086898514631	TRUE	TRUE	TRUE	FALSE	FALSE
dlpfc	all_individuals	vmrcat-all_individuals-dlpfc-20260816	vmrset-all_individuals-dlpfc-e88f46904afb	9374	375	375	375	0	9374	9374	9133	0	241	0.0257094090036271	241	0.0257094090036271	0	0	0.748384977553925	0.450563889193036	TRUE	TRUE	TRUE	FALSE	FALSE
hippocampus	all_individuals	vmrcat-all_individuals-hippocampus-20260816	vmrset-all_individuals-hippocampus-809f8de0db2d	9365	375	375	375	0	9365	9365	9127	0	238	0.0254137746930059	238	0.0254137746930059	0	0	0.744056097293744	0.461707023118221	TRUE	TRUE	TRUE	FALSE	FALSE
