h2_quintile	n	n_annotated	frac	h2_median	h2_lo	h2_hi	ci_lo	ci_hi	annotation	annot_col	tissue
Q1	1461	453	0.31006160164271	0.0461967807045408	0.0065022177960695	0.0594841719687087	0.286863778890614	0.334255628497803	Promoter	hg38_genes_promoters	Caudate
Q2	1461	401	0.274469541409993	0.0707679716263181	0.0594992311374911	0.0827578092872193	0.252193517118249	0.297928445888899	Promoter	hg38_genes_promoters	Caudate
Q3	1460	374	0.256164383561644	0.0967592037287845	0.0827913325134887	0.119031853756577	0.234424588917939	0.279183940400801	Promoter	hg38_genes_promoters	Caudate
Q4	1461	388	0.265571526351814	0.169661240509978	0.119035851148686	0.323380126305565	0.243553487831659	0.288819114080172	Promoter	hg38_genes_promoters	Caudate
Q5	1461	181	0.123887748117728	0.567878039119449	0.323538635121353	1.01949255185383	0.107945356734493	0.14180280312113	Promoter	hg38_genes_promoters	Caudate
Q1	1461	145	0.0992470910335387	0.0461967807045408	0.0065022177960695	0.0594841719687087	0.0849147829617359	0.115681300014546	Enhancer	hg38_enhancers_fantom	Caudate
Q2	1461	155	0.106091718001369	0.0707679716263181	0.0594992311374911	0.0827578092872193	0.0912869854759285	0.122962452189059	Enhancer	hg38_enhancers_fantom	Caudate
Q3	1460	168	0.115068493150685	0.0967592037287845	0.0827913325134887	0.119031853756577	0.0996695696570043	0.132487715391117	Enhancer	hg38_enhancers_fantom	Caudate
Q4	1461	112	0.0766598220396988	0.169661240509978	0.119035851148686	0.323380126305565	0.0640555539699203	0.0914844585336331	Enhancer	hg38_enhancers_fantom	Caudate
Q5	1461	54	0.0369609856262834	0.567878039119449	0.323538635121353	1.01949255185383	0.0283625024584065	0.0479880528506539	Enhancer	hg38_enhancers_fantom	Caudate
Q1	1461	521	0.356605065023956	0.0461967807045408	0.0065022177960695	0.0594841719687087	0.332446041812181	0.381516177459435	1–5 kb upstream	hg38_genes_1to5kb	Caudate
Q2	1461	476	0.32580424366872	0.0707679716263181	0.0594992311374911	0.0827578092872193	0.302251666074677	0.350270457097763	1–5 kb upstream	hg38_genes_1to5kb	Caudate
Q3	1460	440	0.301369863013699	0.0967592037287845	0.0827913325134887	0.119031853756577	0.27837379506279	0.325408433876632	1–5 kb upstream	hg38_genes_1to5kb	Caudate
Q4	1461	446	0.305270362765229	0.169661240509978	0.119035851148686	0.323380126305565	0.282186773548665	0.329375285557658	1–5 kb upstream	hg38_genes_1to5kb	Caudate
Q5	1461	306	0.209445585215606	0.567878039119449	0.323538635121353	1.01949255185383	0.189341824527631	0.231073268936813	1–5 kb upstream	hg38_genes_1to5kb	Caudate
Q1	1461	224	0.153319644079398	0.0461967807045408	0.0065022177960695	0.0594841719687087	0.135733467946115	0.172724117070942	Intergenic	hg38_genes_intergenic	Caudate
Q2	1461	239	0.163586584531143	0.0707679716263181	0.0594992311374911	0.0827578092872193	0.145485326026671	0.183452291023444	Intergenic	hg38_genes_intergenic	Caudate
Q3	1460	281	0.192465753424658	0.0967592037287845	0.0827913325134887	0.119031853756577	0.173044941697214	0.213500647246926	Intergenic	hg38_genes_intergenic	Caudate
Q4	1461	383	0.262149212867899	0.169661240509978	0.119035851148686	0.323380126305565	0.240233489921814	0.285312434645663	Intergenic	hg38_genes_intergenic	Caudate
Q5	1461	577	0.394934976043806	0.567878039119449	0.323538635121353	1.01949255185383	0.370174260895642	0.420246744632726	Intergenic	hg38_genes_intergenic	Caudate
Q1	997	226	0.226680040120361	0.0863493049895175	0.0114161134972332	0.103105782482204	0.201747884128486	0.253710325364373	Promoter	hg38_genes_promoters	DLPFC
Q2	996	221	0.221887550200803	0.109092883029955	0.103112626256095	0.116149231994899	0.197156358958819	0.248755795300678	Promoter	hg38_genes_promoters	DLPFC
Q3	996	233	0.233935742971888	0.124714545990232	0.116202589805411	0.135012584547746	0.208678288279358	0.261237671571785	Promoter	hg38_genes_promoters	DLPFC
Q4	996	247	0.247991967871486	0.149572466171768	0.1350551862031	0.174833057110815	0.222157474346868	0.275762925361197	Promoter	hg38_genes_promoters	DLPFC
Q5	997	265	0.26579739217653	0.253236134491013	0.174910466504385	0.787118696169704	0.239298502967042	0.294094127919499	Promoter	hg38_genes_promoters	DLPFC
Q1	997	86	0.086258776328987	0.0863493049895175	0.0114161134972332	0.103105782482204	0.0703095259125279	0.105384093961983	Enhancer	hg38_enhancers_fantom	DLPFC
Q2	996	103	0.103413654618474	0.109092883029955	0.103112626256095	0.116149231994899	0.0859408347177395	0.123933897890569	Enhancer	hg38_enhancers_fantom	DLPFC
Q3	996	85	0.0853413654618474	0.124714545990232	0.116202589805411	0.135012584547746	0.0694710802132787	0.10439794400756	Enhancer	hg38_enhancers_fantom	DLPFC
Q4	996	89	0.0893574297188755	0.149572466171768	0.1350551862031	0.174833057110815	0.0731135813602414	0.108756711391146	Enhancer	hg38_enhancers_fantom	DLPFC
Q5	997	57	0.0571715145436309	0.253236134491013	0.174910466504385	0.787118696169704	0.0442883757695558	0.0734540076840118	Enhancer	hg38_enhancers_fantom	DLPFC
Q1	997	311	0.311935807422267	0.0863493049895175	0.0114161134972332	0.103105782482204	0.283937502685818	0.341377779075323	1–5 kb upstream	hg38_genes_1to5kb	DLPFC
Q2	996	322	0.323293172690763	0.109092883029955	0.103112626256095	0.116149231994899	0.29496403578489	0.352980148870964	1–5 kb upstream	hg38_genes_1to5kb	DLPFC
Q3	996	301	0.302208835341365	0.124714545990232	0.116202589805411	0.135012584547746	0.274484330172327	0.331453194698146	1–5 kb upstream	hg38_genes_1to5kb	DLPFC
Q4	996	326	0.327309236947791	0.149572466171768	0.1350551862031	0.174833057110815	0.29887260289594	0.357072850290463	1–5 kb upstream	hg38_genes_1to5kb	DLPFC
Q5	997	323	0.323971915747242	0.253236134491013	0.174910466504385	0.787118696169704	0.295638285031867	0.353656818696561	1–5 kb upstream	hg38_genes_1to5kb	DLPFC
Q1	997	157	0.157472417251755	0.0863493049895175	0.0114161134972332	0.103105782482204	0.136144530049181	0.181429703131778	Intergenic	hg38_genes_intergenic	DLPFC
Q2	996	157	0.157630522088353	0.109092883029955	0.103112626256095	0.116149231994899	0.136282835748953	0.181609022021764	Intergenic	hg38_genes_intergenic	DLPFC
Q3	996	148	0.14859437751004	0.124714545990232	0.116202589805411	0.135012584547746	0.127815010338439	0.172073993238543	Intergenic	hg38_genes_intergenic	DLPFC
Q4	996	165	0.16566265060241	0.149572466171768	0.1350551862031	0.174833057110815	0.143831428095918	0.190062966735897	Intergenic	hg38_genes_intergenic	DLPFC
Q5	997	205	0.205616850551655	0.253236134491013	0.174910466504385	0.787118696169704	0.181657334196047	0.23183618685406	Intergenic	hg38_genes_intergenic	DLPFC
Q1	1002	232	0.231536926147705	0.0855140719387054	0.0065185428507576	0.104630245765985	0.20645417293624	0.258670280542957	Promoter	hg38_genes_promoters	Hippocampus
Q2	1002	224	0.223552894211577	0.11207312360807	0.104640563742705	0.120441913477684	0.198818347171743	0.250399026857022	Promoter	hg38_genes_promoters	Hippocampus
Q3	1001	239	0.238761238761239	0.132059088294595	0.120445097238159	0.147223781949521	0.213362428966768	0.26615745408642	Promoter	hg38_genes_promoters	Hippocampus
Q4	1002	253	0.25249500998004	0.171413147645477	0.147241622642509	0.232836740110091	0.226558773693203	0.280321763343381	Promoter	hg38_genes_promoters	Hippocampus
Q5	1002	182	0.181636726546906	0.415138604240861	0.233079059715689	0.82568009657015	0.158964366431101	0.206740840482892	Promoter	hg38_genes_promoters	Hippocampus
Q1	1002	106	0.105788423153693	0.0855140719387054	0.0065185428507576	0.104630245765985	0.088167928688707	0.126420023446174	Enhancer	hg38_enhancers_fantom	Hippocampus
Q2	1002	84	0.0838323353293413	0.11207312360807	0.104640563742705	0.120441913477684	0.0681483361524269	0.102695147493764	Enhancer	hg38_enhancers_fantom	Hippocampus
Q3	1001	87	0.0869130869130869	0.132059088294595	0.120445097238159	0.147223781949521	0.070931985697587	0.106052609493592	Enhancer	hg38_enhancers_fantom	Hippocampus
Q4	1002	87	0.0868263473053892	0.171413147645477	0.147241622642509	0.232836740110091	0.0708606190574951	0.105948019382608	Enhancer	hg38_enhancers_fantom	Hippocampus
Q5	1002	53	0.0528942115768463	0.415138604240861	0.233079059715689	0.82568009657015	0.0405609028115056	0.0686426479642583	Enhancer	hg38_enhancers_fantom	Hippocampus
Q1	1002	324	0.323353293413174	0.0855140719387054	0.0065185428507576	0.104630245765985	0.295105227428596	0.352950639730579	1–5 kb upstream	hg38_genes_1to5kb	Hippocampus
Q2	1002	311	0.310379241516966	0.11207312360807	0.104640563742705	0.120441913477684	0.282493768914972	0.339713094137249	1–5 kb upstream	hg38_genes_1to5kb	Hippocampus
Q3	1001	303	0.302697302697303	0.132059088294595	0.120445097238159	0.147223781949521	0.27502532421375	0.331877837939232	1–5 kb upstream	hg38_genes_1to5kb	Hippocampus
Q4	1002	336	0.335329341317365	0.171413147645477	0.147241622642509	0.232836740110091	0.306768943813005	0.365147542521819	1–5 kb upstream	hg38_genes_1to5kb	Hippocampus
