term	estimate	std.error	statistic	p.value	conf.low	conf.high	annotation	annot_col	tissue	n_vmrs	n_annotated	fdr
h2_scaled	0.826910319759286	0.0167469298881249	-11.3488879182252	7.51119278825141e-30	0.799885393768073	0.854178104728176	Promoter	hg38_genes_promoters	Caudate	7304	1797	4.50671567295085e-29
h2_scaled	0.73566680220282	0.0287334794530433	-10.6836339698912	1.21423414379549e-26	0.694251683245857	0.777122144476097	Enhancer	hg38_enhancers_fantom	Caudate	7304	634	4.85693657518198e-26
h2_scaled	0.880901263986265	0.0143059951259865	-8.8640972452544	7.71264186750582e-19	0.856358271449702	0.905766062336402	1–5 kb upstream	hg38_genes_1to5kb	Caudate	7304	2189	2.31379256025175e-18
h2_scaled	1.17727258009654	0.0131658159894659	12.3957672250031	2.75496254066313e-35	1.14729387927669	1.20806913817451	Intergenic	hg38_genes_intergenic	Caudate	7304	1704	3.30595504879575e-34
h2_scaled	1.00203646222338	0.0327682709208114	0.0620841865596101	0.950495790000855	0.939036882329332	1.06783078127499	Promoter	hg38_genes_promoters	DLPFC	4982	1192	0.950495790000855
h2_scaled	0.834492815257129	0.0577133715208527	-3.13499524958249	0.00171856894489184	0.742666641706853	0.931344419436124	Enhancer	hg38_enhancers_fantom	DLPFC	4982	420	0.00206228273387021
h2_scaled	1.02271153601036	0.0301158514885168	0.745702598850468	0.45584708892404	0.963710288160109	1.0845435750323	1–5 kb upstream	hg38_genes_1to5kb	DLPFC	4982	1583	0.49728773337168
h2_scaled	1.15704978084254	0.0347869516451702	4.19333877158633	2.74878465007786e-05	1.08000559506811	1.2379312765614	Intergenic	hg38_genes_intergenic	DLPFC	4982	832	4.71220225727634e-05
h2_scaled	0.904943975300423	0.0285721804114112	-3.4957865135119	0.00047266670310944	0.854984301771069	0.956364595512925	Promoter	hg38_genes_promoters	Hippocampus	5009	1130	0.000630222270812586
h2_scaled	0.757084801343605	0.0500779728534977	-5.55693437755395	2.74553920671054e-08	0.6840957292261	0.832644257040649	Enhancer	hg38_enhancers_fantom	Hippocampus	5009	417	6.5892940961053e-08
h2_scaled	0.906965171820585	0.0253992626793093	-3.84464817553952	0.000120725519612483	0.86247815203004	0.952809392867528	1–5 kb upstream	hg38_genes_1to5kb	Hippocampus	5009	1514	0.000181088279418725
h2_scaled	1.13539389912803	0.0247752538395447	5.12526084449082	2.97126100784345e-07	1.08130893199321	1.19164227611087	Intergenic	hg38_genes_intergenic	Hippocampus	5009	1112	5.9425220156869e-07
