term	estimate	std.error	statistic	p.value	conf.low	conf.high	annotation	annot_col	tissue	n_vmrs	n_annotated	fdr
h2_scaled	0.825833949441939	0.0168948254071996	-11.3266370494782	9.68523421170063e-30	0.798611573455766	0.853312587417479	Promoter	hg38_genes_promoters	Caudate	7194	1745	5.81114052702038e-29
h2_scaled	0.735016101169797	0.0288325233412941	-10.6776250559677	1.29543386401975e-26	0.693503025345908	0.776586314269024	Enhancer	hg38_enhancers_fantom	Caudate	7194	625	5.181735456079e-26
h2_scaled	0.879472621325075	0.0144054442477586	-8.91557684012722	4.85283357818185e-19	0.854804085648344	0.90447471336327	1–5 kb upstream	hg38_genes_1to5kb	Caudate	7194	2160	1.45585007345455e-18
h2_scaled	1.17822263538607	0.0132713943016559	12.3579375331498	4.41335064559253e-35	1.1479844584265	1.20929686664108	Intergenic	hg38_genes_intergenic	Caudate	7194	1676	5.29602077471104e-34
h2_scaled	0.984938065769728	0.0335809555984978	-0.451938216395847	0.651313492207014	0.92149608530296	1.05122777657255	Promoter	hg38_genes_promoters	DLPFC	4954	1181	0.710523809680379
h2_scaled	0.839083976060162	0.0581858451666012	-3.01524342158454	0.00256773087088375	0.745974886948206	0.937238002886387	Enhancer	hg38_enhancers_fantom	DLPFC	4954	418	0.0030812770450605
h2_scaled	1.00661742874998	0.0307401614133819	0.214560671818782	0.830109859108816	0.947341212919088	1.0687361793572	1–5 kb upstream	hg38_genes_1to5kb	DLPFC	4954	1577	0.830109859108816
h2_scaled	1.19698638407886	0.035159626996048	5.1140204500122	3.15373192011055e-07	1.1165254386445	1.28167362478004	Intergenic	hg38_genes_intergenic	DLPFC	4954	820	5.40639757733238e-07
h2_scaled	0.89585746017725	0.0290268655208631	-3.78869579311167	0.000151440216005296	0.845615410655212	0.947573487559386	Promoter	hg38_genes_promoters	Hippocampus	4965	1117	0.000201920288007061
h2_scaled	0.759340894860677	0.0502418757962692	-5.47958174762006	4.26332437907253e-08	0.685886900149478	0.835366088519534	Enhancer	hg38_enhancers_fantom	Hippocampus	4965	415	8.52664875814505e-08
h2_scaled	0.897888223343342	0.0257405260165639	-4.18444018003444	2.85869710635217e-05	0.853254470619345	0.943882443670248	1–5 kb upstream	hg38_genes_1to5kb	Hippocampus	4965	1502	4.28804565952826e-05
h2_scaled	1.15021615444034	0.0249428419129463	5.61082356149184	2.01365990986238e-08	1.09507888528369	1.20761144168782	Intergenic	hg38_genes_intergenic	Hippocampus	4965	1092	4.83278378366972e-08
