h2_quintile	n	n_annotated	frac	h2_median	h2_lo	h2_hi	ci_lo	ci_hi	annotation	annot_col	tissue
Q1	1461	434	0.297056810403833	0.0495467570622312	0.0059015583517739	0.0635977923336054	0.274176026958216	0.32100200652166	Promoter	hg38_genes_promoters	Caudate
Q2	1461	417	0.285420944558522	0.0749954367455366	0.0636123029626023	0.085890323747662	0.26284291330393	0.309124417205147	Promoter	hg38_genes_promoters	Caudate
Q3	1460	388	0.265753424657534	0.097654000463005	0.085894856585525	0.128156177244185	0.243722673845856	0.289013609937876	Promoter	hg38_genes_promoters	Caudate
Q4	1461	374	0.255989048596851	0.193318108704312	0.128183104641008	0.369884695152155	0.234261917208425	0.278995988139217	Promoter	hg38_genes_promoters	Caudate
Q5	1461	184	0.125941136208077	0.617172235634496	0.370057666059546	0.927094064327171	0.109875086436377	0.143969079825857	Promoter	hg38_genes_promoters	Caudate
Q1	1461	159	0.108829568788501	0.0495467570622312	0.0059015583517739	0.0635977923336054	0.0938416138414144	0.125869165699056	Enhancer	hg38_enhancers_fantom	Caudate
Q2	1461	152	0.10403832991102	0.0749954367455366	0.0636123029626023	0.085890323747662	0.0893731263414856	0.120780304916891	Enhancer	hg38_enhancers_fantom	Caudate
Q3	1460	151	0.103424657534247	0.097654000463005	0.085894856585525	0.128156177244185	0.088796826934374	0.120133899120541	Enhancer	hg38_enhancers_fantom	Caudate
Q4	1461	125	0.0855578370978782	0.193318108704312	0.128183104641008	0.369884695152155	0.0722386796059033	0.101050693992968	Enhancer	hg38_enhancers_fantom	Caudate
Q5	1461	47	0.0321697467488022	0.617172235634496	0.370057666059546	0.927094064327171	0.0241957505968715	0.0425974564300949	Enhancer	hg38_enhancers_fantom	Caudate
Q1	1461	514	0.351813826146475	0.0495467570622312	0.0059015583517739	0.0635977923336054	0.327741750641639	0.376663120347883	1–5 kb upstream	hg38_genes_1to5kb	Caudate
Q2	1461	469	0.321013004791239	0.0749954367455366	0.0636123029626023	0.085890323747662	0.297565099366107	0.34539967552424	1–5 kb upstream	hg38_genes_1to5kb	Caudate
Q3	1460	462	0.316438356164384	0.097654000463005	0.085894856585525	0.128156177244185	0.293085254002241	0.340754874810743	1–5 kb upstream	hg38_genes_1to5kb	Caudate
Q4	1461	440	0.301163586584531	0.193318108704312	0.128183104641008	0.369884695152155	0.278180289562819	0.325189756730281	1–5 kb upstream	hg38_genes_1to5kb	Caudate
Q5	1461	304	0.20807665982204	0.617172235634496	0.370057666059546	0.927094064327171	0.18802639360527	0.229658028921432	1–5 kb upstream	hg38_genes_1to5kb	Caudate
Q1	1461	221	0.151266255989049	0.0495467570622312	0.0059015583517739	0.0635977923336054	0.133786444544405	0.170575134066041	Intergenic	hg38_genes_intergenic	Caudate
Q2	1461	247	0.169062286105407	0.0749954367455366	0.0636123029626023	0.085890323747662	0.150697226197796	0.189163074603284	Intergenic	hg38_genes_intergenic	Caudate
Q3	1460	296	0.202739726027397	0.097654000463005	0.085894856585525	0.128156177244185	0.182894903506868	0.224144708078336	Intergenic	hg38_genes_intergenic	Caudate
Q4	1461	362	0.247775496235455	0.193318108704312	0.128183104641008	0.369884695152155	0.226308867748606	0.270565011972589	Intergenic	hg38_genes_intergenic	Caudate
Q5	1461	578	0.395619438740589	0.617172235634496	0.370057666059546	0.927094064327171	0.370849461016428	0.42093687998081	Intergenic	hg38_genes_intergenic	Caudate
Q1	997	234	0.234704112337011	0.0907995568622033	0.0065036218737795	0.112264837507939	0.209426273656006	0.262018483815045	Promoter	hg38_genes_promoters	DLPFC
Q2	996	221	0.221887550200803	0.128877504838167	0.112339753629395	0.144242782848295	0.197156358958819	0.248755795300678	Promoter	hg38_genes_promoters	DLPFC
Q3	996	227	0.227911646586345	0.160089786922105	0.144280328651347	0.176969130395479	0.202913561330044	0.255000495725276	Promoter	hg38_genes_promoters	DLPFC
Q4	996	240	0.240963855421687	0.199134352189285	0.176972835152218	0.235008316950434	0.215413045648632	0.268505134130972	Promoter	hg38_genes_promoters	DLPFC
Q5	997	270	0.270812437311936	0.297932420277131	0.235009916698501	0.837824725111928	0.244133237702413	0.299250985670498	Promoter	hg38_genes_promoters	DLPFC
Q1	997	93	0.0932798395185557	0.0907995568622033	0.0065036218737795	0.112264837507939	0.0766888699506371	0.112992979404791	Enhancer	hg38_enhancers_fantom	DLPFC
Q2	996	94	0.0943775100401606	0.128877504838167	0.112339753629395	0.144242782848295	0.0776813195405991	0.114190558873975	Enhancer	hg38_enhancers_fantom	DLPFC
Q3	996	90	0.0903614457831325	0.160089786922105	0.144280328651347	0.176969130395479	0.0740258620511508	0.109844747832874	Enhancer	hg38_enhancers_fantom	DLPFC
Q4	996	88	0.0883534136546185	0.199134352189285	0.176972835152218	0.235008316950434	0.0722019528755017	0.107668022743249	Enhancer	hg38_enhancers_fantom	DLPFC
Q5	997	55	0.0551654964894684	0.297932420277131	0.235009916698501	0.837824725111928	0.0425244839650509	0.0712212624939688	Enhancer	hg38_enhancers_fantom	DLPFC
Q1	997	307	0.307923771313942	0.0907995568622033	0.0065036218737795	0.112264837507939	0.280042175071126	0.33727983270092	1–5 kb upstream	hg38_genes_1to5kb	DLPFC
Q2	996	308	0.309236947791165	0.128877504838167	0.112339753629395	0.144242782848295	0.281303265616706	0.338636479182227	1–5 kb upstream	hg38_genes_1to5kb	DLPFC
Q3	996	307	0.308232931726908	0.160089786922105	0.144280328651347	0.176969130395479	0.280328658470517	0.337610769195779	1–5 kb upstream	hg38_genes_1to5kb	DLPFC
Q4	996	317	0.318273092369478	0.199134352189285	0.176972835152218	0.235008316950434	0.290081732555616	0.347860866437052	1–5 kb upstream	hg38_genes_1to5kb	DLPFC
Q5	997	344	0.345035105315948	0.297932420277131	0.235009916698501	0.837824725111928	0.316166498750801	0.37509329342038	1–5 kb upstream	hg38_genes_1to5kb	DLPFC
Q1	997	154	0.154463390170512	0.0907995568622033	0.0065036218737795	0.112264837507939	0.133321863554002	0.178257414135135	Intergenic	hg38_genes_intergenic	DLPFC
Q2	996	156	0.156626506024096	0.128877504838167	0.112339753629395	0.144242782848295	0.135340664129557	0.180550876508523	Intergenic	hg38_genes_intergenic	DLPFC
Q3	996	157	0.157630522088353	0.160089786922105	0.144280328651347	0.176969130395479	0.136282835748953	0.181609022021764	Intergenic	hg38_genes_intergenic	DLPFC
Q4	996	173	0.173694779116466	0.199134352189285	0.176972835152218	0.235008316950434	0.151399159134365	0.198497772758547	Intergenic	hg38_genes_intergenic	DLPFC
Q5	997	192	0.192577733199599	0.297932420277131	0.235009916698501	0.837824725111928	0.169271133849497	0.218244246736049	Intergenic	hg38_genes_intergenic	DLPFC
Q1	1002	225	0.224550898203593	0.0937281292973979	0.0031983384614524	0.115862597199833	0.199772100181808	0.251433658778261	Promoter	hg38_genes_promoters	Hippocampus
Q2	1002	227	0.226546906187625	0.131951183611051	0.115960287356089	0.147037663734527	0.201680232599539	0.253502296223138	Promoter	hg38_genes_promoters	Hippocampus
Q3	1001	242	0.241758241758242	0.163576005153553	0.147044690854388	0.186954863143113	0.216236335101883	0.269254639159108	Promoter	hg38_genes_promoters	Hippocampus
Q4	1002	245	0.244510978043912	0.216380879727251	0.186989689875044	0.2678828413954	0.218889843778813	0.272083613807337	Promoter	hg38_genes_promoters	Hippocampus
Q5	1002	191	0.19061876247505	0.3967785037751	0.267902376633337	0.803729430239387	0.167468922164819	0.216131749130911	Promoter	hg38_genes_promoters	Hippocampus
Q1	1002	115	0.114770459081836	0.0937281292973979	0.0031983384614524	0.115862597199833	0.0964341442793802	0.136049272237238	Enhancer	hg38_enhancers_fantom	Hippocampus
Q2	1002	89	0.0888223552894212	0.131951183611051	0.115960287356089	0.147037663734527	0.0726721629398583	0.108113245362853	Enhancer	hg38_enhancers_fantom	Hippocampus
Q3	1001	73	0.0729270729270729	0.163576005153553	0.147044690854388	0.186954863143113	0.0583182664231522	0.0908012364649469	Enhancer	hg38_enhancers_fantom	Hippocampus
Q4	1002	80	0.0798403193612774	0.216380879727251	0.186989689875044	0.2678828413954	0.0645418060882613	0.0983481378327133	Enhancer	hg38_enhancers_fantom	Hippocampus
Q5	1002	60	0.0598802395209581	0.3967785037751	0.267902376633337	0.803729430239387	0.0467072537640419	0.0764149915308507	Enhancer	hg38_enhancers_fantom	Hippocampus
Q1	1002	317	0.316367265469062	0.0937281292973979	0.0031983384614524	0.115862597199833	0.288311261828063	0.345825910811983	1–5 kb upstream	hg38_genes_1to5kb	Hippocampus
Q2	1002	309	0.308383233532934	0.131951183611051	0.115960287356089	0.147037663734527	0.280555831672902	0.337674261516711	1–5 kb upstream	hg38_genes_1to5kb	Hippocampus
Q3	1001	324	0.323676323676324	0.163576005153553	0.147044690854388	0.186954863143113	0.295405817154726	0.353294983452876	1–5 kb upstream	hg38_genes_1to5kb	Hippocampus
Q4	1002	298	0.297405189620759	0.216380879727251	0.186989689875044	0.2678828413954	0.269908331037478	0.32644952790779	1–5 kb upstream	hg38_genes_1to5kb	Hippocampus
Q5	1002	266	0.265469061876248	0.3967785037751	0.267902376633337	0.803729430239387	0.239045958782653	0.293683582360884	1–5 kb upstream	hg38_genes_1to5kb	Hippocampus
Q1	1002	206	0.205588822355289	0.0937281292973979	0.0031983384614524	0.115862597199833	0.181687734268384	0.231738710996907	Intergenic	hg38_genes_intergenic	Hippocampus
Q2	1002	190	0.189620758483034	0.131951183611051	0.115960287356089	0.147037663734527	0.166522950277096	0.21508933608733	Intergenic	hg38_genes_intergenic	Hippocampus
Q3	1001	206	0.205794205794206	0.163576005153553	0.147044690854388	0.186954863143113	0.181871794885288	0.231966084882069	Intergenic	hg38_genes_intergenic	Hippocampus
Q4	1002	218	0.217564870259481	0.216380879727251	0.186989689875044	0.2678828413954	0.193100276693991	0.244186787746949	Intergenic	hg38_genes_intergenic	Hippocampus
Q5	1002	292	0.291417165668663	0.3967785037751	0.267902376633337	0.803729430239387	0.264108701520285	0.320318847837158	Intergenic	hg38_genes_intergenic	Hippocampus
