term	estimate	std.error	statistic	p.value	conf.low	conf.high	annotation	annot_col	tissue	n_vmrs	n_annotated	fdr
h2_scaled	0.815720186569559	0.0183569927845085	-11.0957112546375	1.31608925564274e-28	0.786507723288883	0.845214237475286	Promoter	hg38_genes_promoters	Caudate	7194	1745	7.89653553385647e-28
h2_scaled	0.714657763562234	0.0318851368153155	-10.5363042719604	5.87629726956297e-26	0.670052636711019	0.75937335461749	Enhancer	hg38_enhancers_fantom	Caudate	7194	625	2.35051890782519e-25
h2_scaled	0.871541020545001	0.0155299240182771	-8.85338177247364	8.49066165793035e-19	0.845190008954808	0.898255115047701	1–5 kb upstream	hg38_genes_1to5kb	Caudate	7194	2160	2.54719849737911e-18
h2_scaled	1.19113555182972	0.0140554107193554	12.4441114420855	1.50550446668569e-35	1.15878751392552	1.22443584219894	Intergenic	hg38_genes_intergenic	Caudate	7194	1676	1.80660536002283e-34
h2_scaled	0.98415506741193	0.0306767922333146	-0.520647836676078	0.602612118709777	0.925732132645726	1.044154503233	Promoter	hg38_genes_promoters	DLPFC	4954	1181	0.602612118709777
h2_scaled	0.806774444075607	0.0591344963609662	-3.6308950321568	0.000282440046161245	0.713806545832967	0.900582394207236	Enhancer	hg38_enhancers_fantom	DLPFC	4954	418	0.000338928055393494
h2_scaled	0.962464657180227	0.0285559723775656	-1.33975242731341	0.180325846663947	0.909374288370235	1.01718864895839	1–5 kb upstream	hg38_genes_1to5kb	DLPFC	4954	1577	0.196719105451578
h2_scaled	1.21992382901955	0.0295817262228449	6.71997367795974	1.81757392002312e-11	1.15049828638757	1.29211307603814	Intergenic	hg38_genes_intergenic	DLPFC	4954	820	3.63514784004624e-11
h2_scaled	0.901403480464479	0.0260950219147	-3.97785860827692	6.95386996650419e-05	0.855685165984943	0.947913679595267	Promoter	hg38_genes_promoters	Hippocampus	4965	1117	9.27182662200559e-05
h2_scaled	0.793503748500181	0.0446376513549238	-5.18165736767708	2.19922927873845e-07	0.724405756661283	0.863215491966366	Enhancer	hg38_enhancers_fantom	Hippocampus	4965	415	3.7701073349802e-07
h2_scaled	0.89336340290804	0.0231563956730478	-4.86957626446968	1.11837813830835e-06	0.853212921322484	0.934329715995755	1–5 kb upstream	hg38_genes_1to5kb	Hippocampus	4965	1502	1.67756720746253e-06
h2_scaled	1.16068170966644	0.0214147755695201	6.95816366437106	3.44736596555828e-12	1.11276958324701	1.21025883682435	Intergenic	hg38_genes_intergenic	Hippocampus	4965	1092	8.27367831733986e-12
