LD_Decay,h2_category,n,mean_h2,median_h2
0.8,All sites,1000,0.11963913610052361,0.08317999030603704
0.8,Heritable,263,0.23226756084368175,0.180433244405963
0.8,Non-heritable,719,0.07876692992972263,0.0780157962294155
0.8,Low prediction,18,0.10663027662026352,0.0806807239591073
0.7,All sites,1000,0.11272865620112345,0.07775591469913905
0.7,Heritable,200,0.2569089249048383,0.255187529423031
0.7,Non-heritable,785,0.07614577116829867,0.0744225214676839
0.7,Low prediction,15,0.10482939020275518,0.0744657387125582
0.6,All sites,1000,0.11068546629068185,0.07545899878316226
0.6,Heritable,175,0.28261053388200763,0.279723383875309
0.6,Non-heritable,813,0.07438815399337115,0.0735885128781532
0.6,Low prediction,12,0.06258780539331482,0.060318848323367
0.5,All sites,1000,0.1085910521994491,0.07423320425886121
0.5,Heritable,167,0.2906391007966235,0.288449104789786
0.5,Non-heritable,810,0.07310224355664195,0.0722343303678378
0.5,Low prediction,23,0.03658717763186972,0.0367988007226688
