"h2_category","n","mean_h2","median_h2"
"All sites",1000,0.103559967302609,0.0675398952349203
"Heritable",200,0.250767278906503,0.231890522643471
"Low Prediction",7,0.0824258489697202,0.0821314575347498
"Non-Heritable",793,0.0666198367951076,0.0638756708321284
