"h2_category","n","mean_h2","median_h2"
"All sites",1000,0.132661125434446,0.0972546980573619
"Heritable",432,0.187494492904635,0.122755417982718
"Low Prediction",23,0.149066082615271,0.100357563291433
"Non-Heritable",545,0.0885045588981506,0.0887287245138023
