"h2_category","n","mean_h2","median_h2"
"All sites",1000,0.119639136100524,0.083179990306037
"Heritable",263,0.232267560843682,0.180433244405963
"Low Prediction",18,0.106630276620264,0.0806807239591073
"Non-Heritable",719,0.0787669299297226,0.0780157962294155
