"h2_category","n","mean_h2","median_h2"
"All sites",1000,0.0866335807059265,0.0546569399732127
"Heritable",173,0.231305511073314,0.21162529824676
"Low Prediction",6,0.234354600110366,0.138035522669128
"Non-Heritable",821,0.0550689399385883,0.0513862352973505
