"h2_category","n","mean_h2","median_h2"
"All sites",1000,0.251718803547785,0.252638955479777
"Heritable",843,0.274435552593087,0.257621126792515
"Low Prediction",149,0.13209062396154,0.0757623729383274
"Non-Heritable",8,0.0860162176929548,0.0895383860897074
