"h2_category","n","mean_h2","median_h2"
"All sites",1000,0.200164369075379,0.190311315808326
"Heritable",889,0.210128056419591,0.19283225570841
"Low Prediction",60,0.158273864647898,0.0996779193532357
"Non-Heritable",51,0.0757665694017314,0.0788027173728403
