"h2_category","n","mean_h2","median_h2"
"Heritable",5343,0.197948922706508,0.137916091959287
"Non-heritable",4179,0.0740080916122623,0.0773010344433945
"Low prediction",42,0.0572762821615014,0.0530792687860005
