"h2_category","n","mean_h2","median_h2"
"Heritable",5069,0.272256822130909,0.156787825095834
"Non-heritable",6605,0.0670321411640669,0.0687188610450107
"Low prediction",67,0.0618988809025048,0.0505650351072221
