"h2_category","n","mean_h2","median_h2"
"Heritable",5390,0.203879151615646,0.139284482816573
"Non-heritable",4409,0.0737687533762947,0.0766891085494697
"Low prediction",39,0.0629389102304447,0.0595905611963984
