tissue	chr	total_cpg	top1_cpg	sd_cutoff
Caudate	1	1994364	19944	0.0782252643823338
Caudate	2	1924280	19243	0.0768506089554174
Caudate	3	1475661	14757	0.07438973444233
Caudate	4	1314123	13142	0.0740987052995976
Caudate	5	1332488	13325	0.0752710426269482
Caudate	6	1336910	13370	0.0800083094895374
Caudate	7	1345271	13453	0.0797036452468259
Caudate	8	1149333	11494	0.0784777367880412
Caudate	9	1005531	10056	0.082569419575884
Caudate	10	1187079	11871	0.0769718353892373
Caudate	11	1135372	11354	0.0802026257825184
Caudate	12	1144802	11449	0.0757027726052516
Caudate	13	726020	7261	0.0774043057639205
Caudate	14	758499	7585	0.0761297566174415
Caudate	15	740419	7405	0.0772082126295054
Caudate	16	917007	9171	0.0831802454104346
Caudate	17	996496	9965	0.086193128892122
Caudate	18	607772	6078	0.0755130237218002
Caudate	19	885073	8851	0.0872490646435986
Caudate	20	649429	6495	0.085561660848254
Caudate	21	336260	3363	0.0888640035389483
Caudate	22	489186	4892	0.0830812430845908
Caudate	X	984234	9843	0.137947286757317
Caudate	Y	2154	22	0.198657380333624
