env	term	statistic	p_value	location_shift	ci_lo	ci_hi	median_neg_log10p_heritable	median_neg_log10p_nonheritable	n_heritable_features	n_nonheritable_features	fdr	cohort	tissue	population	vmr_set	modality	run_tag
smoking	env_valueTRUE	67483	0.0034280589983458	-0.0642046393426966	-0.116223538179089	-0.0202994785341659	0.273490262869856	0.395892386767834	748	208	0.0205683539900748	all_individuals	caudate	EA	EA_only	psi	window_250kb
codeine	env_valueTRUE	76856	0.170435982878826	0.0259660259742963	-0.0118298102178878	0.0642755255517444	0.290361017322742	0.249113215440881	730	198	0.238405177120975	all_individuals	caudate	EA	EA_only	psi	window_250kb
morphine	env_valueTRUE	79411	0.178803882840731	0.0237633240159387	-0.0107304854476541	0.0596156093133602	0.277443326499276	0.217196064243188	737	203	0.238405177120975	all_individuals	caudate	EA	EA_only	psi	window_250kb
cocaine	env_valueTRUE	71610	0.000225387008153347	0.0592901153600821	0.0268664085600709	0.0958454404434622	0.245688064255688	0.162154167824263	675	180	0.00270464409784016	all_individuals	caudate	EA	EA_only	psi	window_250kb
ethanol	env_valueTRUE	81122	0.220146138318851	0.0234792004957175	-0.0144125775816201	0.0623482772910843	0.298424451894178	0.269645133086382	746	206	0.264175365982622	all_individuals	caudate	EA	EA_only	psi	window_250kb
nicotine	env_valueTRUE	69370	0.0168121118963422	-0.0576119957421864	-0.112199651586406	-0.00957186033910759	0.314897127582566	0.412565315626212	748	208	0.0672484475853689	all_individuals	caudate	EA	EA_only	psi	window_250kb
amphetamines	env_valueTRUE	78886	0.140503035856498	0.0279855818162364	-0.00875921989975314	0.0676137317165638	0.295787267367686	0.248142042015346	728	203	0.238405177120975	all_individuals	caudate	EA	EA_only	psi	window_250kb
any_trauma_hx	env_value	77973	0.601006829881756	0.00892356373218809	-0.0256241354421761	0.0457979123756674	0.276469816212595	0.273334668650489	743	205	0.601006829881756	all_individuals	caudate	EA	EA_only	psi	window_250kb
education	env_valueless_than_hs	70984	0.0669843914136375	-0.0425841436839596	-0.0905843380710295	0.00288435512178421	0.308455441899779	0.36115122595653	748	207	0.133968782827275	all_individuals	caudate	EA	EA_only	psi	window_250kb
education	env_valuemore_than_hs	70007	0.0348622202704859	-0.0488407250307986	-0.0992236201765054	-0.0031688550517857	0.281881409716582	0.372266730377578	748	207	0.083669328649166	all_individuals	caudate	EA	EA_only	psi	window_250kb
marital_status	env_valuepreviously_married	73350	0.246815383596193	-0.0250623000609977	-0.0730848165916187	0.0165657525815478	0.302463494107924	0.330818924881552	748	207	0.269253145741302	all_individuals	caudate	EA	EA_only	psi	window_250kb
marital_status	env_valuesingle	69400	0.0224431387620294	-0.0524664927049571	-0.101060855325763	-0.00749032634251522	0.305571881484287	0.382467854091009	748	207	0.0673294162860882	all_individuals	caudate	EA	EA_only	psi	window_250kb
