env	term	odds_ratio	ci_lo	ci_hi	p_value	n_nonheritable_features	n_heritable_features	n_env_linked_nonheritable	n_env_linked_heritable	fdr	cohort	tissue	population	vmr_set	modality	run_tag
smoking	env_valueTRUE	0.670968938234056	0.315427845745876	1.52643513387217	0.314097928839741	208	748	11	27	0.538453592296699	all_individuals	caudate	EA	EA_only	psi	window_250kb
codeine	env_valueTRUE	1.08822168226565	0.455371616738114	2.99747356327404	1	198	730	7	28	1	all_individuals	caudate	EA	EA_only	psi	window_250kb
morphine	env_valueTRUE	1.56320021822549	0.58544626640136	5.25278123229762	0.517479696330298	203	737	5	28	0.722662945839124	all_individuals	caudate	EA	EA_only	psi	window_250kb
cocaine	env_valueTRUE	2.04502132838343	0.707065446753278	8.09620672091527	0.203689790168681	180	675	4	30	0.538453592296699	all_individuals	caudate	EA	EA_only	psi	window_250kb
ethanol	env_valueTRUE	0.666012226117068	0.31304083844681	1.51539391434742	0.31283307197586	206	746	11	27	0.538453592296699	all_individuals	caudate	EA	EA_only	psi	window_250kb
nicotine	env_valueTRUE	0.619661924803802	0.313973352429543	1.28307066753111	0.145522557281672	208	748	14	32	0.538453592296699	all_individuals	caudate	EA	EA_only	psi	window_250kb
amphetamines	env_valueTRUE	1.14741175066157	0.601322030491468	2.34445304518148	0.758287467821787	203	728	13	53	0.827222692169222	all_individuals	caudate	EA	EA_only	psi	window_250kb
any_trauma_hx	env_value	1.44352451197134	0.58233742098472	4.29282891367168	0.541997209379343	205	743	6	31	0.722662945839124	all_individuals	caudate	EA	EA_only	psi	window_250kb
education	env_valueless_than_hs	0.486137731726215	0.263585651122916	0.921464673559094	0.0171731390012749	207	748	19	35	0.206077668015299	all_individuals	caudate	EA	EA_only	psi	window_250kb
education	env_valuemore_than_hs	2.78949860434796	0.989086763896483	10.8761945866396	0.055921285678539	207	748	4	39	0.335527714071234	all_individuals	caudate	EA	EA_only	psi	window_250kb
marital_status	env_valuepreviously_married	1.20992032180621	0.564220003091103	2.88993652374327	0.720944020014518	207	748	9	39	0.827222692169222	all_individuals	caudate	EA	EA_only	psi	window_250kb
marital_status	env_valuesingle	0.674740792075102	0.360178572959461	1.32008381706379	0.240416764091801	207	748	16	40	0.538453592296699	all_individuals	caudate	EA	EA_only	psi	window_250kb
