pheno_id	num_snps	boosting_iterations_performed	h2_unscaled	r_squared_cv	PopSize
pheno_1	2571	14	0.0513062417045342	0.99954056003923	100
pheno_2	2878	16	0.0514931743957133	0.99959015651223	100
pheno_3	8060	11	0.0394845089451169	0.999975037815132	100
pheno_4	4762	12	0.0445781970098484	0.999920792892626	100
pheno_5	1559	11	0.0698711823284575	0.998188071290816	100
pheno_6	1982	11	0.0585150734290517	0.998709612155906	100
pheno_7	3080	11	0.171125486710385	0.999462272879353	100
pheno_8	5406	12	0.0385967892102641	0.999936412490235	100
pheno_9	1858	17	0.0729331435233368	0.99866645187358	100
pheno_10	2546	15	0.0578874449226911	0.999446382566039	100
pheno_11	3022	11	0.0532418095172529	0.999669861082471	100
pheno_12	4907	11	0.0437154464328851	0.999924395264077	100
pheno_13	3659	11	0.0502565440726175	0.999689542825521	100
pheno_14	2197	13	0.0565264568269802	0.99938020826378	100
pheno_15	7123	11	0.0418132293669134	0.999954434068759	100
pheno_16	1442	11	0.0773937398589265	0.997619708662136	100
pheno_17	2598	14	0.0458742378642378	0.999474425305963	100
pheno_18	2087	14	0.060392413866772	0.998578117312634	100
pheno_19	1316	13	0.0572597868602578	0.995978797694929	100
pheno_20	3516	18	0.0472439139854664	0.99968899828004	100
pheno_21	2172	19	0.0558699655975639	0.998835744672493	100
pheno_22	3517	14	0.0487176348516059	0.999774279594678	100
pheno_23	3261	11	0.0540714514935694	0.999770678602906	100
pheno_24	12323	11	0.0384285578612333	0.999983993206514	100
pheno_25	3489	11	0.0497765387404625	0.999715352822849	100
pheno_26	3545	11	0.0483761224495815	0.999823389722959	100
pheno_27	3966	11	0.0497235420402724	0.9998726543399	100
pheno_28	4006	12	0.0483022978527398	0.999849827831275	100
pheno_29	1597	11	0.0515659917765981	0.997916441634113	100
pheno_30	1036	16	0.0969360655638511	0.994276297187784	100
pheno_31	97	15	0.33658539980936	0.660687847760282	100
pheno_32	1560	11	0.0684250641572602	0.99814638913476	100
pheno_33	4247	11	0.048501682973208	0.999791484896944	100
pheno_34	4126	11	0.0490007887433954	0.999858567121865	100
pheno_35	2797	11	0.166547954029589	0.999154622802275	100
pheno_36	792	11	0.0281935634532748	0.990125359765756	100
pheno_37	860	16	0.11772509490665	0.990932792656651	100
pheno_38	1924	22	0.0753204375585442	0.998822905678937	100
pheno_39	7605	11	0.0431189291549758	0.999969913962542	100
pheno_40	4858	11	0.0464922495990296	0.999849498618734	100
pheno_41	1468	14	0.0616660342767846	0.997221773712802	100
pheno_42	5245	11	0.0431209358709584	0.999918990466313	100
pheno_43	2606	11	0.0587639568305818	0.999375875919389	100
pheno_44	4368	11	0.050778614509708	0.999828527225804	100
pheno_45	1866	18	0.0646408519002657	0.998797174283564	100
pheno_46	3793	11	0.184744865932846	0.999497678527812	100
pheno_47	2979	12	0.0481298341019741	0.99937529959742	100
pheno_48	4020	11	0.0489460851518948	0.999795020855333	100
pheno_49	959	11	0.487882552974617	0.984505956746526	100
pheno_50	1681	11	0.0453781159440542	0.998553456922936	100
pheno_51	1486	11	0.0607489251977671	0.997191510662975	100
pheno_52	576	12	0.105074676933699	0.969328604736733	100
pheno_53	1529	11	0.0586601862998624	0.997855165536069	100
pheno_54	843	11	0.0748791672149155	0.990048046716991	100
pheno_55	2667	13	0.0607339938445411	0.999615262808424	100
pheno_56	7686	11	0.0425291177025854	0.999978185731671	100
pheno_57	4762	11	0.0586883999207899	0.999762469942063	100
pheno_58	3244	11	0.0544261918471949	0.999713052884171	100
pheno_59	2271	13	0.0555845244159612	0.999232806570099	100
pheno_60	6200	11	0.0420562996536652	0.99995429099722	100
pheno_61	1708	12	0.0711665093511376	0.998300960619528	100
pheno_62	4993	11	0.0478650618443852	0.999871396176714	100
pheno_63	81	11	0.149275764239239	0.677429254022746	100
pheno_64	5018	11	0.045002363927834	0.999910932587597	100
pheno_65	3139	14	0.048007639409708	0.999739566566619	100
pheno_66	3252	11	0.05093757055742	0.999762310586494	100
pheno_67	4096	14	0.0490584847959184	0.999829381346311	100
pheno_68	5112	13	0.0387588479939816	0.999906814319861	100
pheno_69	3788	17	0.0494013137915841	0.999840878434245	100
pheno_70	3521	12	0.0474936795820555	0.999616124152692	100
pheno_71	3120	17	0.0605233115539129	0.999566422914225	100
pheno_72	1213	11	0.258949217805057	0.991549195327202	100
pheno_73	2803	11	0.072066557252213	0.999394229250032	100
pheno_74	3890	11	0.0473003009764658	0.999853098391917	100
pheno_75	4221	11	0.0499151506468313	0.999782720000071	100
pheno_76	5978	11	0.0403950598787821	0.999937386387272	100
pheno_77	3875	11	0.244916246525494	0.99947970060226	100
pheno_78	1818	15	0.201708805744398	0.99667792305756	100
pheno_79	1801	16	0.0706557794095496	0.997665252847682	100
pheno_80	1573	15	0.0757109821769375	0.997980216106607	100
pheno_81	2162	11	0.0533123331102834	0.998881542168272	100
