"h2_category","spearman_rho","spearman_p_value","n"
"Heritable",0.379055756835918,1.79604463065161e-185,5441
"Non-heritable",0.00634245789284574,0.759562443629733,2331
"Low prediction",0.0872974596341292,0.00786126763307193,926
