"h2_category","cor_snps_length","p_snps_length","cor_snps_h2","p_snps_h2","n","p_snps_length_adj","p_snps_h2_adj"
"Heritable",-0.0781371557821335,3.01599922356792e-08,-0.140548981538505,1.51775951470389e-23,5015,9.04799767070377e-08,4.55327854411167e-23
"Non-heritable",-0.069357195612502,3.63489344091755e-05,0.0408412777087426,0.0151078892649577,3539,5.45234016137633e-05,0.0151078892649577
"Low prediction",-0.0261613082066454,0.406238087129653,-0.123564159878383,8.24500603425843e-05,1010,0.406238087129653,0.000123675090513876
