"h2_category","spearman_rho","spearman_p_value","n"
"Heritable",0.398157371541241,1.55512718636138e-227,6011
"Non-heritable",0.0110398820477228,0.588101009638991,2409
"Low prediction",0.0438914734803782,0.197695251819842,863
