"h2_category","n","mean_num_snps","sd_num_snps","median_num_snps"
"Heritable",4579,511.405328674383,197.931595492225,483
"Non-heritable",4895,569.537691521961,190.885062884742,543
"Low prediction",2267,220.458314953683,90.8130598083656,220
