disease	tissue	annotation	Coefficient_z-score	p_value	FDR_q
pd	caudate	ANNOT_Q1L2_1	1.5820422657082696	0.11363992211483498	0.737520662010194
pd	caudate	ANNOT_Q2L2_1	-0.3171187058497972	0.7511535316443574	0.9800258925572117
pd	caudate	ANNOT_Q3L2_1	-0.7336874406382822	0.4631392547637414	0.9757053441722481
pd	caudate	ANNOT_Q4L2_1	1.1712963571537027	0.24147967518985558	0.8522812065524314
pd	caudate	ANNOT_Q5L2_1	-0.4997902297497136	0.6172227908606498	0.9800258925572117
pd	hippocampus	ANNOT_Q1L2_1	0.0608938162032712	0.9514437742633672	0.9844570185289239
pd	hippocampus	ANNOT_Q2L2_1	-0.4024279440347283	0.6873691080414099	0.9800258925572117
pd	hippocampus	ANNOT_Q3L2_1	-0.7582661819643284	0.4482916482107835	0.9757053441722481
pd	hippocampus	ANNOT_Q4L2_1	-1.342002427947665	0.1795952084230228	0.8146800775604888
pd	hippocampus	ANNOT_Q5L2_1	0.0996110797669917	0.9206530971970142	0.9844570185289239
pd	dlpfc	ANNOT_Q1L2_1	0.2864115337942198	0.7745629418670925	0.9800258925572117
pd	dlpfc	ANNOT_Q2L2_1	-2.3428117586498103	0.019139036683414545	0.22966844020097454
pd	dlpfc	ANNOT_Q3L2_1	0.1703476825360039	0.864736713967553	0.9800258925572117
pd	dlpfc	ANNOT_Q4L2_1	-0.2224909648853811	0.8239317059999334	0.9800258925572117
pd	dlpfc	ANNOT_Q5L2_1	0.0029953886293002	0.997610029233021	0.997610029233021
scz	caudate	ANNOT_Q1L2_1	1.0179172323303392	0.308717291532705	0.9757053441722481
scz	caudate	ANNOT_Q2L2_1	-0.7357482022978437	0.46188394912541186	0.9757053441722481
scz	caudate	ANNOT_Q3L2_1	-0.0863274240948868	0.9312061385722543	0.9844570185289239
scz	caudate	ANNOT_Q4L2_1	0.935862053463694	0.3493442169370111	0.9757053441722481
scz	caudate	ANNOT_Q5L2_1	0.8498931640523643	0.3953844864997924	0.9757053441722481
scz	hippocampus	ANNOT_Q1L2_1	-2.1407718414782875	0.03229244178472346	0.3229244178472346
scz	hippocampus	ANNOT_Q2L2_1	0.1904914314954574	0.8489240569350374	0.9800258925572117
scz	hippocampus	ANNOT_Q3L2_1	-0.1635372128578499	0.8700954758958084	0.9800258925572117
scz	hippocampus	ANNOT_Q4L2_1	-1.4938603590320811	0.13521212136853555	0.737520662010194
scz	hippocampus	ANNOT_Q5L2_1	-0.2552913337056951	0.7984980929421037	0.9800258925572117
scz	dlpfc	ANNOT_Q1L2_1	-1.5036494295879026	0.13267165665939773	0.737520662010194
