h2_quintile	n	n_in_peak	frac	h2_median	ci_lo	ci_hi	cell_type	tissue
Q1	489	402	0.822085889570552	0.0537481488936912	0.785625618527537	0.853525155747326	Union	Caudate
Q2	488	402	0.823770491803279	0.0804274383184088	0.787380390709606	0.855103064747127	Union	Caudate
Q3	488	376	0.770491803278689	0.107798884312181	0.731096055499874	0.805662274375371	Union	Caudate
Q4	488	313	0.641393442622951	0.202200159155848	0.597875973928304	0.682702243961029	Union	Caudate
Q5	488	80	0.163934426229508	0.652953098350581	0.133631834764018	0.199486603875829	Union	Caudate
Q1	489	227	0.464212678936605	0.0537481488936912	0.420459812323796	0.508523434978997	Exc	Caudate
Q2	488	235	0.48155737704918	0.0804274383184088	0.437542901841323	0.525859939303547	Exc	Caudate
Q3	488	223	0.456967213114754	0.107798884312181	0.413276599579696	0.501330029758333	Exc	Caudate
Q4	488	173	0.354508196721311	0.202200159155848	0.313338112594882	0.397950967547979	Exc	Caudate
Q5	488	34	0.069672131147541	0.652953098350581	0.0500384527789085	0.0960278406013831	Exc	Caudate
Q1	489	207	0.423312883435583	0.0537481488936912	0.380281491683739	0.467539752536531	Inh	Caudate
Q2	488	210	0.430327868852459	0.0804274383184088	0.3871082719631	0.474635794584186	Inh	Caudate
Q3	488	188	0.385245901639344	0.107798884312181	0.343114976844772	0.429169368056639	Inh	Caudate
Q4	488	142	0.290983606557377	0.202200159155848	0.252408123233418	0.332824076408438	Inh	Caudate
Q5	488	26	0.0532786885245902	0.652953098350581	0.0363176322435214	0.0772178532655432	Inh	Caudate
Q1	489	240	0.49079754601227	0.0537481488936912	0.446733368075734	0.535005181230698	Astro	Caudate
Q2	488	247	0.506147540983607	0.0804274383184088	0.461914694196893	0.550284358754817	Astro	Caudate
Q3	488	234	0.479508196721312	0.107798884312181	0.435516672817522	0.523819817343444	Astro	Caudate
Q4	488	176	0.360655737704918	0.202200159155848	0.319278818749798	0.404209314344773	Astro	Caudate
Q5	488	21	0.0430327868852459	0.652953098350581	0.0279735181265085	0.0652302124630393	Astro	Caudate
Q1	489	237	0.484662576687117	0.0537481488936912	0.440659307232393	0.528904941611661	Oligo	Caudate
Q2	488	229	0.469262295081967	0.0804274383184088	0.425396523081276	0.513608212160173	Oligo	Caudate
Q3	488	215	0.440573770491803	0.107798884312181	0.397158108464648	0.484917713002155	Oligo	Caudate
Q4	488	147	0.301229508196721	0.202200159155848	0.262176479686649	0.343387474874724	Oligo	Caudate
Q5	488	17	0.0348360655737705	0.652953098350581	0.0214721152488004	0.0554662114051339	Oligo	Caudate
Q1	489	279	0.570552147239264	0.0537481488936912	0.526293732628976	0.613710722688376	OPC	Caudate
Q2	488	277	0.567622950819672	0.0804274383184088	0.523306322448548	0.610883260020263	OPC	Caudate
Q3	488	251	0.514344262295082	0.107798884312181	0.470062012867112	0.558402444020211	OPC	Caudate
Q4	488	183	0.375	0.202200159155848	0.333169146436237	0.418783443545658	OPC	Caudate
Q5	488	18	0.0368852459016393	0.652953098350581	0.0230803578310382	0.0579243198067994	OPC	Caudate
Q1	489	212	0.433537832310838	0.0537481488936912	0.390298214366752	0.47781353062415	Endo	Caudate
Q2	488	188	0.385245901639344	0.0804274383184088	0.343114976844772	0.429169368056639	Endo	Caudate
Q3	488	171	0.350409836065574	0.107798884312181	0.309381799456985	0.393774578718068	Endo	Caudate
Q4	488	126	0.258196721311475	0.202200159155848	0.221316323038416	0.298854260860986	Endo	Caudate
Q5	488	19	0.0389344262295082	0.652953098350581	0.0247005310829396	0.0603704975388014	Endo	Caudate
Q1	489	158	0.323108384458078	0.0537481488936912	0.283152920500406	0.365821416167685	Micro	Caudate
Q2	488	126	0.258196721311475	0.0804274383184088	0.221316323038416	0.298854260860986	Micro	Caudate
Q3	488	111	0.227459016393443	0.107798884312181	0.192419469803506	0.266755849337346	Micro	Caudate
Q4	488	117	0.239754098360656	0.202200159155848	0.203947034289452	0.279626390754819	Micro	Caudate
Q5	488	29	0.0594262295081967	0.652953098350581	0.0414162281073422	0.0843183103534325	Micro	Caudate
Q1	405	292	0.720987654320988	0.0623724668975952	0.675337005525363	0.762485519901307	Union	DLPFC
Q2	404	290	0.717821782178218	0.0878802804027204	0.671995330492483	0.759544907003033	Union	DLPFC
Q3	404	301	0.745049504950495	0.111480943545263	0.700317914301813	0.785164852880642	Union	DLPFC
Q4	404	266	0.658415841584159	0.142771453701322	0.610849796524176	0.702997648927108	Union	DLPFC
Q5	404	160	0.396039603960396	0.39211309308157	0.349533436713685	0.444504177208909	Union	DLPFC
Q1	405	157	0.387654320987654	0.0623724668975952	0.341459340202213	0.435960493240095	Exc	DLPFC
Q2	404	166	0.410891089108911	0.0878802804027204	0.363966803372073	0.45949400856158	Exc	DLPFC
Q3	404	144	0.356435643564356	0.111480943545263	0.311266295290869	0.404309457268904	Exc	DLPFC
Q4	404	132	0.326732673267327	0.142771453701322	0.282787504996718	0.37394185154094	Exc	DLPFC
Q5	404	93	0.23019801980198	0.39211309308157	0.19172749387021	0.273751075595572	Exc	DLPFC
Q1	405	152	0.375308641975309	0.0623724668975952	0.32951604795752	0.423444426522404	Inh	DLPFC
Q2	404	151	0.373762376237624	0.0878802804027204	0.327967754371953	0.421935062534055	Inh	DLPFC
Q3	404	136	0.336633663366337	0.111480943545263	0.29225853824236	0.384086283636003	Inh	DLPFC
Q4	404	131	0.324257425742574	0.142771453701322	0.280423248029836	0.371402242172645	Inh	DLPFC
Q5	404	70	0.173267326732673	0.39211309308157	0.139357194172713	0.213332449584014	Inh	DLPFC
Q1	405	171	0.422222222222222	0.0623724668975952	0.375065506844097	0.470840531692886	Astro	DLPFC
Q2	404	196	0.485148514851485	0.0878802804027204	0.43678364340746	0.533793158581482	Astro	DLPFC
Q3	404	180	0.445544554455446	0.111480943545263	0.397814929963066	0.494300010663056	Astro	DLPFC
Q4	404	153	0.378712871287129	0.142771453701322	0.332751250416188	0.426959299160172	Astro	DLPFC
Q5	404	78	0.193069306930693	0.39211309308157	0.15743683589029	0.234483738547846	Astro	DLPFC
Q1	405	190	0.469135802469136	0.0623724668975952	0.421050111811462	0.517801490782578	Oligo	DLPFC
Q2	404	206	0.50990099009901	0.0878802804027204	0.461291302003025	0.558324163337681	Oligo	DLPFC
Q3	404	193	0.477722772277228	0.111480943545263	0.429454118612205	0.526411084371208	Oligo	DLPFC
Q4	404	157	0.388613861386139	0.142771453701322	0.342333515689146	0.43699249922792	Oligo	DLPFC
Q5	404	69	0.170792079207921	0.39211309308157	0.137108673350612	0.210677104070938	Oligo	DLPFC
Q1	405	206	0.508641975308642	0.0623724668975952	0.460101494739078	0.557020056534591	OPC	DLPFC
Q2	404	206	0.50990099009901	0.0878802804027204	0.461291302003025	0.558324163337681	OPC	DLPFC
Q3	404	201	0.497524752475248	0.111480943545263	0.449022883197624	0.546073250467199	OPC	DLPFC
Q4	404	171	0.423267326732673	0.142771453701322	0.376028298350392	0.471951845259142	OPC	DLPFC
Q5	404	86	0.212871287128713	0.39211309308157	0.175666107483892	0.255485397635655	OPC	DLPFC
Q1	405	133	0.328395061728395	0.0623724668975952	0.284428172423256	0.375586737999609	Endo	DLPFC
Q2	404	140	0.346534653465347	0.0878802804027204	0.30175161745125	0.394208669767819	Endo	DLPFC
Q3	404	134	0.331683168316832	0.111480943545263	0.28752023619842	0.379016853009591	Endo	DLPFC
Q4	404	130	0.321782178217822	0.142771453701322	0.278060407634458	0.368861216232847	Endo	DLPFC
Q5	404	70	0.173267326732673	0.39211309308157	0.139357194172713	0.213332449584014	Endo	DLPFC
Q1	405	107	0.264197530864198	0.0623724668975952	0.223560814726328	0.309265429092142	Micro	DLPFC
Q2	404	114	0.282178217821782	0.0878802804027204	0.240455092996967	0.328004669507517	Micro	DLPFC
Q3	404	107	0.264851485148515	0.111480943545263	0.22412810099982	0.31000459715843	Micro	DLPFC
Q4	404	98	0.242574257425743	0.142771453701322	0.203258388304485	0.286739512837178	Micro	DLPFC
Q5	404	73	0.180693069306931	0.39211309308157	0.14611839961997	0.221282843142285	Micro	DLPFC
Q1	407	275	0.675675675675676	0.0636513016178634	0.628708014770712	0.71935812346781	Union	Hippocampus
Q2	407	291	0.714987714987715	0.0906508442099526	0.669234706964626	0.756720357313287	Union	Hippocampus
Q3	406	281	0.692118226600985	0.112209959893779	0.645554110332689	0.735080880692585	Union	Hippocampus
Q4	407	256	0.628992628992629	0.14675887418607	0.58104390466496	0.674529133901788	Union	Hippocampus
Q5	407	168	0.412776412776413	0.442631018853314	0.365971142349634	0.46121280300047	Union	Hippocampus
Q1	407	144	0.353808353808354	0.0636513016178634	0.308899560337742	0.401450995953278	Exc	Hippocampus
Q2	407	138	0.339066339066339	0.0906508442099526	0.294746487350025	0.386395721676223	Exc	Hippocampus
Q3	406	150	0.369458128078818	0.112209959893779	0.323921551240984	0.417441852293125	Exc	Hippocampus
Q4	407	137	0.336609336609337	0.14675887418607	0.292392312480241	0.383881838668546	Exc	Hippocampus
Q5	407	91	0.223587223587224	0.442631018853314	0.18571858690124	0.266624901884301	Exc	Hippocampus
Q1	407	126	0.30958230958231	0.0636513016178634	0.266587349943816	0.35613816455289	Inh	Hippocampus
Q2	407	134	0.329238329238329	0.0906508442099526	0.285337933431518	0.376332044084884	Inh	Hippocampus
Q3	406	145	0.357142857142857	0.112209959893779	0.312054051073852	0.40490967354838	Inh	Hippocampus
Q4	407	133	0.326781326781327	0.14675887418607	0.282989213619728	0.373812706019211	Inh	Hippocampus
Q5	407	72	0.176904176904177	0.442631018853314	0.142781620965885	0.217068768147881	Inh	Hippocampus
Q1	407	176	0.432432432432432	0.0636513016178634	0.385151129323808	0.480977279045991	Astro	Hippocampus
Q2	407	164	0.402948402948403	0.0906508442099526	0.35640983629995	0.451301877540307	Astro	Hippocampus
Q3	406	159	0.391625615763547	0.112209959893779	0.345363228779385	0.439919596796102	Astro	Hippocampus
Q4	407	139	0.341523341523342	0.14675887418607	0.297102007904375	0.388908258999335	Astro	Hippocampus
Q5	407	78	0.191646191646192	0.442631018853314	0.15625320452027	0.232805531858267	Astro	Hippocampus
Q1	407	183	0.44963144963145	0.0636513016178634	0.401995488502823	0.498209325009209	Oligo	Hippocampus
Q2	407	163	0.4004914004914	0.0906508442099526	0.354022532165539	0.448821123797256	Oligo	Hippocampus
Q3	406	165	0.406403940886699	0.112209959893779	0.35971357158908	0.454848868680658	Oligo	Hippocampus
