category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	comparison
Human Diseases	Immune disease	hsa05310	Asthma	3/43	32/9378	0.09375	20.4462209302326	7.47835953834766	0.000405974208963528	0.0334278925285827	0.0272701228522648	3117/3119/3123	3	Pooled_Heritable
Human Diseases	Immune disease	hsa05330	Allograft rejection	3/43	39/9378	0.0769230769230769	16.7763864042934	6.70036829850151	0.00073149773057881	0.0334278925285827	0.0272701228522648	3117/3119/3123	3	Pooled_Heritable
Human Diseases	Endocrine and metabolic disease	hsa04940	Type I diabetes mellitus	3/43	44/9378	0.0681818181818182	14.869978858351	6.2586009788384	0.00104329917888632	0.0334278925285827	0.0272701228522648	3117/3119/3123	3	Pooled_Heritable
Human Diseases	Immune disease	hsa05332	Graft-versus-host disease	3/43	45/9378	0.0666666666666667	14.5395348837209	6.17886055519961	0.00111426308428609	0.0334278925285827	0.0272701228522648	3117/3119/3123	3	Pooled_Heritable
Organismal Systems	Immune system	hsa04672	Intestinal immune network for IgA production	3/43	50/9378	0.06	13.0855813953488	5.81523548235951	0.00151475566098172	0.0342087191340056	0.0279071129777414	3117/3119/3123	3	Pooled_Heritable
Human Diseases	Immune disease	hsa05320	Autoimmune thyroid disease	3/43	54/9378	0.0555555555555556	12.1162790697674	5.55986457288405	0.00189267770132019	0.0342087191340056	0.0279071129777414	3117/3119/3123	3	Pooled_Heritable
Metabolism	Lipid metabolism	hsa00600	Sphingolipid metabolism	3/43	55/9378	0.0545454545454545	11.8959830866808	5.50020590159994	0.00199550861615032	0.0342087191340056	0.0279071129777414	123099/5660/9517	3	Pooled_Heritable
Human Diseases	Immune disease	hsa05310	Asthma	3/7	32/9378	0.09375	125.598214285714	19.2957617455733	1.25162640355807e-06	2.99532336563758e-05	1.05099065460968e-05	3117/3119/3123	3	Pooled_Q5
Human Diseases	Immune disease	hsa05330	Allograft rejection	3/7	39/9378	0.0769230769230769	103.054945054945	17.4543700060938	2.30100067855693e-06	2.99532336563758e-05	1.05099065460968e-05	3117/3119/3123	3	Pooled_Q5
Environmental Information Processing	Signaling molecules and interaction	hsa04514	Cell adhesion molecule (CAM) interaction	4/7	160/9378	0.025	33.4928571428572	11.329677547951	2.74488953802479e-06	2.99532336563758e-05	1.05099065460968e-05	214/3117/3119/3123	4	Pooled_Q5
Human Diseases	Endocrine and metabolic disease	hsa04940	Type I diabetes mellitus	3/7	44/9378	0.0681818181818182	91.3441558441558	16.4164978197882	3.32920521772836e-06	2.99532336563758e-05	1.05099065460968e-05	3117/3119/3123	3	Pooled_Q5
Human Diseases	Immune disease	hsa05332	Graft-versus-host disease	3/7	45/9378	0.0666666666666667	89.3142857142857	16.2298532797436	3.56586114956855e-06	2.99532336563758e-05	1.05099065460968e-05	3117/3119/3123	3	Pooled_Q5
