category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	comparison
Organismal Systems	Immune system	hsa04658	Th1 and Th2 cell differentiation	8/85	93/9376	0.0860215053763441	9.48867805186591	7.86866819781051	1.77938089686602e-06	0.00038434627372306	0.000318415528912867	3117/3119/3123/3561/55534/5595/4772/4792	8	Pooled_Q1Q4
Human Diseases	Infectious disease: viral	hsa05166	Human T-cell leukemia virus 1 infection	10/85	224/9376	0.0446428571428571	4.92436974789916	5.68590754519817	3.23620615419246e-05	0.00349510264652785	0.00289555287480378	1026/2114/3117/3119/3123/3561/5595/4487/4772/4792	10	Pooled_Q1Q4
Organismal Systems	Immune system	hsa04659	Th17 cell differentiation	7/85	109/9376	0.0642201834862385	7.08386400431732	6.11064474669629	5.53857267651676e-05	0.00398777232709207	0.0033037100175714	3117/3119/3123/3561/5595/4772/4792	7	Pooled_Q1Q4
Human Diseases	Immune disease	hsa05321	Inflammatory bowel disease	5/85	66/9376	0.0757575757575758	8.35650623885918	5.73630990239086	0.00031490966270463	0.01700512178605	0.0140880638578387	3117/3119/3123/3561/4772	5	Pooled_Q1Q4
Human Diseases	Infectious disease: parasitic	hsa05140	Leishmaniasis	5/85	78/9376	0.0641025641025641	7.07088989441931	5.14954381546115	0.000683303193383982	0.029518697954188	0.0244550616579531	3117/3119/3123/5595/4792	5	Pooled_Q1Q4
