tissue	h2_category	n_links	n_vmrs	n_genes	median_abc	mean_abc	median_dist
Caudate	Heritable	60	35	53	0.03094	0.0354596833333333	28689.5
Caudate	Non-heritable	139	50	112	0.032621	0.0406672158273381	63575.5
DLPFC	Heritable	50	30	45	0.0311275	0.03785892	23247
DLPFC	Non-heritable	71	32	57	0.028515	0.0415774225352113	33861.5
Hippocampus	Heritable	69	38	62	0.031424	0.0443574202898551	37884.5
Hippocampus	Non-heritable	53	26	44	0.032642	0.0416293018867925	27270.5
Pooled	Heritable	179	101	119	0.031164	0.0395597150837989	28374.5
Pooled	Non-heritable	263	102	158	0.031205	0.0411068174904943	41109.5
