chromA	startA	endA	chromB	startB	endB	overlap	lenA	lenB	pctA	pctB	reciprocal
1	1425528	1426355	1	1425654	1426313	659	827	659	79.68561064087062	100.0	79.68561064087062
1	3360659	3361422	1	3361017	3361233	216	763	216	28.309305373525557	100.0	28.309305373525557
1	9223206	9223416	1	9222666	9224410	210	210	1744	100.0	12.041284403669724	12.041284403669724
1	9324187	9325557	1	9324297	9325103	806	1370	806	58.832116788321166	100.0	58.832116788321166
1	9362826	9363451	1	9362905	9363356	451	625	451	72.16	100.0	72.16
1	15833243	15833455	1	15833352	15833485	103	212	133	48.58490566037736	77.44360902255639	48.58490566037736
1	31694898	31695925	1	31695042	31695987	883	1027	945	85.97857838364168	93.43915343915344	85.97857838364168
1	50417341	50420847	1	50419474	50420532	1058	3506	1058	30.17683970336566	100.0	30.17683970336566
1	50951950	50952397	1	50952107	50952232	125	447	125	27.96420581655481	100.0	27.96420581655481
1	75124701	75127449	1	75124904	75127449	2545	2748	2545	92.61280931586609	100.0	92.61280931586609
1	110556304	110556985	1	110556304	110556985	681	681	681	100.0	100.0	100.0
1	115978319	115980132	1	115977424	115981081	1813	1813	3657	100.0	49.57615531856713	49.57615531856713
1	146932364	146932624	1	146932524	146934157	100	260	1633	38.46153846153847	6.12369871402327	6.12369871402327
1	146932851	146933347	1	146932524	146934157	496	496	1633	100.0	30.37354562155542	30.37354562155542
1	148158120	148162286	1	148160098	148161165	1067	4166	1067	25.61209793566971	100.0	25.61209793566971
1	152188602	152189261	1	152188737	152189231	494	659	494	74.96206373292867	100.0	74.96206373292867
1	173870148	173870397	1	173870221	173870496	176	249	275	70.68273092369478	64.0	64.0
1	201505617	201506323	1	201505617	201506223	606	706	606	85.8356940509915	100.0	85.8356940509915
1	204412999	204413936	1	204412950	204413936	937	937	986	100.0	95.03042596348884	95.03042596348884
1	205849356	205850886	1	205849356	205851328	1530	1530	1972	100.0	77.58620689655173	77.58620689655173
1	207668958	207669381	1	207669231	207669381	150	423	150	35.46099290780142	100.0	35.46099290780142
1	212415357	212416390	1	212415506	212416026	520	1033	520	50.33881897386253	100.0	50.33881897386253
1	221738870	221740234	1	221739011	221740234	1223	1364	1223	89.66275659824046	100.0	89.66275659824046
1	223392968	223394019	1	223393105	223393882	777	1051	777	73.92959086584206	100.0	73.92959086584206
1	226974985	226976095	1	226975648	226976056	408	1110	408	36.75675675675676	100.0	36.75675675675676
10	622905	623353	10	622466	623742	448	448	1276	100.0	35.10971786833856	35.10971786833856
10	633231	633574	10	633371	633459	88	343	88	25.65597667638484	100.0	25.65597667638484
10	1199980	1201244	10	1200396	1201144	748	1264	748	59.17721518987342	100.0	59.17721518987342
10	1663869	1664161	10	1663909	1664205	252	292	296	86.3013698630137	85.13513513513513	85.13513513513513
10	3169278	3169900	10	3169278	3169952	622	622	674	100.0	92.28486646884274	92.28486646884274
10	3270561	3271406	10	3270561	3271148	587	845	587	69.46745562130178	100.0	69.46745562130178
10	6581249	6582005	10	6580941	6582173	756	756	1232	100.0	61.36363636363637	61.36363636363637
10	12405523	12406195	10	12405523	12406088	565	672	565	84.07738095238095	100.0	84.07738095238095
10	12634644	12634867	10	12634644	12634785	141	223	141	63.22869955156951	100.0	63.22869955156951
10	14567822	14571491	10	14568082	14572017	3409	3669	3935	92.91360043608613	86.63278271918678	86.63278271918678
10	22253515	22253809	10	22253669	22254648	140	294	979	47.61904761904761	14.300306435137896	14.300306435137896
10	23096650	23096854	10	23096650	23097331	204	204	681	100.0	29.955947136563875	29.955947136563875
10	28768453	28768926	10	28768204	28769185	473	473	981	100.0	48.216106014271155	48.216106014271155
