cohort	tissue	population	feature_type	bin_type	h2_bin	n_vmrs	median_distance	q25_distance	q75_distance	prop_within_10kb	prop_within_100kb
Discovery	caudate	AA	gene	h2_quintile	Q1	2335	0	0	0	0.964882226980728	0.999571734475375
Discovery	caudate	AA	gene	h2_quintile	Q2	2335	0	0	0	0.964453961456103	0.999143468950749
Discovery	caudate	AA	gene	h2_quintile	Q3	2334	0	0	0	0.967437874892888	0.999571550985433
Discovery	caudate	AA	gene	h2_quintile	Q4	2335	0	0	0	0.951177730192719	0.998715203426124
Discovery	caudate	AA	gene	h2_quintile	Q5	2335	0	0	615.5	0.862955032119914	0.986723768736617
Discovery	caudate	AA	gene	h2_tertile	T1	3892	0	0	0	0.964285714285714	0.999229188078109
Discovery	caudate	AA	gene	h2_tertile	T2	3891	0	0	0	0.96556155230018	0.999485993317913
Discovery	caudate	AA	gene	h2_tertile	T3	3891	0	0	0	0.89668465690054	0.991518889745567
Discovery	caudate	AA	psi	h2_quintile	Q1	2335	0	0	7861.5	0.776017130620985	0.982012847965739
Discovery	caudate	AA	psi	h2_quintile	Q2	2335	27	0	9118.5	0.762740899357602	0.978586723768737
Discovery	caudate	AA	psi	h2_quintile	Q3	2334	12	0	8160.5	0.770779777206513	0.986289631533847
Discovery	caudate	AA	psi	h2_quintile	Q4	2335	335	0	10502	0.74389721627409	0.980299785867238
Discovery	caudate	AA	psi	h2_quintile	Q5	2335	3189	0	28120.5	0.599571734475375	0.913062098501071
Discovery	caudate	AA	psi	h2_tertile	T1	3892	0	0	8064.5	0.772353545734841	0.979958890030833
Discovery	caudate	AA	psi	h2_tertile	T2	3891	45	0	9083	0.762271909534824	0.98355178617322
Discovery	caudate	AA	psi	h2_tertile	T3	3891	1238	0	20543.5	0.65715754304806	0.940632228218967
Discovery	dlpfc	AA	gene	h2_quintile	Q1	1905	0	0	0	0.954855643044619	0.998950131233596
Discovery	dlpfc	AA	gene	h2_quintile	Q2	1904	0	0	0	0.944327731092437	0.997373949579832
Discovery	dlpfc	AA	gene	h2_quintile	Q3	1904	0	0	0	0.94905462184874	0.998949579831933
Discovery	dlpfc	AA	gene	h2_quintile	Q4	1904	0	0	0	0.948004201680672	0.999474789915966
Discovery	dlpfc	AA	gene	h2_quintile	Q5	1905	0	0	0	0.912860892388452	0.992650918635171
Discovery	dlpfc	AA	gene	h2_tertile	T1	3174	0	0	0	0.948645242596093	0.998109640831758
Discovery	dlpfc	AA	gene	h2_tertile	T2	3174	0	0	0	0.950535601764335	0.998739760554505
Discovery	dlpfc	AA	gene	h2_tertile	T3	3174	0	0	0	0.926275992438563	0.995589161940769
Discovery	dlpfc	AA	psi	h2_quintile	Q1	1905	0	0	11397	0.735958005249344	0.975328083989501
Discovery	dlpfc	AA	psi	h2_quintile	Q2	1904	32	0	11146	0.733193277310924	0.96796218487395
Discovery	dlpfc	AA	psi	h2_quintile	Q3	1904	0	0	12421.25	0.726890756302521	0.974789915966386
Discovery	dlpfc	AA	psi	h2_quintile	Q4	1904	346.5	0	12067	0.728991596638655	0.972689075630252
Discovery	dlpfc	AA	psi	h2_quintile	Q5	1905	651	0	17261	0.683989501312336	0.952755905511811
Discovery	dlpfc	AA	psi	h2_tertile	T1	3174	0	0	11083.5	0.738185255198488	0.971014492753623
Discovery	dlpfc	AA	psi	h2_tertile	T2	3174	8.5	0	12499.25	0.724322621298047	0.974795211090107
Discovery	dlpfc	AA	psi	h2_tertile	T3	3174	527.5	0	14335.5	0.702898550724638	0.960302457466919
Discovery	hippocampus	AA	gene	h2_quintile	Q1	1960	0	0	0	0.956122448979592	0.997959183673469
Discovery	hippocampus	AA	gene	h2_quintile	Q2	1960	0	0	0	0.954591836734694	0.997959183673469
Discovery	hippocampus	AA	gene	h2_quintile	Q3	1959	0	0	0	0.950995405819295	0.999489535477284
Discovery	hippocampus	AA	gene	h2_quintile	Q4	1960	0	0	0	0.951530612244898	0.997959183673469
Discovery	hippocampus	AA	gene	h2_quintile	Q5	1960	0	0	0	0.919387755102041	0.993877551020408
Discovery	hippocampus	AA	gene	h2_tertile	T1	3267	0	0	0	0.956228956228956	0.998163452708907
Discovery	hippocampus	AA	gene	h2_tertile	T2	3266	0	0	0	0.949479485609308	0.998162890385793
Discovery	hippocampus	AA	gene	h2_tertile	T3	3266	0	0	0	0.933864053888549	0.996019595835885
Discovery	hippocampus	AA	psi	h2_quintile	Q1	1960	0	0	8305.25	0.762244897959184	0.970408163265306
Discovery	hippocampus	AA	psi	h2_quintile	Q2	1960	0	0	10952.5	0.741326530612245	0.971428571428571
Discovery	hippocampus	AA	psi	h2_quintile	Q3	1959	0	0	10595.5	0.743236345074017	0.973455844818785
Discovery	hippocampus	AA	psi	h2_quintile	Q4	1960	44	0	10502	0.742857142857143	0.972448979591837
Discovery	hippocampus	AA	psi	h2_quintile	Q5	1960	944	0	18316.75	0.669897959183674	0.948979591836735
Discovery	hippocampus	AA	psi	h2_tertile	T1	3267	0	0	9031	0.75788184879094	0.970921334557698
Discovery	hippocampus	AA	psi	h2_tertile	T2	3266	0	0	11067.5	0.735150030618494	0.972137170851194
Discovery	hippocampus	AA	psi	h2_tertile	T3	3266	645.5	0	14749.5	0.70269442743417	0.958971218616044
