model	estimate	se	p	n_linked	n_background	tag	role	category	sample_size	binary	ancestry	region	locus_rule	n_sig_variants	n_leads	n_leads_with_vmr	n_vmrs	frac_vmrs_linked	in_distribution	q	cohort	tier	module_09_run_id
A_technical	-0.329036863373119	0.132281850530354	0.0128683391249469	84	11120	ADIPOGen_Adiponectin	negative_control	Cardiometabolic	39883	FALSE		caudate	uniform_lead_snp	628	11	10	11251	0.00749732238486255	TRUE	0.0337793902029857	AA	descriptive_only	scz-AA-caudate-20260918
B_technical_context	-0.315709880471645	0.133172329360847	0.0177550704389674	84	11120	ADIPOGen_Adiponectin	negative_control	Cardiometabolic	39883	FALSE		caudate	uniform_lead_snp	628	11	10	11251	0.00749732238486255	TRUE	0.0466070599022893	AA	descriptive_only	scz-AA-caudate-20260918
A_technical	0.0762544673842227	0.147517357358031	0.605212975617759	55	9159	ADIPOGen_Adiponectin	negative_control	Cardiometabolic	39883	FALSE		dlpfc	uniform_lead_snp	628	11	11	9251	0.00596917733883221	TRUE	0.794342030498308	AA	claim_eligible	scz-AA-dlpfc-20260918
B_technical_context	0.108793661233181	0.150267750586395	0.469066512109809	55	9159	ADIPOGen_Adiponectin	negative_control	Cardiometabolic	39883	FALSE		dlpfc	uniform_lead_snp	628	11	11	9251	0.00596917733883221	TRUE	0.671617960520862	AA	claim_eligible	scz-AA-dlpfc-20260918
A_technical	0.168733043271785	0.157322839681751	0.28348325073662	49	9085	ADIPOGen_Adiponectin	negative_control	Cardiometabolic	39883	FALSE		hippocampus	uniform_lead_snp	628	11	11	9166	0.00536457192905627	TRUE	0.555049382584493	AA	claim_eligible	scz-AA-hippocampus-20260918
B_technical_context	0.169673932642352	0.158638443844827	0.284815708692815	49	9085	ADIPOGen_Adiponectin	negative_control	Cardiometabolic	39883	FALSE		hippocampus	uniform_lead_snp	628	11	11	9166	0.00536457192905627	TRUE	0.512668275647068	AA	claim_eligible	scz-AA-hippocampus-20260918
A_technical	-0.15294449780852	0.0357066948562633	1.84094978950517e-05	1298	9906	Astle_et_al_2016_Eosinophil_counts	negative_control	Blood	173480	FALSE		caudate	uniform_lead_snp	23875	195	179	11251	0.115851481613709	TRUE	0.000115979836738826	AA	descriptive_only	scz-AA-caudate-20260918
B_technical_context	-0.145240653025709	0.0359633266342486	5.37765095989988e-05	1298	9906	Astle_et_al_2016_Eosinophil_counts	negative_control	Blood	173480	FALSE		caudate	uniform_lead_snp	23875	195	179	11251	0.115851481613709	TRUE	0.000307992736794266	AA	descriptive_only	scz-AA-caudate-20260918
A_technical	-0.124237243607598	0.0377910572247848	0.00101089330595834	922	8292	Astle_et_al_2016_Eosinophil_counts	negative_control	Blood	173480	FALSE		dlpfc	uniform_lead_snp	23875	195	177	9251	0.100065118298242	TRUE	0.00909803975362506	AA	claim_eligible	scz-AA-dlpfc-20260918
B_technical_context	-0.111744779997845	0.0382726008461791	0.00350360640841701	922	8292	Astle_et_al_2016_Eosinophil_counts	negative_control	Blood	173480	FALSE		dlpfc	uniform_lead_snp	23875	195	177	9251	0.100065118298242	TRUE	0.027590900466284	AA	claim_eligible	scz-AA-dlpfc-20260918
A_technical	-0.0757036198774581	0.0388181933980088	0.0511511222264333	861	8273	Astle_et_al_2016_Eosinophil_counts	negative_control	Blood	173480	FALSE		hippocampus	uniform_lead_snp	23875	195	179	9166	0.0942631924677031	TRUE	0.161126035013265	AA	claim_eligible	scz-AA-hippocampus-20260918
B_technical_context	-0.0681322869938084	0.0392102368937624	0.0822787144927991	861	8273	Astle_et_al_2016_Eosinophil_counts	negative_control	Blood	173480	FALSE		hippocampus	uniform_lead_snp	23875	195	179	9166	0.0942631924677031	TRUE	0.235616318774834	AA	claim_eligible	scz-AA-hippocampus-20260918
A_technical	-0.0411887927006746	0.0371388851340998	0.267409633317781	1141	10063	Astle_et_al_2016_Granulocyte_count	negative_control	Blood	173480	FALSE		caudate	uniform_lead_snp	11604	167	159	11251	0.10183862906105	TRUE	0.401114449976672	AA	descriptive_only	scz-AA-caudate-20260918
B_technical_context	-0.0194476348275424	0.0374016203745427	0.603086082213293	1141	10063	Astle_et_al_2016_Granulocyte_count	negative_control	Blood	173480	FALSE		caudate	uniform_lead_snp	11604	167	159	11251	0.10183862906105	TRUE	0.756688556284473	AA	descriptive_only	scz-AA-caudate-20260918
A_technical	-0.053277548738358	0.039043571698649	0.172389349862556	840	8374	Astle_et_al_2016_Granulocyte_count	negative_control	Blood	173480	FALSE		dlpfc	uniform_lead_snp	11604	167	160	9251	0.0911656175385283	TRUE	0.363347986751355	AA	claim_eligible	scz-AA-dlpfc-20260918
B_technical_context	-0.034459503134317	0.039614685423409	0.384373152562676	840	8374	Astle_et_al_2016_Granulocyte_count	negative_control	Blood	173480	FALSE		dlpfc	uniform_lead_snp	11604	167	160	9251	0.0911656175385283	TRUE	0.62091047721663	AA	claim_eligible	scz-AA-dlpfc-20260918
A_technical	-0.037599423417309	0.0394209457430146	0.340188416531325	805	8329	Astle_et_al_2016_Granulocyte_count	negative_control	Blood	173480	FALSE		hippocampus	uniform_lead_snp	11604	167	161	9166	0.0881322531202102	TRUE	0.578884040832267	AA	claim_eligible	scz-AA-hippocampus-20260918
B_technical_context	-0.0129774183362728	0.0399754029621622	0.745457270253883	805	8329	Astle_et_al_2016_Granulocyte_count	negative_control	Blood	173480	FALSE		hippocampus	uniform_lead_snp	11604	167	161	9166	0.0881322531202102	TRUE	0.853887418654448	AA	claim_eligible	scz-AA-hippocampus-20260918
A_technical	-0.180038057149897	0.0355594046705016	4.12661663195676e-07	1312	9892	Astle_et_al_2016_High_light_scatter_reticulocyte_count	negative_control	Blood	173480	FALSE		caudate	uniform_lead_snp	26173	197	179	11251	0.11710103534452	TRUE	3.24971059766595e-06	AA	descriptive_only	scz-AA-caudate-20260918
B_technical_context	-0.170798442771841	0.0358253852474436	1.86502265275963e-06	1312	9892	Astle_et_al_2016_High_light_scatter_reticulocyte_count	negative_control	Blood	173480	FALSE		caudate	uniform_lead_snp	26173	197	179	11251	0.11710103534452	TRUE	1.46870533904821e-05	AA	descriptive_only	scz-AA-caudate-20260918
A_technical	-0.109850834236631	0.0381922539137698	0.00402418689984907	877	8337	Astle_et_al_2016_High_light_scatter_reticulocyte_count	negative_control	Blood	173480	FALSE		dlpfc	uniform_lead_snp	26173	197	184	9251	0.0951812459301064	TRUE	0.0253523774690492	AA	claim_eligible	scz-AA-dlpfc-20260918
B_technical_context	-0.109038338418659	0.0386829077383405	0.00482075873882762	877	8337	Astle_et_al_2016_High_light_scatter_reticulocyte_count	negative_control	Blood	173480	FALSE		dlpfc	uniform_lead_snp	26173	197	184	9251	0.0951812459301064	TRUE	0.0337453111717933	AA	claim_eligible	scz-AA-dlpfc-20260918
A_technical	-0.0889186386577168	0.037975353959882	0.0192073102266853	879	8255	Astle_et_al_2016_High_light_scatter_reticulocyte_count	negative_control	Blood	173480	FALSE		hippocampus	uniform_lead_snp	26173	197	182	9166	0.0962338515436829	TRUE	0.0864328960200837	AA	claim_eligible	scz-AA-hippocampus-20260918
B_technical_context	-0.0809517231339378	0.0383946778658971	0.0349955393541863	879	8255	Astle_et_al_2016_High_light_scatter_reticulocyte_count	negative_control	Blood	173480	FALSE		hippocampus	uniform_lead_snp	26173	197	182	9166	0.0962338515436829	TRUE	0.129689351724338	AA	claim_eligible	scz-AA-hippocampus-20260918
A_technical	-0.0845842288962436	0.0375507093695986	0.0242885813830381	1112	10092	Astle_et_al_2016_Lymphocyte_counts	negative_control	Blood	173480	FALSE		caudate	uniform_lead_snp	19214	195	178	11251	0.0992502677615138	TRUE	0.0566733565604221	AA	descriptive_only	scz-AA-caudate-20260918
B_technical_context	-0.0704592557785863	0.0378292826281732	0.0625243932836257	1112	10092	Astle_et_al_2016_Lymphocyte_counts	negative_control	Blood	173480	FALSE		caudate	uniform_lead_snp	19214	195	178	11251	0.0992502677615138	TRUE	0.127295620353607	AA	descriptive_only	scz-AA-caudate-20260918
A_technical	-0.0615904735587947	0.038150506768566	0.106439013135022	889	8325	Astle_et_al_2016_Lymphocyte_counts	negative_control	Blood	173480	FALSE		dlpfc	uniform_lead_snp	19214	195	186	9251	0.0964836118949425	TRUE	0.297297106114635	AA	claim_eligible	scz-AA-dlpfc-20260918
B_technical_context	-0.0589674070950063	0.038608012417692	0.126677482986697	889	8325	Astle_et_al_2016_Lymphocyte_counts	negative_control	Blood	173480	FALSE		dlpfc	uniform_lead_snp	19214	195	186	9251	0.0964836118949425	TRUE	0.337463784818122	AA	claim_eligible	scz-AA-dlpfc-20260918
A_technical	-0.0151989668943678	0.0385743470003639	0.693568135829414	852	8282	Astle_et_al_2016_Lymphocyte_counts	negative_control	Blood	173480	FALSE		hippocampus	uniform_lead_snp	19214	195	184	9166	0.0932778629297132	TRUE	0.840284472254867	AA	claim_eligible	scz-AA-hippocampus-20260918
B_technical_context	-0.00534951833886516	0.0390112588134274	0.89092997650566	852	8282	Astle_et_al_2016_Lymphocyte_counts	negative_control	Blood	173480	FALSE		hippocampus	uniform_lead_snp	19214	195	184	9166	0.0932778629297132	TRUE	0.959312118460891	AA	claim_eligible	scz-AA-hippocampus-20260918
A_technical	-0.123154953278564	0.0342160522056886	0.000319034888373669	1393	9811	Astle_et_al_2016_Monocyte_count	negative_control	Blood	173480	FALSE		caudate	uniform_lead_snp	20523	223	205	11251	0.124330596215637	TRUE	0.00125619987297132	AA	descriptive_only	scz-AA-caudate-20260918
B_technical_context	-0.116932528921388	0.0344954741031271	0.000699453269311532	1393	9811	Astle_et_al_2016_Monocyte_count	negative_control	Blood	173480	FALSE		caudate	uniform_lead_snp	20523	223	205	11251	0.124330596215637	TRUE	0.00275409724791416	AA	descriptive_only	scz-AA-caudate-20260918
A_technical	-0.0918256610196	0.0363359384283138	0.0114998737661176	1000	8214	Astle_et_al_2016_Monocyte_count	negative_control	Blood	173480	FALSE		dlpfc	uniform_lead_snp	20523	223	206	9251	0.108530497069677	TRUE	0.0557301574819548	AA	claim_eligible	scz-AA-dlpfc-20260918
B_technical_context	-0.0838515350411832	0.0367887586403665	0.0226509860882637	1000	8214	Astle_et_al_2016_Monocyte_count	negative_control	Blood	173480	FALSE		dlpfc	uniform_lead_snp	20523	223	206	9251	0.108530497069677	TRUE	0.0933034847024005	AA	claim_eligible	scz-AA-dlpfc-20260918
A_technical	-0.0439380576340109	0.0363866274613723	0.2272268996362	995	8139	Astle_et_al_2016_Monocyte_count	negative_control	Blood	173480	FALSE		hippocampus	uniform_lead_snp	20523	223	206	9166	0.108933654477775	TRUE	0.501664348110777	AA	claim_eligible	scz-AA-hippocampus-20260918
B_technical_context	-0.0403390941456636	0.0367387494106055	0.272205115730308	995	8139	Astle_et_al_2016_Monocyte_count	negative_control	Blood	173480	FALSE		hippocampus	uniform_lead_snp	20523	223	206	9166	0.108933654477775	TRUE	0.512668275647068	AA	claim_eligible	scz-AA-hippocampus-20260918
A_technical	-0.0571770454046572	0.0379773804169119	0.132181377217049	1073	10131	Astle_et_al_2016_Myeloid_white_cell_count	negative_control	Blood	173480	FALSE		caudate	uniform_lead_snp	12079	167	155	11251	0.0957693680828276	TRUE	0.237926478990689	AA	descriptive_only	scz-AA-caudate-20260918
B_technical_context	-0.0357461644901283	0.038265940192248	0.350226031828838	1073	10131	Astle_et_al_2016_Myeloid_white_cell_count	negative_control	Blood	173480	FALSE		caudate	uniform_lead_snp	12079	167	155	11251	0.0957693680828276	TRUE	0.525339047743257	AA	descriptive_only	scz-AA-caudate-20260918
A_technical	-0.0466083297320735	0.0398172403417461	0.241777088668738	802	8412	Astle_et_al_2016_Myeloid_white_cell_count	negative_control	Blood	173480	FALSE		dlpfc	uniform_lead_snp	12079	167	156	9251	0.0870414586498806	TRUE	0.435198759603729	AA	claim_eligible	scz-AA-dlpfc-20260918
B_technical_context	-0.0302425945912555	0.0403897303771809	0.453996200018439	802	8412	Astle_et_al_2016_Myeloid_white_cell_count	negative_control	Blood	173480	FALSE		dlpfc	uniform_lead_snp	12079	167	156	9251	0.0870414586498806	TRUE	0.665157223282829	AA	claim_eligible	scz-AA-dlpfc-20260918
A_technical	-0.0325390601165302	0.0400616849894115	0.416663137951281	776	8358	Astle_et_al_2016_Myeloid_white_cell_count	negative_control	Blood	173480	FALSE		hippocampus	uniform_lead_snp	12079	167	158	9166	0.0849573023866871	TRUE	0.596585856612061	AA	claim_eligible	scz-AA-hippocampus-20260918
B_technical_context	-0.0115053976300769	0.0405982500943098	0.776872993240248	776	8358	Astle_et_al_2016_Myeloid_white_cell_count	negative_control	Blood	173480	FALSE		hippocampus	uniform_lead_snp	12079	167	158	9166	0.0849573023866871	TRUE	0.873982117395279	AA	claim_eligible	scz-AA-hippocampus-20260918
A_technical	-0.0302752431353052	0.0366268628622431	0.408471893433712	1194	10010	Astle_et_al_2016_Neutrophil_count	negative_control	Blood	173480	FALSE		caudate	uniform_lead_snp	13850	172	163	11251	0.106569082470546	TRUE	0.547526155028167	AA	descriptive_only	scz-AA-caudate-20260918
B_technical_context	-0.0186770210783076	0.0368800364449606	0.612557402706478	1194	10010	Astle_et_al_2016_Neutrophil_count	negative_control	Blood	173480	FALSE		caudate	uniform_lead_snp	13850	172	163	11251	0.106569082470546	TRUE	0.756688556284473	AA	descriptive_only	scz-AA-caudate-20260918
A_technical	-0.0312779385770987	0.0391372966710352	0.424183175911976	841	8373	Astle_et_al_2016_Neutrophil_count	negative_control	Blood	173480	FALSE		dlpfc	uniform_lead_snp	13850	172	165	9251	0.091274148035598	TRUE	0.62147767633615	AA	claim_eligible	scz-AA-dlpfc-20260918
B_technical_context	-0.0199534655999506	0.0396553725743409	0.61484348246612	841	8373	Astle_et_al_2016_Neutrophil_count	negative_control	Blood	173480	FALSE		dlpfc	uniform_lead_snp	13850	172	165	9251	0.091274148035598	TRUE	0.791528956379961	AA	claim_eligible	scz-AA-dlpfc-20260918
A_technical	-0.017375918341757	0.0394006736527094	0.659208931534232	809	8325	Astle_et_al_2016_Neutrophil_count	negative_control	Blood	173480	FALSE		hippocampus	uniform_lead_snp	13850	172	165	9166	0.0885701773593168	TRUE	0.830603253733132	AA	claim_eligible	scz-AA-hippocampus-20260918
B_technical_context	-0.000711264293311717	0.0398997603937623	0.985777439828739	809	8325	Astle_et_al_2016_Neutrophil_count	negative_control	Blood	173480	FALSE		hippocampus	uniform_lead_snp	13850	172	165	9166	0.0885701773593168	TRUE	0.985777439828739	AA	claim_eligible	scz-AA-hippocampus-20260918
A_technical	-0.083901365591368	0.0308915179277076	0.0066075899312588	1793	9411	Astle_et_al_2016_Platelet_count	negative_control	Blood	173480	FALSE		caudate	uniform_lead_snp	26722	277	244	11251	0.160032131381649	TRUE	0.0198227697937764	AA	descriptive_only	scz-AA-caudate-20260918
B_technical_context	-0.0789693399537203	0.0311436580810561	0.0112239637661718	1793	9411	Astle_et_al_2016_Platelet_count	negative_control	Blood	173480	FALSE		caudate	uniform_lead_snp	26722	277	244	11251	0.160032131381649	TRUE	0.0353554858634413	AA	descriptive_only	scz-AA-caudate-20260918
A_technical	-0.0671122839893897	0.0330479849836878	0.0422800897050179	1182	8032	Astle_et_al_2016_Platelet_count	negative_control	Blood	173480	FALSE		dlpfc	uniform_lead_snp	26722	277	254	9251	0.128283047536358	TRUE	0.156685038318596	AA	claim_eligible	scz-AA-dlpfc-20260918
B_technical_context	-0.0556782492325927	0.033568870708598	0.0971908940345292	1182	8032	Astle_et_al_2016_Platelet_count	negative_control	Blood	173480	FALSE		dlpfc	uniform_lead_snp	26722	277	254	9251	0.128283047536358	TRUE	0.308152932502849	AA	claim_eligible	scz-AA-dlpfc-20260918
A_technical	-0.0635059145932197	0.0333135412705555	0.0566100842587495	1166	7968	Astle_et_al_2016_Platelet_count	negative_control	Blood	173480	FALSE		hippocampus	uniform_lead_snp	26722	277	256	9166	0.127654915699584	TRUE	0.169830252776248	AA	claim_eligible	scz-AA-hippocampus-20260918
B_technical_context	-0.0603825678381183	0.0336897031182482	0.073082485761561	1166	7968	Astle_et_al_2016_Platelet_count	negative_control	Blood	173480	FALSE		hippocampus	uniform_lead_snp	26722	277	256	9166	0.127654915699584	TRUE	0.220520898646551	AA	claim_eligible	scz-AA-hippocampus-20260918
A_technical	-0.0770503624805855	0.0335220790908768	0.021533579053462	1513	9691	Astle_et_al_2016_Red_blood_cell_count	negative_control	Blood	173480	FALSE		caudate	uniform_lead_snp	23888	217	197	11251	0.135041056765441	TRUE	0.0521775184756964	AA	descriptive_only	scz-AA-caudate-20260918
B_technical_context	-0.0807838112731712	0.0338128220992609	0.0168875318798474	1513	9691	Astle_et_al_2016_Red_blood_cell_count	negative_control	Blood	173480	FALSE		caudate	uniform_lead_snp	23888	217	197	11251	0.135041056765441	TRUE	0.0462571525404516	AA	descriptive_only	scz-AA-caudate-20260918
A_technical	-0.0721114096416149	0.0368794376249596	0.0505443279597291	964	8250	Astle_et_al_2016_Red_blood_cell_count	negative_control	Blood	173480	FALSE		dlpfc	uniform_lead_snp	23888	217	198	9251	0.104623399175168	TRUE	0.167594350603312	AA	claim_eligible	scz-AA-dlpfc-20260918
B_technical_context	-0.0859003739099672	0.0372902719922473	0.0212473630171471	964	8250	Astle_et_al_2016_Red_blood_cell_count	negative_control	Blood	173480	FALSE		dlpfc	uniform_lead_snp	23888	217	198	9251	0.104623399175168	TRUE	0.0933034847024005	AA	claim_eligible	scz-AA-dlpfc-20260918
A_technical	-0.0115007977146378	0.0367205213910674	0.754130158042084	974	8160	Astle_et_al_2016_Red_blood_cell_count	negative_control	Blood	173480	FALSE		hippocampus	uniform_lead_snp	23888	217	197	9166	0.106634552222466	TRUE	0.860308549902857	AA	claim_eligible	scz-AA-hippocampus-20260918
B_technical_context	-0.021123864307713	0.037035785994489	0.568431111003412	974	8160	Astle_et_al_2016_Red_blood_cell_count	negative_control	Blood	173480	FALSE		hippocampus	uniform_lead_snp	23888	217	197	9166	0.106634552222466	TRUE	0.774456704056297	AA	claim_eligible	scz-AA-hippocampus-20260918
A_technical	-0.0999653728895574	0.0358958656137207	0.00535489408147991	1283	9921	Astle_et_al_2016_Reticulocyte_count	negative_control	Blood	173480	FALSE		caudate	uniform_lead_snp	24791	183	167	11251	0.114512674044984	TRUE	0.0168679163566617	AA	descriptive_only	scz-AA-caudate-20260918
B_technical_context	-0.0934740952921216	0.0361622133145978	0.00974198217629572	1283	9921	Astle_et_al_2016_Reticulocyte_count	negative_control	Blood	173480	FALSE		caudate	uniform_lead_snp	24791	183	167	11251	0.114512674044984	TRUE	0.0323023619529805	AA	descriptive_only	scz-AA-caudate-20260918
A_technical	-0.0616407068460465	0.038921315398071	0.113256040424623	850	8364	Astle_et_al_2016_Reticulocyte_count	negative_control	Blood	173480	FALSE		dlpfc	uniform_lead_snp	24791	183	167	9251	0.0922509225092251	TRUE	0.297297106114635	AA	claim_eligible	scz-AA-dlpfc-20260918
B_technical_context	-0.0599070137642217	0.0394173224666441	0.128557632311666	850	8364	Astle_et_al_2016_Reticulocyte_count	negative_control	Blood	173480	FALSE		dlpfc	uniform_lead_snp	24791	183	167	9251	0.0922509225092251	TRUE	0.337463784818122	AA	claim_eligible	scz-AA-dlpfc-20260918
A_technical	-0.0337544152388494	0.0388140005253517	0.384494244028019	856	8278	Astle_et_al_2016_Reticulocyte_count	negative_control	Blood	173480	FALSE		hippocampus	uniform_lead_snp	24791	183	169	9166	0.0937157871688198	TRUE	0.596585856612061	AA	claim_eligible	scz-AA-hippocampus-20260918
B_technical_context	-0.0249659769278862	0.0392152053578176	0.52435922135916	856	8278	Astle_et_al_2016_Reticulocyte_count	negative_control	Blood	173480	FALSE		hippocampus	uniform_lead_snp	24791	183	169	9166	0.0937157871688198	TRUE	0.771681935055515	AA	claim_eligible	scz-AA-hippocampus-20260918
A_technical	-0.0371610425725093	0.0364043967414478	0.30735656718301	1208	9996	Astle_et_al_2016_Sum_basophil_neutrophil_counts	negative_control	Blood	173480	FALSE		caudate	uniform_lead_snp	13875	172	165	11251	0.107818636201357	TRUE	0.440078721193855	AA	descriptive_only	scz-AA-caudate-20260918
B_technical_context	-0.0241919792744756	0.0366596859461666	0.50931358360263	1208	9996	Astle_et_al_2016_Sum_basophil_neutrophil_counts	negative_control	Blood	173480	FALSE		caudate	uniform_lead_snp	13875	172	165	11251	0.107818636201357	TRUE	0.682696931212036	AA	descriptive_only	scz-AA-caudate-20260918
A_technical	-0.024244273117987	0.0388614436468481	0.532716609674714	855	8359	Astle_et_al_2016_Sum_basophil_neutrophil_counts	negative_control	Blood	173480	FALSE		dlpfc	uniform_lead_snp	13875	172	165	9251	0.0927935749945735	TRUE	0.720408509128799	AA	claim_eligible	scz-AA-dlpfc-20260918
B_technical_context	-0.00976095717790274	0.039399909394699	0.804335116904563	855	8359	Astle_et_al_2016_Sum_basophil_neutrophil_counts	negative_control	Blood	173480	FALSE		dlpfc	uniform_lead_snp	13875	172	165	9251	0.0927935749945735	TRUE	0.904877006517634	AA	claim_eligible	scz-AA-dlpfc-20260918
