comparison	cell	region	local_genetic_variance_run	n_donors	n_vmrs_scored	n_linked	n_background	unadj_mean_diff	unadj_p	adj_log_odds_per_sd	adj_se	adj_p	adj_or_per_sd	adj_or_lower	adj_or_upper	covariates	fdr_family	adj_q	significant	direction
full_arm	AA	caudate	lgv-AA-caudate-rescore-20260913	153	11251	2654	8597	-0.28269998065624	3.98983155208331e-37	-0.22569577965777	0.0260215242628523	4.19307612858864e-18	0.797960820657721	0.758283489002787	0.839714276440488	vmr_length,cpg_count,gc_content,mappability	scz_axis_caudate_downsampling		FALSE	lower_in_scz_linked
n_matched_replicate	AA.n118r1	caudate	lgv-AA.n118r1-caudate-20260918	118	11207	2633	8574	-0.26879325308679	1.63420024366125e-33	-0.207163489577871	0.025975072418595	1.51798300368651e-15	0.812886740613139	0.772537574303283	0.855343319269078	vmr_length,cpg_count,gc_content,mappability	scz_axis_caudate_downsampling	1.51798300368651e-15	TRUE	lower_in_scz_linked
n_matched_replicate	AA.n118r2	caudate	lgv-AA.n118r2-caudate-20260918	118	11250	2654	8596	-0.277225159170801	8.12985314704391e-36	-0.221476803479503	0.0258808845525152	1.15297567253382e-17	0.801334510104735	0.761699363524479	0.843032077791882	vmr_length,cpg_count,gc_content,mappability	scz_axis_caudate_downsampling	3.45892701760145e-17	TRUE	lower_in_scz_linked
n_matched_replicate	AA.n118r3	caudate	lgv-AA.n118r3-caudate-20260918	118	11247	2653	8594	-0.268867631750715	7.85232093283613e-34	-0.209022265877136	0.0260224433966797	9.55963723798193e-16	0.811377169417916	0.771031342160335	0.853834176452624	vmr_length,cpg_count,gc_content,mappability	scz_axis_caudate_downsampling	1.43394558569729e-15	TRUE	lower_in_scz_linked
