tag	region	annotation	adjustment	arm	estimate	se	p	n_linked	n_background	mean_linked	mean_background	skipped	skip_reason	role	category	ancestry	n_leads	in_distribution	axis_estimate	axis_p	n_linked_axis	q	cohort	tier	post_hoc_sensitivity	module_09_run_id	retrotransposition_claim_allowed	cell_type_claim_allowed	trait_mechanism_claim_allowed	built_with_unaccepted_runs
ADIPOGen_Adiponectin	caudate	line_l1_any	technical	all_vmrs	0.0416852164059353	0.465977583090682	0.928718282551322	84	11167	0.0833333333333333	0.147398585116862	FALSE		negative_control	Cardiometabolic	""	11	TRUE	-0.329036863373119	0.0128683391249469	84	0.96016792808514	AA	descriptive_only	TRUE	scz-AA-caudate-20260918	FALSE	FALSE	FALSE	FALSE
ADIPOGen_Adiponectin	caudate	line_l1_any	technical_score	all_vmrs	0.149882209037636	0.469960707030292	0.749783401460757	84	11167	0.0833333333333333	0.147398585116862	FALSE		negative_control	Cardiometabolic	""	11	TRUE	-0.329036863373119	0.0128683391249469	84	0.929731417811338	AA	descriptive_only	TRUE	scz-AA-caudate-20260918	FALSE	FALSE	FALSE	FALSE
ADIPOGen_Adiponectin	caudate	line_l1_any	technical	high_mappability	0.000586735497222001	0.591383462902385	0.99920838652571	70	8126	0.0571428571428571	0.0867585527935023	FALSE		negative_control	Cardiometabolic	""	11	TRUE	-0.329036863373119	0.0128683391249469	84	0.99920838652571	AA	descriptive_only	TRUE	scz-AA-caudate-20260918	FALSE	FALSE	FALSE	FALSE
ADIPOGen_Adiponectin	caudate	line_l1_any	technical_score	high_mappability	0.15361073392646	0.591323339271021	0.795037709984501	70	8126	0.0571428571428571	0.0867585527935023	FALSE		negative_control	Cardiometabolic	""	11	TRUE	-0.329036863373119	0.0128683391249469	84	0.949222806354144	AA	descriptive_only	TRUE	scz-AA-caudate-20260918	FALSE	FALSE	FALSE	FALSE
ADIPOGen_Adiponectin	caudate	h3k9me3_any	technical	all_vmrs	-14.3707399468479	362.690672645132	0.968394025874885	84	11167	0	0.0780289330922242	FALSE		negative_control	Cardiometabolic	""	11	TRUE	-0.329036863373119	0.0128683391249469	84	0.968394025874885	AA	descriptive_only	TRUE	scz-AA-caudate-20260918	FALSE	FALSE	FALSE	FALSE
ADIPOGen_Adiponectin	caudate	h3k9me3_any	technical_score	all_vmrs	-15.3070371626657	596.529708194502	0.979528415264939	84	11167	0	0.0780289330922242	FALSE		negative_control	Cardiometabolic	""	11	TRUE	-0.329036863373119	0.0128683391249469	84	0.992422349452482	AA	descriptive_only	TRUE	scz-AA-caudate-20260918	FALSE	FALSE	FALSE	FALSE
ADIPOGen_Adiponectin	caudate	h3k9me3_any	technical	high_mappability	-14.6556751384578	528.333977184388	0.977869987637558	70	8126	0	0.0507003842816413	FALSE		negative_control	Cardiometabolic	""	11	TRUE	-0.329036863373119	0.0128683391249469	84	0.981470293094806	AA	descriptive_only	TRUE	scz-AA-caudate-20260918	FALSE	FALSE	FALSE	FALSE
ADIPOGen_Adiponectin	caudate	h3k9me3_any	technical_score	high_mappability	-14.6271933205259	523.247505478584	0.977698332575543	70	8126	0	0.0507003842816413	FALSE		negative_control	Cardiometabolic	""	11	TRUE	-0.329036863373119	0.0128683391249469	84	0.99383136369956	AA	descriptive_only	TRUE	scz-AA-caudate-20260918	FALSE	FALSE	FALSE	FALSE
ADIPOGen_Adiponectin	caudate	quiescent_any	technical	all_vmrs	-0.450732146998851	0.296390379772768	0.128325570147506	84	11167	0.202380952380952	0.350361663652803	FALSE		negative_control	Cardiometabolic	""	11	TRUE	-0.329036863373119	0.0128683391249469	84	0.256651140295013	AA	descriptive_only	TRUE	scz-AA-caudate-20260918	FALSE	FALSE	FALSE	FALSE
ADIPOGen_Adiponectin	caudate	quiescent_any	technical_score	all_vmrs	-0.340789111450671	0.298332579135375	0.253324039800594	84	11167	0.202380952380952	0.350361663652803	FALSE		negative_control	Cardiometabolic	""	11	TRUE	-0.329036863373119	0.0128683391249469	84	0.49081532711365	AA	descriptive_only	TRUE	scz-AA-caudate-20260918	FALSE	FALSE	FALSE	FALSE
