region	run_id	n_linked	n_background	adj_log_odds_per_sd	adj_se	adj_or_per_sd	adj_or_lower	adj_or_upper	adj_q	adj_significant	adj_direction	unadj_mean_diff	unadj_q	unadj_direction	covariates	is_primary_region
caudate	scz-AA-caudate-20260918	2646	8558	-0.22569577965777	0.0260215242628523	0.797960820657722	0.758283489002787	0.839714276440488	4.19307612858864e-18	TRUE	lower_in_scz_linked	-0.28269998065624	7.97966310416661e-37	lower_in_scz_linked	vmr_length,cpg_count,gc_content,mappability	TRUE
dlpfc	scz-AA-dlpfc-20260918	2057	7157	-0.160730949086259	0.026483028155112	0.851521142831339	0.808448997947894	0.896888064094705	1.28544306503654e-09	TRUE	lower_in_scz_linked	-0.165666970449204	6.58890311968831e-11	lower_in_scz_linked	vmr_length,cpg_count,gc_content,mappability	FALSE
hippocampus	scz-AA-hippocampus-20260918	2008	7126	-0.159806653542875	0.0266529078702141	0.852308563877578	0.808927200520417	0.898016394542942	2.02432412373722e-09	TRUE	lower_in_scz_linked	-0.163695953521152	1.68657105740902e-10	lower_in_scz_linked	vmr_length,cpg_count,gc_content,mappability	FALSE
