annotation	n_regions_tested	n_regions_depleted_direction	n_regions_significant	n_regions_claimable	claimable_regions	constrained_regions	permitted_statement	blanket_repressive_chromatin_claim_permitted	note
quiescent_chromatin	3	3	3	3	caudate,dlpfc,hippocampus	dlpfc,hippocampus	SCZ-linked VMRs are DEPLETED for quiescent_chromatin in caudate, dlpfc, hippocampus (direct linked-vs-background test; not an enrichment)	FALSE	Claimability is narrower than significance. Do NOT write a blanket 'depleted of repressive chromatin' statement; cite the annotations and regions listed here.
h3k9me3	3	3	3	2	dlpfc,hippocampus	caudate,dlpfc,hippocampus	SCZ-linked VMRs are DEPLETED for h3k9me3 in dlpfc, hippocampus (direct linked-vs-background test; not an enrichment)	FALSE	Claimability is narrower than significance. Do NOT write a blanket 'depleted of repressive chromatin' statement; cite the annotations and regions listed here.
line_l1	3	3	2	1	dlpfc	caudate,dlpfc,hippocampus	SCZ-linked VMRs are DEPLETED for line_l1 in dlpfc (direct linked-vs-background test; not an enrichment)	FALSE	Claimability is narrower than significance. Do NOT write a blanket 'depleted of repressive chromatin' statement; cite the annotations and regions listed here.
expression_splicing_coupling	3	2	0	0	""	dlpfc,hippocampus	no claimable difference in any region	FALSE	Claimability is narrower than significance. Do NOT write a blanket 'depleted of repressive chromatin' statement; cite the annotations and regions listed here.
high_mappability_repeat_intervals	3	3	1	0	""	caudate,dlpfc,hippocampus	no claimable difference in any region	FALSE	Claimability is narrower than significance. Do NOT write a blanket 'depleted of repressive chromatin' statement; cite the annotations and regions listed here.
