region	model	tag	ancestry	estimate	se	p	n_leads	percentile_in_distribution	distribution_median	compared_with	comparator_estimate	comparator_n_leads	shift_from_comparator	cohort	tier	matched_ancestry_test	built_with_unaccepted_runs
caudate	A_technical	BIP2024_multiancestry	EUR_EAS_AFR_AMR	-0.190734533681998	0.053949120824204	0.000407078006233901	91	0.19047619047619	-0.0845842288962436					AA	descriptive_only	FALSE	FALSE
caudate	A_technical	PGC3_SCZ_multiancestry	EUR_EAS_AFR_AMR	-0.223005383736222	0.0353276109050029	2.74571505239906e-10	280	0.174603174603175	-0.0845842288962436	PGC3_SCZ	-0.17330736925656	197	-0.0496980144796621	AA	descriptive_only	FALSE	FALSE
caudate	B_technical_context	BIP2024_multiancestry	EUR_EAS_AFR_AMR	-0.199287899001308	0.0544818576897013	0.0002543136711961	91	0.158730158730159	-0.084231508521232					AA	descriptive_only	FALSE	FALSE
caudate	B_technical_context	PGC3_SCZ_multiancestry	EUR_EAS_AFR_AMR	-0.2225904017088	0.0356739245803372	4.38739825358807e-10	280	0.158730158730159	-0.084231508521232	PGC3_SCZ	-0.181981206012662	197	-0.0406091956961381	AA	descriptive_only	FALSE	FALSE
dlpfc	A_technical	BIP2024_multiancestry	EUR_EAS_AFR_AMR	-0.111095380567382	0.058746271290708	0.0586102992297339	91	0.285714285714286	-0.0528376226364257					AA	claim_eligible	FALSE	FALSE
dlpfc	A_technical	PGC3_SCZ_multiancestry	EUR_EAS_AFR_AMR	-0.152351751240561	0.037784971247161	5.52870761609284e-05	280	0.142857142857143	-0.0528376226364257	PGC3_SCZ	-0.138504056700412	197	-0.0138476945401489	AA	claim_eligible	FALSE	FALSE
dlpfc	B_technical_context	BIP2024_multiancestry	EUR_EAS_AFR_AMR	-0.115617332903063	0.0592261605158141	0.0509224352501346	91	0.222222222222222	-0.0491619144625754					AA	claim_eligible	FALSE	FALSE
dlpfc	B_technical_context	PGC3_SCZ_multiancestry	EUR_EAS_AFR_AMR	-0.149484000440912	0.0382813275239609	9.42720480231556e-05	280	0.142857142857143	-0.0491619144625754	PGC3_SCZ	-0.143944930343532	197	-0.00553907009737969	AA	claim_eligible	FALSE	FALSE
hippocampus	A_technical	BIP2024_multiancestry	EUR_EAS_AFR_AMR	-0.12701007402262	0.0585708427147709	0.0301217006608943	91	0.222222222222222	-0.0490569349457051					AA	claim_eligible	FALSE	FALSE
hippocampus	A_technical	PGC3_SCZ_multiancestry	EUR_EAS_AFR_AMR	-0.162231025854246	0.0382892489740457	2.26539886759721e-05	280	0.174603174603175	-0.0490569349457051	PGC3_SCZ	-0.0981357680586475	197	-0.064095257795598	AA	claim_eligible	FALSE	FALSE
hippocampus	B_technical_context	BIP2024_multiancestry	EUR_EAS_AFR_AMR	-0.134086114889937	0.0589188046903293	0.0228593048159524	91	0.206349206349206	-0.0415566291469748					AA	claim_eligible	FALSE	FALSE
hippocampus	B_technical_context	PGC3_SCZ_multiancestry	EUR_EAS_AFR_AMR	-0.16377689987786	0.038673542901364	2.2869782384976e-05	280	0.174603174603175	-0.0415566291469748	PGC3_SCZ	-0.108019171074467	197	-0.055757728803393	AA	claim_eligible	FALSE	FALSE
