region	annotation	adjustment	arm	category	n_traits	median_estimate	n_positive_q_below_alpha	n_negative_q_below_alpha	cohort	tier
hippocampus	segdup_any	technical	high_mappability	Blood	14	0.00752847318004003	0	0	AA	claim_eligible
hippocampus	segdup_any	technical_score	high_mappability	Blood	14	0.000281358457482565	0	0	AA	claim_eligible
hippocampus	snp_proximal_any	technical	all_vmrs	Blood	14	-0.0759563929006869	0	0	AA	claim_eligible
hippocampus	snp_proximal_any	technical_score	all_vmrs	Blood	14	-0.0673433329775537	0	0	AA	claim_eligible
hippocampus	cell_composition_r2	technical	all_vmrs	Blood	14	0.00247352010242093	0	0	AA	claim_eligible
hippocampus	cell_composition_r2	technical_score	all_vmrs	Blood	14	-0.00833611185707819	0	0	AA	claim_eligible
caudate	line_l1_any	technical	all_vmrs	Cancer	2	0.219174196614266	0	0	AA	descriptive_only
caudate	line_l1_any	technical_score	all_vmrs	Cancer	2	0.226011164550795	0	0	AA	descriptive_only
caudate	line_l1_any	technical	high_mappability	Cancer	2	0.498923631562749	0	0	AA	descriptive_only
caudate	line_l1_any	technical_score	high_mappability	Cancer	2	0.510100921738653	0	0	AA	descriptive_only
caudate	h3k9me3_any	technical	all_vmrs	Cancer	2	0.492827049903373	0	0	AA	descriptive_only
caudate	h3k9me3_any	technical_score	all_vmrs	Cancer	2	0.491609235652758	0	0	AA	descriptive_only
caudate	h3k9me3_any	technical	high_mappability	Cancer	2	0.447208436738656	0	0	AA	descriptive_only
caudate	h3k9me3_any	technical_score	high_mappability	Cancer	2	0.450158800378522	0	0	AA	descriptive_only
caudate	quiescent_any	technical	all_vmrs	Cancer	2	0.0482003997444454	0	0	AA	descriptive_only
caudate	quiescent_any	technical_score	all_vmrs	Cancer	2	0.0445707646651579	0	0	AA	descriptive_only
caudate	quiescent_any	technical	high_mappability	Cancer	2	-0.123042309390331	0	0	AA	descriptive_only
caudate	quiescent_any	technical_score	high_mappability	Cancer	2	-0.11663938544113	0	0	AA	descriptive_only
caudate	h3k27me3_any	technical	all_vmrs	Cancer	2	0.0366747952054621	0	0	AA	descriptive_only
caudate	h3k27me3_any	technical_score	all_vmrs	Cancer	2	0.0378149995876612	0	0	AA	descriptive_only
caudate	bivalent_any	technical	all_vmrs	Cancer	2	-1.32280295248569	0	0	AA	descriptive_only
caudate	bivalent_any	technical_score	all_vmrs	Cancer	2	-1.32126892419067	0	0	AA	descriptive_only
caudate	accessible_any	technical	all_vmrs	Cancer	2	-0.125399794782103	0	0	AA	descriptive_only
caudate	accessible_any	technical_score	all_vmrs	Cancer	2	-0.125751518018007	0	0	AA	descriptive_only
caudate	h3k27ac_any	technical	all_vmrs	Cancer	2	-0.151278593852747	0	0	AA	descriptive_only
caudate	h3k27ac_any	technical_score	all_vmrs	Cancer	2	-0.152404189808177	0	0	AA	descriptive_only
caudate	segdup_any	technical	all_vmrs	Cancer	2	0.30967090758583	0	0	AA	descriptive_only
caudate	segdup_any	technical_score	all_vmrs	Cancer	2	0.307345444590321	0	0	AA	descriptive_only
caudate	segdup_any	technical	high_mappability	Cancer	2	1.91724241967396	2	0	AA	descriptive_only
caudate	segdup_any	technical_score	high_mappability	Cancer	2	1.91550145669497	2	0	AA	descriptive_only
caudate	snp_proximal_any	technical	all_vmrs	Cancer	2	-0.163574165170067	0	0	AA	descriptive_only
