region	model	scz_estimate	scz_se	scz_p	scz_n_leads	scz_published_estimate	scz_published_p	n_traits_in_distribution	distribution_median	distribution_q25	distribution_q75	n_traits_negative_q_below_alpha	n_traits_positive_q_below_alpha	scz_percentile_in_distribution	n_traits_more_negative_than_scz	similar_lead_count_n	similar_lead_count_median	scz_percentile_similar_lead_count	psychiatric_median	nonpsychiatric_median	psychiatric_vs_other_wilcoxon_p	spearman_estimate_vs_log_n_leads	spearman_estimate_vs_frac_linked	scz_context_attenuation	cohort	tier	post_hoc_sensitivity	alters_module_09_decision	regions_are_independent_replicates	built_with_unaccepted_runs
caudate	A_technical	-0.17330736925656	0.0388481149669562	8.15200117713017e-06	197	-0.22569577965777	4.19307612858864e-18	63	-0.0845842288962436	-0.171312916862747	-0.0055952561792316	25	0	0.253968253968254	16	20	-0.102428074339994	0.15	-0.135295424424266	-0.0842427972438058	0.960835907611665	-0.155720689340903	-0.157018049155146	0.0312982292830807	AA	descriptive_only	TRUE	FALSE	FALSE	FALSE
caudate	B_technical_context	-0.181981206012662	0.0392677702459592	3.5803364760727e-06	197	-0.218631901397818	8.98291544519657e-17	63	-0.084231508521232	-0.169346228887147	-0.0177375214814916	25	0	0.206349206349206	13	20	-0.0932661749108387	0.05	-0.12977422639834	-0.0825076598972016	0.745869437220014	-0.150294714041636	-0.14943356374808	0.0312982292830807	AA	descriptive_only	TRUE	FALSE	FALSE	FALSE
dlpfc	A_technical	-0.138504056700412	0.0433865314413017	0.00141130772421554	197	-0.160730949086259	1.28544306503654e-09	63	-0.0528376226364257	-0.112582021848582	-0.0209471898984171	11	1	0.174603174603175	11	20	-0.0616155902024206	0.1	-0.0461349735963265	-0.0530575856873918	0.602708746322089	-0.215430426373099	-0.190456760249758	0.0244385199945434	AA	claim_eligible	TRUE	FALSE	FALSE	FALSE
dlpfc	B_technical_context	-0.143944930343532	0.0439198081108764	0.00104749658781607	197	-0.156802922573272	5.44327693073689e-09	63	-0.0491619144625754	-0.110391559208252	-0.00279032227069532	9	1	0.158730158730159	10	20	-0.0573228281637995	0.05	-0.0604248266543371	-0.0414289254030512	0.275658986122845	-0.226762551776878	-0.1836641624992	0.0244385199945434	AA	claim_eligible	TRUE	FALSE	FALSE	FALSE
hippocampus	A_technical	-0.0981357680586475	0.0435631462729257	0.0242765235100966	197	-0.159806653542875	2.02432412373722e-09	63	-0.0490569349457051	-0.119833942207513	0.018939624911815	12	0	0.333333333333333	21	20	-0.046497496289858	0.15	-0.146751078567991	-0.0442297352643881	0.1848975989656	-0.153199771613367	-0.128337753678521	0.011785258477184	AA	claim_eligible	TRUE	FALSE	FALSE	FALSE
hippocampus	B_technical_context	-0.108019171074467	0.0439879658927179	0.0140628958112504	197	-0.157923290824498	4.75797598649483e-09	63	-0.0415566291469748	-0.125710473532774	0.0256999831099651	11	0	0.317460317460317	20	20	-0.0420030911600807	0.1	-0.145573055389519	-0.0326525355367749	0.109418745473711	-0.152671579327598	-0.122289293995149	0.011785258477184	AA	claim_eligible	TRUE	FALSE	FALSE	FALSE
