region	sample_id	n_cell_types	fraction_sum	min_fraction	max_fraction	bounded	sum_to_one
dlpfc	Br1473	7	1	0.0234859360185438	0.453171067338367	TRUE	TRUE
dlpfc	Br1474	7	1	0.0645382012747967	0.226094248126384	TRUE	TRUE
dlpfc	Br1494	7	1	0.0225583057569294	0.422572136770997	TRUE	TRUE
dlpfc	Br1497	7	1	0.0370159408746263	0.296596715888298	TRUE	TRUE
dlpfc	Br1498	7	1	0.0168545238398091	0.323314988300643	TRUE	TRUE
dlpfc	Br1499	7	1	0.0362950423987553	0.362496365851598	TRUE	TRUE
dlpfc	Br1503	7	1	0.0391478755577324	0.321330147087166	TRUE	TRUE
dlpfc	Br1504	7	1	0.048494646265586	0.300873547550757	TRUE	TRUE
dlpfc	Br1509	7	1	0.0636815834199102	0.238393496587042	TRUE	TRUE
dlpfc	Br1517	7	1	0.0456265270034473	0.455755432022601	TRUE	TRUE
dlpfc	Br1522	7	1	0.0451252201076463	0.193978192691943	TRUE	TRUE
dlpfc	Br1527	7	1	0.0464326593726392	0.240433085702726	TRUE	TRUE
dlpfc	Br1528	7	1	0.0410617152022318	0.211394607526122	TRUE	TRUE
dlpfc	Br1529	7	1	0.0294077130243138	0.349578613210027	TRUE	TRUE
dlpfc	Br1536	7	1	0.0555508529309251	0.283365327581463	TRUE	TRUE
dlpfc	Br1538	7	1	0.0563039810312411	0.269789208255027	TRUE	TRUE
dlpfc	Br1539	7	1	0.0342161159910911	0.302135469477913	TRUE	TRUE
dlpfc	Br1556	7	1	0.052501026590912	0.295400830783874	TRUE	TRUE
dlpfc	Br1563	7	1	0.0731575503444244	0.27775551465756	TRUE	TRUE
dlpfc	Br1565	7	1	1.66814143441972e-20	0.652503396886685	TRUE	TRUE
dlpfc	Br1568	7	1	0.0459204788557253	0.322823043446756	TRUE	TRUE
dlpfc	Br1571	7	1	0.0548393734985387	0.243895934943359	TRUE	TRUE
dlpfc	Br1573	7	1	0.0423270752959066	0.299224289843021	TRUE	TRUE
dlpfc	Br1576	7	1	0.048381589824637	0.259308673289409	TRUE	TRUE
dlpfc	Br1578	7	1	0.0454427906040878	0.245394043106354	TRUE	TRUE
dlpfc	Br1579	7	1	0.0393345714237124	0.372742742528364	TRUE	TRUE
dlpfc	Br1581	7	1	0.00217158112602699	0.59998544660067	TRUE	TRUE
dlpfc	Br1585	7	1	0.0596045546107389	0.34181895728967	TRUE	TRUE
dlpfc	Br1587	7	1	0.0483884755191375	0.41985694237961	TRUE	TRUE
dlpfc	Br1588	7	1	0.0462564238431065	0.408488945270567	TRUE	TRUE
dlpfc	Br1590	7	1	0.0158734763885303	0.474222342876871	TRUE	TRUE
dlpfc	Br1594	7	1	0.0329516098739939	0.300092361142789	TRUE	TRUE
dlpfc	Br1602	7	1	0.0481105304487956	0.285659896341642	TRUE	TRUE
dlpfc	Br1605	7	1	0.0522472647130713	0.285276714939138	TRUE	TRUE
dlpfc	Br1611	7	1	0.0451463848979155	0.216118954123147	TRUE	TRUE
dlpfc	Br1615	7	1	0.0282443370958091	0.479488793797371	TRUE	TRUE
dlpfc	Br1637	7	1	0.0376951887957982	0.363273749943347	TRUE	TRUE
dlpfc	Br1644	7	1	0.0515896556298859	0.25414982264974	TRUE	TRUE
dlpfc	Br1648	7	1	0.0412055517291153	0.389807988150293	TRUE	TRUE
dlpfc	Br1654	7	1	0.0305135012375923	0.47806220498621	TRUE	TRUE
dlpfc	Br1657	7	1	0.0438425201244188	0.193067356212255	TRUE	TRUE
dlpfc	Br1663	7	1	0.0389804190292679	0.284020243416201	TRUE	TRUE
dlpfc	Br1664	7	1	0.047265522700353	0.25084402138088	TRUE	TRUE
dlpfc	Br1665	7	1	0.0543333760501199	0.280748636472039	TRUE	TRUE
dlpfc	Br1669	7	1	0.0534048751215221	0.423291073775	TRUE	TRUE
dlpfc	Br1676	7	1	0.030487826723715	0.383217205096121	TRUE	TRUE
dlpfc	Br1678	7	1	0.0329450593797895	0.451256961615245	TRUE	TRUE
dlpfc	Br1682	7	1	0.0629448955475432	0.268626207644576	TRUE	TRUE
dlpfc	Br1684	7	1	0.0637558280014979	0.242058528042213	TRUE	TRUE
dlpfc	Br1688	7	1	0.0550967314452122	0.223960594506489	TRUE	TRUE
dlpfc	Br1703	7	1	0.0253335881052106	0.403039035053201	TRUE	TRUE
dlpfc	Br1721	7	1	0.0725027127870252	0.216659405372892	TRUE	TRUE
dlpfc	Br1722	7	1	0.0521712266920361	0.292319698800699	TRUE	TRUE
dlpfc	Br1733	7	1	0.0525396155824146	0.234972699260071	TRUE	TRUE
dlpfc	Br1738	7	1	0.0435558363626157	0.271318846554335	TRUE	TRUE
dlpfc	Br1740	7	1	0.0434875039984899	0.29630640808962	TRUE	TRUE
dlpfc	Br1753	7	1	0.0611460486353033	0.26571205295114	TRUE	TRUE
dlpfc	Br1761	7	1	0.0460387893230439	0.315157801595994	TRUE	TRUE
dlpfc	Br1832	7	1	0.030012314860457	0.348484673990293	TRUE	TRUE
dlpfc	Br1840	7	1	0.0509757003973018	0.243006746905385	TRUE	TRUE
dlpfc	Br1880	7	1	0.0699870615402483	0.320012149867001	TRUE	TRUE
dlpfc	Br1884	7	1	0.0552157287663738	0.236490809269242	TRUE	TRUE
dlpfc	Br1898	7	1	0.0616279673383833	0.271453044729513	TRUE	TRUE
dlpfc	Br1905	7	1	0.0358322291327092	0.463045302901095	TRUE	TRUE
dlpfc	Br1912	7	1	0.0572556027677999	0.338312286596863	TRUE	TRUE
dlpfc	Br1927	7	1	0.0557558877543404	0.257476287332198	TRUE	TRUE
dlpfc	Br1936	7	1	0.0259055716685767	0.467520181854878	TRUE	TRUE
dlpfc	Br1941	7	1	0.0650056840454026	0.340988412928541	TRUE	TRUE
dlpfc	Br1946	7	1	0.0575384995614523	0.284937559510332	TRUE	TRUE
dlpfc	Br1958	7	1	0.057023490413316	0.225864520998799	TRUE	TRUE
dlpfc	Br1960	7	1	0.050495702367929	0.336087944792739	TRUE	TRUE
dlpfc	Br1974	7	1	0.0624001895839207	0.295780208529027	TRUE	TRUE
dlpfc	Br2009	7	1	0.0461059435975611	0.274956056546717	TRUE	TRUE
dlpfc	Br2020	7	1	0.044290081640524	0.383300299062813	TRUE	TRUE
dlpfc	Br2038	7	1	0.0500526959338241	0.312110113858807	TRUE	TRUE
dlpfc	Br2044	7	1	0.0344670831264896	0.308558240955567	TRUE	TRUE
dlpfc	Br2046	7	1	0.0560297486191729	0.243504202519115	TRUE	TRUE
dlpfc	Br2053	7	1	0.0319719509005233	0.316483408681714	TRUE	TRUE
dlpfc	Br2064	7	1	0.0560158447895491	0.264925484760387	TRUE	TRUE
dlpfc	Br2074	7	1	0.0563444378156882	0.265231385266146	TRUE	TRUE
dlpfc	Br2076	7	1	0.057709625299726	0.223588963201989	TRUE	TRUE
dlpfc	Br2084	7	1	0.0567810450363317	0.308816765228107	TRUE	TRUE
dlpfc	Br2242	7	1	0.0387629088864436	0.340964560630363	TRUE	TRUE
dlpfc	Br2257	7	1	0.0558473030828059	0.31048054131819	TRUE	TRUE
dlpfc	Br2263	7	1	0.0365832045276315	0.328355506611301	TRUE	TRUE
dlpfc	Br2267	7	1	0.0365656222056548	0.301749910738563	TRUE	TRUE
dlpfc	Br2271	7	1	0.0427230577244788	0.27772967107715	TRUE	TRUE
dlpfc	Br2285	7	1	0.054760802401201	0.289149786177466	TRUE	TRUE
dlpfc	Br2288	7	1	0.0732773884768193	0.240587394531643	TRUE	TRUE
dlpfc	Br2292	7	1	0.040385017909202	0.277086346240033	TRUE	TRUE
