sample_id	region	n_marker_coordinates	n_marker_coordinates_covered	marker_coverage_fraction	mean_marker_coverage	sample_qc_pass
Br1003	dlpfc	2837	2833	0.998590059922453	38.5826577370462	TRUE
Br1004	dlpfc	2837	2834	0.99894254494184	32.0377158970744	TRUE
Br1007	dlpfc	2837	2758	0.972153683468452	21.7359887204794	TRUE
Br1016	dlpfc	2837	2832	0.998237574903067	44.4310891787099	TRUE
Br1017	dlpfc	2837	2733	0.963341557983786	18.242509693338	TRUE
Br1021	dlpfc	2837	2833	0.998590059922453	29.2703560098696	TRUE
Br1023	dlpfc	2837	2827	0.996475149806133	23.7359887204794	TRUE
Br1030	dlpfc	2837	2830	0.997532604864293	31.2185407120197	TRUE
Br1034	dlpfc	2837	2834	0.99894254494184	40.572435671484	TRUE
Br1039	dlpfc	2837	2835	0.999295029961227	40.3133591822348	TRUE
Br1053	dlpfc	2837	2820	0.994007754670426	25.0493479027141	TRUE
Br1054	dlpfc	2837	2787	0.982375749030666	22.6806485724357	TRUE
Br1056	dlpfc	2837	2780	0.979908353894959	22.6598519562919	TRUE
Br1067	dlpfc	2837	2825	0.99577017976736	37.3616496298907	TRUE
Br1069	dlpfc	2837	2802	0.987663024321466	24.1854071201974	TRUE
Br1084	dlpfc	2837	2827	0.996475149806133	29.9397250616849	TRUE
Br1093	dlpfc	2837	2826	0.996122664786747	27.2234755022912	TRUE
Br1099	dlpfc	2837	2796	0.985548114205146	22.2960874162848	TRUE
Br1102	dlpfc	2837	2761	0.973211138526613	19.1624955939373	TRUE
Br1105	dlpfc	2837	2833	0.998590059922453	26.2950299612267	TRUE
Br1111	dlpfc	2837	2830	0.997532604864293	37.8096580895312	TRUE
Br1122	dlpfc	2837	2834	0.99894254494184	39.2685935847726	TRUE
Br1134	dlpfc	2837	2833	0.998590059922453	26.6108565385971	TRUE
Br1135	dlpfc	2837	2833	0.998590059922453	38.9848431441664	TRUE
Br1137	dlpfc	2837	2800	0.986958054282693	25.6196686640818	TRUE
Br1142	dlpfc	2837	2837	1	39.8043708142404	TRUE
Br1143	dlpfc	2837	2836	0.999647514980613	43.3320408882623	TRUE
Br1157	dlpfc	2837	2049	0.722241804723299	8.86112090236165	FALSE
Br1160	dlpfc	2837	2824	0.995417694747973	25.9940077546704	TRUE
Br1167	dlpfc	2837	2826	0.996122664786747	25.847726471625	TRUE
Br1179	dlpfc	2837	2828	0.99682763482552	38.1251321818823	TRUE
Br1185	dlpfc	2837	2830	0.997532604864293	39.4790271413465	TRUE
Br1187	dlpfc	2837	2829	0.997180119844907	28.3193514275643	TRUE
Br1193	dlpfc	2837	2824	0.995417694747973	27.2982023264011	TRUE
Br1214	dlpfc	2837	2817	0.992950299612266	23.4346140289038	TRUE
Br1227	dlpfc	2837	2829	0.997180119844907	26.3168840324286	TRUE
Br1228	dlpfc	2837	2821	0.994360239689813	25.9834332040888	TRUE
Br1235	dlpfc	2837	2833	0.998590059922453	25.2696510398308	TRUE
Br1245	dlpfc	2837	2823	0.995065209728587	27.4388438491364	TRUE
Br1250	dlpfc	2837	2821	0.994360239689813	25.676418752203	TRUE
Br1263	dlpfc	2837	2821	0.994360239689813	26.1917518505464	TRUE
Br1265	dlpfc	2837	2820	0.994007754670426	25.6112090236165	TRUE
Br1275	dlpfc	2837	2817	0.992950299612266	24.3249911878745	TRUE
Br1276	dlpfc	2837	2817	0.992950299612266	26.2626013394431	TRUE
Br1279	dlpfc	2837	2835	0.999295029961227	40.0289037715897	TRUE
Br1280	dlpfc	2837	2774	0.977793443778639	21.2633063094819	TRUE
Br1281	dlpfc	2837	2799	0.986605569263306	23.4134649277406	TRUE
Br1283	dlpfc	2837	2836	0.999647514980613	41.4346140289038	TRUE
Br1298	dlpfc	2837	2818	0.993302784631653	25.2227705322524	TRUE
Br1314	dlpfc	2837	2823	0.995065209728587	27.94254494184	TRUE
Br1320	dlpfc	2837	2834	0.99894254494184	25.9132886852309	TRUE
Br1321	dlpfc	2837	2834	0.99894254494184	40.1508635882975	TRUE
Br1324	dlpfc	2837	2825	0.99577017976736	23.8903771589707	TRUE
Br1325	dlpfc	2837	2834	0.99894254494184	27.1868170602749	TRUE
Br1326	dlpfc	2837	2823	0.995065209728587	25.1307719421925	TRUE
Br1339	dlpfc	2837	2811	0.990835389495946	21.2756432851604	TRUE
Br1340	dlpfc	2837	2822	0.9947127247092	22.7483256961579	TRUE
Br1348	dlpfc	2837	2809	0.990130419457173	24.1882270003525	TRUE
Br1351	dlpfc	2837	2829	0.997180119844907	25.4955939372577	TRUE
Br1370	dlpfc	2837	2826	0.996122664786747	26.7123722241805	TRUE
