term	estimate	std.error	statistic	p.value	conf.low	conf.high	model	estimate_scale	cohort	tissue	modality	population	run_tag
(Intercept)	1.13456327796501e-08	418.965262707536	-0.0436657512509783	0.965170839706608	5.71006121183002e-80	0.00574574332439765	burden_fdr10_category	odds_ratio	BA_only	dlpfc	expression	AA	nearest_gene_window_250kb
h2_categoryNon-heritable	0.329497990276236	0.230007087867614	-4.82674266547197	1.38784261627708e-06	0.205954133907923	0.509211119186892	burden_fdr10_category	odds_ratio	BA_only	dlpfc	expression	AA	nearest_gene_window_250kb
h2_categoryLow prediction	10.0200527491229	0.910657349860166	2.53068660828385	0.0113839511627731	1.65834491521855	60.8474986303838	burden_fdr10_category	odds_ratio	BA_only	dlpfc	expression	AA	nearest_gene_window_250kb
log_vmr_length	1.30579075272076	0.109526566389429	2.43601901204682	0.0148499040028929	1.05440915964976	1.62009428028022	burden_fdr10_category	odds_ratio	BA_only	dlpfc	expression	AA	nearest_gene_window_250kb
log_num_snps	0.652790846962493	0.189132833784716	-2.25502091885944	0.0241320157702987	0.453018073201075	0.951550074926071	burden_fdr10_category	odds_ratio	BA_only	dlpfc	expression	AA	nearest_gene_window_250kb
methylation_variance	9963268.78039395	9.53284960542713	1.69040910467595	0.0909497144103412	0.0221503421070638	533881309412421	burden_fdr10_category	odds_ratio	BA_only	dlpfc	expression	AA	nearest_gene_window_250kb
log_min_distance	0.888467650421516	0.037130208598696	-3.18492800655143	0.0014479002398182	0.821666227304924	0.950980770917213	burden_fdr10_category	odds_ratio	BA_only	dlpfc	expression	AA	nearest_gene_window_250kb
chromatin_stateGenic/other	2307533.03686274	418.963195586705	0.0349713046796528	0.972102622419811	2.8242575456184	3.32791001537401e+76	burden_fdr10_category	odds_ratio	BA_only	dlpfc	expression	AA	nearest_gene_window_250kb
chromatin_stateIntergenic	2358107.42902001	418.963500441347	0.0350230268339967	0.972061379376421	3.12422550897164	5.25230071969853e+76	burden_fdr10_category	odds_ratio	BA_only	dlpfc	expression	AA	nearest_gene_window_250kb
chromatin_statePromoter	11412673.463067	418.963179824036	0.0387867855356345	0.969060380522273	22666517275873500	1.77862771675189e+79	burden_fdr10_category	odds_ratio	BA_only	dlpfc	expression	AA	nearest_gene_window_250kb
(Intercept)	-1.90794734211132	0.245239624866025	-7.77993092736804	8.1562380058256e-15	-2.38868043733212	-1.42721424689053	strength_category	log_abs_beta	BA_only	dlpfc	expression	AA	nearest_gene_window_250kb
h2_categoryNon-heritable	0.00111926235236524	0.0308604612598163	0.0362684907053753	0.971069173227678	-0.0593752236813568	0.0616137483860873	strength_category	log_abs_beta	BA_only	dlpfc	expression	AA	nearest_gene_window_250kb
h2_categoryLow prediction	2.21547253419579	0.410907268234591	5.39166061411926	7.17883923313821e-08	1.40998800854031	3.02095705985126	strength_category	log_abs_beta	BA_only	dlpfc	expression	AA	nearest_gene_window_250kb
log_vmr_length	-0.0556595061422484	0.0190064891880105	-2.92844752082668	0.00341614083007873	-0.0929171409213934	-0.0184018713631034	strength_category	log_abs_beta	BA_only	dlpfc	expression	AA	nearest_gene_window_250kb
log_num_snps	0.0708986740523921	0.0329075936504946	2.15447762013211	0.0312323040587381	0.00639127904837153	0.135406069056413	strength_category	log_abs_beta	BA_only	dlpfc	expression	AA	nearest_gene_window_250kb
methylation_variance	4.68828680269628	2.59639508977291	1.80569082924369	0.0710039773936944	-0.401319122954958	9.77789272834751	strength_category	log_abs_beta	BA_only	dlpfc	expression	AA	nearest_gene_window_250kb
log_min_distance	-0.049866619502198	0.00458213463896077	-10.8828359337577	2.15772050993543e-27	-0.0588487885497547	-0.0408844504546412	strength_category	log_abs_beta	BA_only	dlpfc	expression	AA	nearest_gene_window_250kb
chromatin_stateGenic/other	-0.16709002928523	0.0598433933370169	-2.79212156877933	0.00524871508915879	-0.284398558537533	-0.0497815000329281	strength_category	log_abs_beta	BA_only	dlpfc	expression	AA	nearest_gene_window_250kb
chromatin_stateIntergenic	-0.0903426646090978	0.0734501396826212	-1.22998628728917	0.21873817482871	-0.234323936042359	0.0536386068241634	strength_category	log_abs_beta	BA_only	dlpfc	expression	AA	nearest_gene_window_250kb
chromatin_statePromoter	0.059415746242225	0.0646133309170135	0.91955863285451	0.357830998570145	-0.067243094396724	0.186074586881174	strength_category	log_abs_beta	BA_only	dlpfc	expression	AA	nearest_gene_window_250kb
(Intercept)	9.53381516081421e-09	418.774228299795	-0.0441011399930285	0.964823784087412	2.7313461440882e-80	5.87430499385061e-06	burden_fdr10_continuous_h2	odds_ratio_per_0.1_h2	BA_only	dlpfc	expression	AA	nearest_gene_window_250kb
h2_scaled	1.54300763341518	0.0534788252032693	8.11037861894014	5.04622745140901e-16	1.38594516559266	1.71049041411941	burden_fdr10_continuous_h2	odds_ratio_per_0.1_h2	BA_only	dlpfc	expression	AA	nearest_gene_window_250kb
log_vmr_length	1.15818426735986	0.112837994999452	1.30145428425102	0.19310300292599	0.928904277353871	1.44590756787902	burden_fdr10_continuous_h2	odds_ratio_per_0.1_h2	BA_only	dlpfc	expression	AA	nearest_gene_window_250kb
log_num_snps	0.656588927207901	0.199269000725598	-2.11120212555375	0.0347549422221109	0.446474164761578	0.975402364790935	burden_fdr10_continuous_h2	odds_ratio_per_0.1_h2	BA_only	dlpfc	expression	AA	nearest_gene_window_250kb
methylation_variance	641210.265010921	9.52168108469431	1.40428067162903	0.1602352875546	0.00129663997086227	30717226442989.4	burden_fdr10_continuous_h2	odds_ratio_per_0.1_h2	BA_only	dlpfc	expression	AA	nearest_gene_window_250kb
log_min_distance	0.858776142582743	0.0407648747402552	-3.73475925730268	0.000187894840670964	0.787836851069473	0.924956455128474	burden_fdr10_continuous_h2	odds_ratio_per_0.1_h2	BA_only	dlpfc	expression	AA	nearest_gene_window_250kb
chromatin_stateGenic/other	1766992.06665714	418.771967026026	0.0343499336016287	0.97259810708476	1.88645538984367	1.08179403250461e+76	burden_fdr10_continuous_h2	odds_ratio_per_0.1_h2	BA_only	dlpfc	expression	AA	nearest_gene_window_250kb
chromatin_stateIntergenic	2447101.69606812	418.772289621999	0.0351274792186653	0.971978089681701	122.385370695392	7.14518314524989e+77	burden_fdr10_continuous_h2	odds_ratio_per_0.1_h2	BA_only	dlpfc	expression	AA	nearest_gene_window_250kb
chromatin_statePromoter	10714544.977403	418.771948183485	0.0386537655883079	0.969166435552621	11.4389441859244	6.55964858676725e+76	burden_fdr10_continuous_h2	odds_ratio_per_0.1_h2	BA_only	dlpfc	expression	AA	nearest_gene_window_250kb
