tissue	cell_type	estimate	std_error	z_value	p_value	or	ci_lo_log	ci_hi_log	ci_lo_or	ci_hi_or	n_vmrs	n_in_peak	fdr
Caudate	Union	-4.92501601442508	0.305154627521754	-16.1394112041574	1.34821292996529e-58	0.00726260997236031	-5.53466788129369	-4.33757837054601	0.00394751946335773	0.0130681360999731	1676	913	2.15714068794447e-57
Caudate	Exc	-3.71838317759754	0.334377926751983	-11.1203009532252	9.99343164387113e-29	0.0242731815600681	-4.39030806447573	-3.07806391905833	0.0123969095846747	0.0460483236826071	1676	523	2.28421294717054e-28
Caudate	Inh	-4.38549022288874	0.387841954219624	-11.3074157531843	1.20589038422555e-29	0.0124567800385958	-5.17084948498651	-3.64820305405504	0.00567974191383499	0.0260378754202345	1676	443	2.96834556117057e-29
Caudate	Astro	-5.43845891314837	0.425256966257177	-12.7886415618631	1.89761832944458e-37	0.00434617594702346	-6.30329747513183	-4.63353347428863	0.00183025958011307	0.0097203517364336	1676	496	6.07237865422266e-37
Caudate	Oligo	-5.6270988860808	0.438383031144401	-12.8360326160235	1.03020139709114e-37	0.00359900130933242	-6.52008668904378	-4.79855263125813	0.00147354135692581	0.00824166715196354	1676	484	3.6629383007685e-37
Caudate	OPC	-6.01301405695936	0.437603643820927	-13.7407769379086	5.78516215128805e-43	0.00244670255479425	-6.90315971885009	-5.18534343546028	0.00100460613591285	0.00559801372871212	1676	580	3.08541981402029e-42
Caudate	Endo	-4.66241096689759	0.407159324275321	-11.4510725628007	2.32253818696074e-30	0.00944366656526831	-5.48915221882754	-3.89040845891312	0.00413134516665723	0.0204369966594217	1676	424	6.19343516522864e-30
Caudate	Micro	-3.48084804135637	0.386213898146098	-9.01274671384204	2.00959014203728e-19	0.0307812961489285	-4.26144815020703	-2.74496932386027	0.0141018659960751	0.0642502718645903	1676	320	4.01918028407456e-19
DLPFC	Union	-2.58035736706484	0.644721102675379	-4.00228464115291	6.27337617729613e-05	0.0757469297274559	-3.86676800991832	-1.33328002385035	0.0209258925265364	0.26361119071744	820	504	8.02992150693904e-05
DLPFC	Exc	-1.9592346561319	0.728731272187172	-2.68855575561011	0.0071761850386528	0.140966267314291	-3.43668459736089	-0.572705091006246	0.0321711690909554	0.563997708178154	820	280	0.00765459737456299
DLPFC	Inh	-2.81316632639174	0.818136958733662	-3.43850292589892	0.000584940216419156	0.0600146652140435	-4.484856986552	-1.270523124002	0.0112785003826354	0.280684750435818	820	247	0.000668503104479036
DLPFC	Astro	-3.37713367487436	0.792721393389109	-4.26017728679702	2.04264815556048e-05	0.0341451858071718	-4.99359180226476	-1.87978826027353	0.00678126373866801	0.15262241856497	820	290	2.84194525991024e-05
DLPFC	Oligo	-2.41018490375576	0.79453116985998	-3.03346803144363	0.0024176032474841	0.0897986889222278	-4.03025977438232	-0.908202172151301	0.0177697132377527	0.403248544199768	820	254	0.00266770013515487
DLPFC	OPC	-1.8918801092212	0.742122581593615	-2.54928249880043	0.0107944820500962	0.150788044173382	-3.39696397209802	-0.480254722630544	0.0334747461033607	0.618625793745592	820	278	0.0111426911484864
DLPFC	Endo	-3.63381406248812	0.906040617292317	-4.01065249519133	6.05511764317395e-05	0.0264152426460748	-5.49467051418061	-1.93650011188099	0.00410860997127719	0.144207778682291	820	220	8.02992150693904e-05
DLPFC	Micro	-1.091668189703	0.799146345561481	-1.36604289785745	0.171925499339224	0.335656088375117	-2.72303807338185	0.419690332223214	0.0656749257891757	1.52149032613341	820	181	0.171925499339224
Hippocampus	Union	-3.32179535184853	0.473564605255465	-7.01445022492039	2.30854892915949e-12	0.0360879829313729	-4.26661445302615	-2.40796298762082	0.0140291993565838	0.0899984359063855	1092	602	4.10408698517242e-12
Hippocampus	Exc	-2.12239221988956	0.540172328690277	-3.92910207939676	8.52636419126287e-05	0.119744829642108	-3.20989606645077	-1.08896361142939	0.0403608078960608	0.336565125265737	1092	322	0.000104939866969389
Hippocampus	Inh	-3.44847230787408	0.639046055126253	-5.39628134813035	6.80362329791762e-08	0.0317941710003358	-4.74763962696595	-2.23821637751144	0.00867214055100849	0.106648555601194	1092	279	9.89617934242563e-08
Hippocampus	Astro	-3.81062001861712	0.61484847128996	-6.19765714082754	5.73098108027067e-10	0.0221344509300047	-5.05785769447773	-2.64393724354183	0.00635916821188628	0.0710808552506414	1092	331	9.16956972843307e-10
Hippocampus	Oligo	-5.27416561709988	0.716982273091892	-7.35606139096819	1.8941592856368e-13	0.0051222288258767	-6.73738033900425	-3.9230570369475	0.00118574935282059	0.0197805324024816	1092	319	3.56547630237516e-13
Hippocampus	OPC	-3.93455034348481	0.595848603662478	-6.6032719038032	4.02180905601655e-11	0.0195544901547995	-5.14114970628605	-2.80204451328201	0.00585095896058622	0.0606858626520115	1092	362	6.77357314697523e-11
Hippocampus	Endo	-4.15165230488133	0.694149163513534	-5.98092243440468	2.21877517329603e-09	0.0157383903700047	-5.56861076312165	-2.84237972614544	0.0038157777713104	0.0582867941835816	1092	261	3.38099074026061e-09
