tissue	cell_type	or	ci_lo	ci_hi	p_value	n_top_q	n_lower_q	fdr
Caudate	Union	0.0871501661331106	0.0611809790175012	0.12193603515625	7.66539302079359e-67	335	1341	4.9058515333079e-66
Caudate	Exc	0.0999586834261132	0.058632386318446	0.161261179844727	3.64226564732866e-36	335	1341	9.71270839287641e-36
Caudate	Inh	0.0714985084806863	0.0349652915677968	0.131541636511648	1.27892156552719e-34	335	1341	3.14811462283616e-34
Caudate	Astro	0.0484595583622986	0.0217343561640558	0.0943251959175441	6.19446239785342e-44	335	1341	1.9822279673131e-43
Caudate	Oligo	0.0445025919344127	0.0188850064539653	0.0898350194166982	1.05134375348151e-43	335	1341	3.05845455558257e-43
Caudate	OPC	0.0160801995182479	0.00435486901352006	0.0419213799158361	2.02831957016767e-63	335	1341	1.08177043742275e-62
Caudate	Endo	0.0914231238816251	0.0475832940431922	0.161064586474119	2.6851910932809e-30	335	1341	6.13757964178492e-30
Caudate	Micro	0.220466578067237	0.130458460024003	0.35402666494731	9.53241245373476e-14	335	1341	1.60545893957638e-13
DLPFC	Union	0.369481536330909	0.255867439772243	0.53134674509741	2.00134744228384e-08	164	656	2.78448339796013e-08
DLPFC	Exc	0.49555199603695	0.322770111015127	0.747072408152187	0.000444909430673726	164	656	0.000459261347792234
DLPFC	Inh	0.314983843262665	0.187780981272593	0.508752691097836	2.00631567889006e-07	164	656	2.67508757185342e-07
DLPFC	Astro	0.374403831393028	0.238482443979037	0.574163743400795	1.10801857257868e-06	164	656	1.36371516625068e-06
DLPFC	Oligo	0.335773499665168	0.203880109463657	0.534737929061248	4.42956094877794e-07	164	656	5.66983801443576e-07
DLPFC	OPC	0.404461308164868	0.257513027768295	0.620701879702138	8.5265856048622e-06	164	656	1.01055829390959e-05
DLPFC	Endo	0.380452222541027	0.226379206120758	0.615955727536678	1.97527581356205e-05	164	656	2.25745807264234e-05
DLPFC	Micro	0.748987255688944	0.467042324444465	1.17261160734564	0.207657330730314	164	656	0.207657330730314
Hippocampus	Union	0.293800840540027	0.210713067861342	0.406606887239772	3.8567512203802e-15	219	873	7.25976700306861e-15
Hippocampus	Exc	0.468621304153656	0.314682670570285	0.684998410552879	3.16902096242077e-05	219	873	3.49685071715396e-05
Hippocampus	Inh	0.28309305565412	0.17110851141724	0.449847784603306	1.40775932135254e-09	219	873	2.04764992196734e-09
Hippocampus	Astro	0.227167319164034	0.13892195515169	0.357373648643294	1.03263267529602e-13	219	873	1.65221228047363e-13
Hippocampus	Oligo	0.170390367810019	0.0969708097595417	0.283028874794798	1.46243607025593e-16	219	873	2.92487214051187e-16
Hippocampus	OPC	0.226109665838871	0.14191831811263	0.348441287391313	8.57319812477246e-15	219	873	1.52412411107066e-14
Hippocampus	Endo	0.232411494939587	0.131981127494352	0.387281784130505	5.16423172770341e-11	219	873	7.86930548983377e-11
Hippocampus	Micro	0.438743664714436	0.273666184047947	0.681274028190056	7.84362253856002e-05	219	873	8.36653070779735e-05
Pooled	Union	0.123037687590389	0.0996372307296331	0.151132962671444	6.13611534408554e-114	701	2801	1.96355691010737e-112
Pooled	Exc	0.167108315262132	0.125716933272703	0.219054947410051	2.40524323628343e-55	701	2801	9.62097294513373e-55
Pooled	Inh	0.134317226018767	0.095292362453616	0.185055108342162	1.52860479809941e-55	701	2801	6.98790764845447e-55
Pooled	Astro	0.095796503760388	0.0668945914804625	0.133685792546151	2.43140343111071e-76	701	2801	2.59349699318475e-75
Pooled	Oligo	0.09933812067815	0.068670096658596	0.139785744510717	6.82637820926373e-71	701	2801	5.46110256741098e-70
Pooled	OPC	0.0867691394913879	0.0611510210096139	0.120219172224546	7.26157811411454e-88	701	2801	1.16185249825833e-86
Pooled	Endo	0.122463392581529	0.084202490051742	0.173167724061666	1.83896640935263e-54	701	2801	6.53854723325381e-54
Pooled	Micro	0.280491508317631	0.207199120019661	0.373789015928123	1.91937157010469e-23	701	2801	4.09465934955667e-23
