category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	comparison
Organismal Systems	Immune system	hsa04658	Th1 and Th2 cell differentiation	5/37	93/9378	0.0537634408602151	13.6268526591107	7.70161433244904	2.91955294549803e-05	0.00402898306478729	0.00319614217191364	3117/3119/3123/55534/4792	5	Pooled_Heritable
Human Diseases	Infectious disease: viral	hsa05166	Human T-cell leukemia virus 1 infection	6/37	224/9378	0.0267857142857143	6.78909266409266	5.51906095136284	0.000217207775840477	0.00894179404195365	0.00709341403785797	2114/3117/3119/3123/4487/4792	6	Pooled_Heritable
Human Diseases	Infectious disease: parasitic	hsa05140	Leishmaniasis	4/37	78/9378	0.0512820512820513	12.997920997921	6.69650132342801	0.000237467431988686	0.00894179404195365	0.00709341403785797	3117/3119/3123/4792	4	Pooled_Heritable
Human Diseases	Immune disease	hsa05310	Asthma	3/37	32/9378	0.09375	23.7618243243243	8.11718234216829	0.000259182435998657	0.00894179404195365	0.00709341403785797	3117/3119/3123	3	Pooled_Heritable
Cellular Processes	Transport and catabolism	hsa04145	Phagosome	5/37	155/9378	0.032258064516129	8.17611159546643	5.66963450113265	0.00032882857349848	0.00907566862855805	0.00719961508291409	929/51143/3117/3119/3123	5	Pooled_Heritable
Human Diseases	Immune disease	hsa05330	Allograft rejection	3/37	39/9378	0.0769230769230769	19.4968814968815	7.28478542419402	0.000468563735242588	0.0107769659105795	0.00854923306407529	3117/3119/3123	3	Pooled_Heritable
Organismal Systems	Immune system	hsa04640	Hematopoietic cell lineage	4/37	100/9378	0.04	10.1383783783784	5.78199998413448	0.000613630678054741	0.0109753642127567	0.00870661997045538	929/3117/3119/3123	4	Pooled_Heritable
Human Diseases	Endocrine and metabolic disease	hsa04940	Type I diabetes mellitus	3/37	44/9378	0.0681818181818182	17.2813267813268	6.81268591353984	0.000669880248272788	0.0109753642127567	0.00870661997045538	3117/3119/3123	3	Pooled_Heritable
Human Diseases	Immune disease	hsa05332	Graft-versus-host disease	3/37	45/9378	0.0666666666666667	16.8972972972973	6.72752087583176	0.000715784622571091	0.0109753642127567	0.00870661997045538	3117/3119/3123	3	Pooled_Heritable
Organismal Systems	Immune system	hsa04659	Th17 cell differentiation	4/37	109/9378	0.036697247706422	9.30126456731961	5.48627025503957	0.000848845111960884	0.0112167119697173	0.00889807814531348	3117/3119/3123/4792	4	Pooled_Heritable
Human Diseases	Infectious disease: parasitic	hsa05145	Toxoplasmosis	4/37	112/9378	0.0357142857142857	9.05212355212355	5.39522334134131	0.000939696910635133	0.0112167119697173	0.00889807814531348	3117/3119/3123/4792	4	Pooled_Heritable
Organismal Systems	Immune system	hsa04672	Intestinal immune network for IgA production	3/37	50/9378	0.06	15.2075675675676	6.3393772587939	0.000975366258236285	0.0112167119697173	0.00889807814531348	3117/3119/3123	3	Pooled_Heritable
Human Diseases	Infectious disease: viral	hsa05169	Epstein-Barr virus infection	5/37	205/9378	0.024390243902439	6.18193803559657	4.7211693962531	0.0011725390315747	0.0120358290012336	0.00954787350212275	3117/3119/3123/9612/4792	5	Pooled_Heritable
Human Diseases	Immune disease	hsa05320	Autoimmune thyroid disease	3/37	54/9378	0.0555555555555556	14.0810810810811	6.06702129164033	0.00122102613055993	0.0120358290012336	0.00954787350212275	3117/3119/3123	3	Pooled_Heritable
Human Diseases	Infectious disease: bacterial	hsa05134	Legionellosis	3/37	56/9378	0.0535714285714286	13.5781853281853	5.94146560816804	0.00135719733679525	0.0124862154985163	0.00990515951064603	664/929/4792	3	Pooled_Heritable
Human Diseases	Immune disease	hsa05321	Inflammatory bowel disease	3/37	66/9378	0.0454545454545455	11.5208845208845	5.3980744725866	0.00218060006061559	0.0188076755228095	0.0149198951515804	3117/3119/3123	3	Pooled_Heritable
Human Diseases	Cardiovascular disease	hsa05416	Viral myocarditis	3/37	70/9378	0.0428571428571429	10.8625482625483	5.21250048207914	0.00258044402011201	0.020947133810321	0.0166171008106284	3117/3119/3123	3	Pooled_Heritable
Environmental Information Processing	Signaling molecules and interaction	hsa04514	Cell adhesion molecule (CAM) interaction	4/37	160/9378	0.025	6.33648648648649	4.28482596873427	0.00347688848369066	0.0266561450416284	0.0211459884388204	214/3117/3119/3123	4	Pooled_Heritable
Organismal Systems	Immune system	hsa04612	Antigen processing and presentation	3/37	82/9378	0.0365853658536585	9.27290705339486	4.73536159618682	0.00404146244650942	0.0293537798746474	0.023285988611467	3117/3119/3123	3	Pooled_Heritable
Human Diseases	Infectious disease: viral	hsa05164	Influenza A	4/37	173/9378	0.023121387283237	5.86033432276207	4.06081713340852	0.00459527989136264	0.0317074312504022	0.0251531109843008	3117/3119/3123/4792	4	Pooled_Heritable
Human Diseases	Infectious disease: viral	hsa05168	Herpes simplex virus 1 infection	4/37	180/9378	0.0222222222222222	5.63243243243243	3.94943324369725	0.00528803643509306	0.0338251487571611	0.0268330699522865	3117/3119/3123/4792	4	Pooled_Heritable
Human Diseases	Infectious disease: bacterial	hsa05152	Tuberculosis	4/37	181/9378	0.0220994475138122	5.60131402120352	3.93399860262964	0.00539241501925757	0.0338251487571611	0.0268330699522865	929/3117/3119/3123	4	Pooled_Heritable
Human Diseases	Immune disease	hsa05323	Rheumatoid arthritis	3/37	95/9378	0.0315789473684211	8.00398293029872	4.3181610963052	0.0060987745577316	0.0365926473463896	0.0290284921741001	3117/3119/3123	3	Pooled_Heritable
Human Diseases	Infectious disease: bacterial	hsa05150	Staphylococcus aureus infection	3/37	99/9378	0.0303030303030303	7.68058968058968	4.2055029533375	0.00683684913082207	0.0393118825022269	0.0311856276142761	3117/3119/3123	3	Pooled_Heritable
