env	term	statistic	p_value	location_shift	ci_lo	ci_hi	median_neg_log10p_heritable	median_neg_log10p_nonheritable	n_heritable_features	n_nonheritable_features	fdr	cohort	tissue	population	vmr_set	modality	run_tag
smoking	env_valueTRUE	590	0.45565555997069	0.0459776162808127	-0.0727569847698891	0.165678867239302	0.321653085680942	0.237316945918187	38	28	0.652904668660192	all_individuals	hippocampus	EA	shared	psi	window_250kb
codeine	env_valueTRUE	495	0.906023638639834	0.00444721556006207	-0.0743240722151191	0.0781279566701322	0.163929998841686	0.146558628978487	36	27	0.953442644022106	all_individuals	hippocampus	EA	shared	psi	window_250kb
morphine	env_valueTRUE	475	0.617637145716483	-0.0216037179578478	-0.102468861974817	0.0516766956016719	0.179624333210056	0.18468509952622	38	27	0.729934808574026	all_individuals	hippocampus	EA	shared	psi	window_250kb
cocaine	env_valueTRUE	307	0.353953135488675	0.0343255461959448	-0.0481745712369974	0.108549352564569	0.158289598609499	0.132508885116434	31	17	0.652904668660192	all_individuals	hippocampus	EA	shared	psi	window_250kb
ethanol	env_valueTRUE	649	0.130660947748565	0.0493326635935013	-0.0212742582161256	0.179660967650675	0.207224558026551	0.158871913079823	38	28	0.60922390405049	all_individuals	hippocampus	EA	shared	psi	window_250kb
nicotine	env_valueTRUE	585	0.495777623805991	0.0488053930508856	-0.0756975150827639	0.182592920221618	0.325721374432213	0.327477467236381	38	28	0.652904668660192	all_individuals	hippocampus	EA	shared	psi	window_250kb
amphetamines	env_valueTRUE	365	0.50223436050784	-0.019842093772681	-0.0662716574212662	0.0631770787824044	0.157517771523165	0.130013785753479	34	24	0.652904668660192	all_individuals	hippocampus	EA	shared	psi	window_250kb
any_trauma_hx	env_value	388	0.480272507851774	0.0220519699324485	-0.0415297249035578	0.08892613039482	0.142049224157455	0.10024708931495	29	24	0.652904668660192	all_individuals	hippocampus	EA	shared	psi	window_250kb
education	env_valueless_than_hs	554	0.0394033476023056	0.10988843632766	0.00403793499231094	0.266633625162456	0.30658351757589	0.094257351136062	35	24	0.512243518829973	all_individuals	hippocampus	EA	shared	psi	window_250kb
education	env_valueMD	206	0.362671299455259	-0.0302630931664739	-0.147693002779637	0.0277998681385105	0.0827201979917083	0.10774300504845	29	17	0.652904668660192	all_individuals	hippocampus	EA	shared	psi	window_250kb
education	env_valuemore_than_hs	324	0.140590131703959	-0.0979354752509905	-0.24708043269346	0.0287274585216552	0.238354206296751	0.363471901924964	35	24	0.60922390405049	all_individuals	hippocampus	EA	shared	psi	window_250kb
marital_status	env_valuepreviously_married	430	0.187876566173676	-0.0968144035527112	-0.325463677029057	0.0607006801366233	0.255096768334276	0.449989593435188	38	28	0.610598840064446	all_individuals	hippocampus	EA	shared	psi	window_250kb
marital_status	env_valuesingle	537	0.953442644022106	0.00203397688244852	-0.135829129959466	0.138771589770072	0.249280598951681	0.302469027874684	38	28	0.953442644022106	all_individuals	hippocampus	EA	shared	psi	window_250kb
