"h2_category","n","mean_num_snps","sd_num_snps","median_num_snps"
"Heritable",5015,425.143968095713,163.972215713316,404
"Non-heritable",3539,461.152585476123,177.02298989014,430
"Low prediction",1010,157.636633663366,70.2056560208548,155
