"h2_category","cor_snps_length","p_snps_length","cor_snps_h2","p_snps_h2","n","p_snps_length_adj","p_snps_h2_adj"
"Heritable",-0.0924255828368827,4.66708540742632e-11,-0.11651779606282,9.79670396249457e-17,5051,1.4001256222279e-10,2.93901118874837e-16
"Non-heritable",-0.0778259587811413,2.36252913882926e-06,0.034311052653222,0.0376907516768378,3669,3.54379370824389e-06,0.0376907516768378
"Low prediction",-0.0295420645945703,0.323694671322424,-0.157135660807822,1.28459749334802e-07,1118,0.323694671322424,1.92689624002203e-07
