"h2_category","spearman_rho","spearman_p_value","n","spearman_FDR"
"Heritable",0.427031032475996,7.95989965663591e-224,5069,2.38796989699077e-223
"Non-heritable",-0.022323278222794,0.0696590707259171,6605,0.0696590707259171
"Low prediction",0.381478784027926,0.00144677212519703,67,0.00217015818779554
