"h2_category","spearman_rho","spearman_p_value","n"
"Heritable",0.141896427499434,1.20988825642074e-25,5390
"Non-heritable",-0.0112234064059054,0.456241663746227,4409
"Low prediction",0.00465587044534413,0.977937622487011,39
