"contrast","estimate","SE","df","z.ratio","p.value","tissue","group1","group2","y.position","p.adj.signif","tissue_title"
"Heritable - (Non-heritable)",-10.4406019898355,3.84968894155592,Inf,-2.71206379225426,0.0200597169712841,"caudate","Heritable","Non-heritable",1631,"*","Caudate"
"Heritable - Low prediction",350.550929515527,25.5814017287235,Inf,13.7033510998703,2.90834015194444e-42,"caudate","Heritable","Low prediction",1631,"***","Caudate"
"(Non-heritable) - Low prediction",360.991531505363,25.4917817657597,Inf,14.1610945371517,4.78471547118443e-45,"caudate","Non-heritable","Low prediction",1631,"***","Caudate"
"Heritable - (Non-heritable)",-10.4406019898355,3.84968894155592,Inf,-2.71206379225426,0.0200597169712841,"hippocampus","Heritable","Non-heritable",1631,"*","Hippocampus"
"Heritable - Low prediction",350.550929515527,25.5814017287235,Inf,13.7033510998703,2.90834015194444e-42,"hippocampus","Heritable","Low prediction",1631,"***","Hippocampus"
"(Non-heritable) - Low prediction",360.991531505363,25.4917817657597,Inf,14.1610945371517,4.78471547118443e-45,"hippocampus","Non-heritable","Low prediction",1631,"***","Hippocampus"
"Heritable - (Non-heritable)",-10.4406019898355,3.84968894155592,Inf,-2.71206379225426,0.0200597169712841,"dlpfc","Heritable","Non-heritable",1631,"*","DLPFC"
"Heritable - Low prediction",350.550929515527,25.5814017287235,Inf,13.7033510998703,2.90834015194444e-42,"dlpfc","Heritable","Low prediction",1631,"***","DLPFC"
"(Non-heritable) - Low prediction",360.991531505363,25.4917817657597,Inf,14.1610945371517,4.78471547118443e-45,"dlpfc","Non-heritable","Low prediction",1631,"***","DLPFC"
