"h2_category","cor_snps_length","p_snps_length","cor_snps_h2","p_snps_h2","n","p_snps_length_adj","p_snps_h2_adj"
"Heritable",-0.0547203991292867,6.28370789176493e-05,-0.109187606049268,1.21198873959457e-15,5343,0.000188511236752948,1.81798310939186e-15
"Non-heritable",-0.0357157670250261,0.0209492263816653,0.151547553968646,6.79776106798232e-23,4179,0.0314238395724979,2.0393283203947e-22
"Low prediction",0.272554357793432,0.0807624979886904,0.222565537384644,0.156570412639915,42,0.0807624979886904,0.156570412639915
