"h2_category","spearman_rho","spearman_p_value","n"
"Heritable",0.119783153866309,1.56022407960699e-18,5343
"Non-heritable",-0.0198140105330179,0.200326148711225,4179
"Low prediction",0.134678497740302,0.395125014212476,42
