"h2_category","n","mean_num_snps","sd_num_snps","median_num_snps"
"Heritable",5390,418.975881261596,178.018302503095,398
"Non-heritable",4409,425.111136312089,201.592325913795,397
"Low prediction",39,16.5641025641026,15.2622597343817,11
