tissue	comparison	annotation	or	ci_lo	ci_hi	p_value	n_heritable	n_nonher	n_in_her	n_in_nonher	fdr
Caudate	All_VMRs	any_repeat	0.502908710270669	0.466197593468433	0.54244880414772	2.67569211785339e-73	5069	6605	3255	3133	8.56221477713086e-72
Caudate	Intergenic_VMRs	any_repeat	0.354767129759058	0.297766779575169	0.422258537496844	1.70892235068482e-33	1349	1092	1010	561	1.82285050739715e-32
Caudate	All_VMRs	LINE	0.384250786134537	0.348905102347972	0.423021180711262	2.45298948277604e-89	5069	6605	1391	838	1.1774349517325e-87
Caudate	Intergenic_VMRs	LINE	0.238328855614783	0.193050630870898	0.293058843330588	3.21924471152386e-49	1349	1092	543	151	4.41496417580415e-48
Caudate	All_VMRs	SINE	0.561278725305383	0.515716210987909	0.610840945433582	7.81955631962179e-42	5069	6605	1618	1376	9.38346758354614e-41
Caudate	Intergenic_VMRs	SINE	0.550005688746113	0.455116363864034	0.663574860363622	1.28121298932317e-10	1349	1092	444	232	5.85697366547735e-10
Caudate	All_VMRs	LTR	0.371988908254306	0.328836652790662	0.420415824352409	9.43377036639508e-61	5069	6605	836	452	1.81128391034785e-59
Caudate	Intergenic_VMRs	LTR	0.387742628877251	0.311566384876474	0.48075341390163	7.33703646769078e-20	1349	1092	382	145	5.86962917415262e-19
Caudate	All_VMRs	DNA	0.574067491640825	0.496690580383011	0.663111979268884	1.59752871431722e-14	5069	6605	470	366	9.58517228590331e-14
Caudate	Intergenic_VMRs	DNA	0.492864327344154	0.360208630865672	0.668559380603473	2.07437767448727e-06	1349	1092	158	67	5.53167379863273e-06
Caudate	All_VMRs	Satellite	1.22872742823402	0.617967539102176	2.52160170053035	0.628206281560422	5069	6605	15	24	0.701253523602331
Caudate	Intergenic_VMRs	Satellite	2.23308220296578	0.669741756245808	8.50750542646431	0.179355228875133	1349	1092	5	9	0.239140305166845
Caudate	All_VMRs	Simple_repeat	0.804893091738084	0.726180687722341	0.892195149045624	2.9730282161731e-05	5069	6605	845	916	6.96123679884433e-05
Caudate	Intergenic_VMRs	Simple_repeat	0.521241914517379	0.41146227796312	0.657784698523763	1.22944954369586e-08	1349	1092	272	127	4.5395060074924e-08
Caudate	All_VMRs	Low_complexity	1.00663463686498	0.816362879317616	1.24307382541866	0.958411724127517	5069	6605	167	219	0.968500268592017
Caudate	Intergenic_VMRs	Low_complexity	0.78589607361848	0.491384551198126	1.24211014330079	0.323267323115659	1349	1092	53	34	0.403034584663678
Caudate	All_VMRs	L1	0.251412396877038	0.22172913723378	0.284698628397571	5.99503666339633e-120	5069	6605	1017	392	5.75523519686047e-118
Caudate	Intergenic_VMRs	L1	0.177322467788666	0.136694161327927	0.228038332714817	3.51612433795772e-53	1349	1092	439	86	5.62579894073234e-52
Caudate	All_VMRs	Alu	0.394104379987932	0.355024078115027	0.437262065952507	5.81382514516305e-73	5069	6605	1152	686	1.39531803483913e-71
Caudate	Intergenic_VMRs	Alu	0.429881883988032	0.34197970300858	0.538224829453379	1.22181127375044e-14	1349	1092	327	132	7.81959215200283e-14
Caudate	All_VMRs	MIR	0.94310347513891	0.840854915611543	1.05802456101904	0.311022769643147	5069	6605	615	761	0.398095277064097
Caudate	Intergenic_VMRs	MIR	0.79521767687566	0.611949377966388	1.03042615834998	0.0758314833976429	1349	1092	171	113	0.109951630173574
Caudate	All_VMRs	ERV1	0.3909343591682	0.32550463635561	0.46836731927277	1.95631843181624e-26	5069	6605	366	195	1.70733244958508e-25
Caudate	Intergenic_VMRs	ERV1	0.482465906287524	0.352849776231137	0.653903223160833	8.23517043556422e-07	1349	1092	161	67	2.37368776766376e-06
Caudate	All_VMRs	ERVL	0.422434942535838	0.326354432500924	0.544313082224392	3.54383815956877e-12	5069	6605	178	100	1.89004701843668e-11
Caudate	Intergenic_VMRs	ERVL	0.339819670497735	0.213037848142979	0.526767556204465	1.47791004087269e-07	1349	1092	97	28	4.43373012261808e-07
Caudate	All_VMRs	ERVL_MaLR	0.33147912608255	0.27188462897623	0.402723475142322	4.41918203122614e-32	5069	6605	349	158	4.24241474997709e-31
Caudate	Intergenic_VMRs	ERVL_MaLR	0.324162880567555	0.229208184302258	0.451743668985613	4.49085317111598e-13	1349	1092	174	50	2.53601120251255e-12
Caudate	All_VMRs	ERVK	0.249274252580434	0.140015654806807	0.425354866147225	1.95065043536255e-08	5069	6605	58	19	6.7967120942792e-08
Caudate	Intergenic_VMRs	ERVK	0.254071642282415	0.0754491950690028	0.682345439656291	0.00235021435378096	1349	1092	24	5	0.00433885726851869
Caudate	All_VMRs	SVA	0.474077865379118	0.217860692284495	0.993216340122184	0.0369735628574222	5069	6605	21	13	0.05634066721131
Caudate	Intergenic_VMRs	SVA	0.136553575122789	0.00311509671478689	0.988058450498894	0.02817312817554	1349	1092	9	1	0.0436229081427716
DLPFC	All_VMRs	any_repeat	0.754469649302608	0.692467309316518	0.821987720897185	7.66664106588412e-11	5343	4179	3636	2576	3.87367127539408e-10
DLPFC	Intergenic_VMRs	any_repeat	0.634496479506107	0.520554227689746	0.773216605959061	3.96343529845206e-06	1188	833	885	541	1.02835078013891e-05
DLPFC	All_VMRs	LINE	0.806859048050091	0.728631449329785	0.893213116662588	2.81592500962795e-05	5343	4179	1202	793	6.75822002310708e-05
