"quintile","n_vmrs","h2_min","h2_max","h2_mean","h2_sd"
"Q1",1960,0.00242621652554996,0.0737877244485638,0.0569778930744712,0.0131268591032135
"Q2",1960,0.0737886896178399,0.0950127967073147,0.0846114614050134,0.00601735453887154
"Q3",1959,0.0950152819384177,0.117395505742456,0.10585037271834,0.00646307616228879
"Q4",1960,0.117452020837107,0.161082553973808,0.135330597658755,0.0123973263052069
"Q5",1960,0.161093846953499,0.808294271599346,0.343893405356243,0.172593017460013
