"id","description","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"GO:0000217","DNA secondary structure binding",0.00409937981981397,24,1.19602535550255,0.216567123396106,0.392527911155443,53532,14,23,1.22802843232327,0.190513673670724,0.785205211565999
"GO:0030414","peptidase inhibitor activity",0.00965592799513354,53,1.12131893255372,0.219115294120254,0.395970818317766,60491,29,59,0.991640392687195,0.576864333090724,0.947903888429838
"GO:0000774","adenyl-nucleotide exchange factor activity",0.000653489505848462,5,1.56307094530386,0.219132715267528,0.395970818317766,40459,4,7,1.1528430180994,0.490523456076733,0.861329760792963
"GO:0071837","HMG box domain binding",0.00170721702691901,11,1.31628901059605,0.220887848792108,0.398536649793348,14196,6,7,1.7292645271491,0.05963350098605,0.537153277821314
"GO:0001972","retinoic acid binding",0.00525193719088505,30,1.16694136566463,0.222287302199064,0.40045394290104,152947,10,13,1.55190406282611,0.0430809437238647,0.537153277821314
"GO:1904399","heparan sulfate binding",0.00100534207367445,7,1.42243190746721,0.226302012036638,0.407069731182394,50119,5,6,1.68122940139496,0.105288047335223,0.662367662865506
"GO:0008234","cysteine-type peptidase activity",0.010278075627255,56,1.1130726765401,0.227797390813402,0.409140630932228,89826,35,73,0.967282669295729,0.653635510273591,0.948985747521551
"GO:0140994","RNA polymerase II CTD heptapeptide repeat modifying activity",0.00338297779371053,20,1.20775307665541,0.228520602413711,0.409360460617373,151193,4,9,0.896655680743977,0.737603949371844,0.953930939408535
"GO:0035925","mRNA 3'-UTR AU-rich region binding",0.00394701713439647,23,1.19043620901861,0.228709301434324,0.409360460617373,90811,8,17,0.949400132552446,0.672669165925533,0.953930939408535
"GO:0005518","collagen binding",0.00642096620362289,36,1.14537953888465,0.22895265459256,0.409360460617373,100784,19,32,1.19787594849391,0.17507889614149,0.767629941402538
"GO:0140566","histone reader activity",0.00227114198120448,14,1.25930536738648,0.229475991252777,0.409680110509837,258482,6,14,0.864632263574549,0.778561605694839,0.953930939408535
"GO:0031406","carboxylic acid binding",0.019106303628634,101,1.07992103998924,0.230825693204356,0.411471887886025,111482,56,93,1.2148238255241,0.0247287807954533,0.474234199448289
"GO:0015172","acidic amino acid transmembrane transporter activity",0.00083845231539808,6,1.46190848194067,0.231303767725082,0.411706856025633,131600,4,6,1.34498352111597,0.335609717294689,0.861329760792963
"GO:0043177","organic acid binding",0.0193223795391097,102,1.07841735200049,0.233820758426284,0.415564845693351,110447,57,96,1.19787594849391,0.0333999547696191,0.484299344159477
"GO:0022884","macromolecule transmembrane transporter activity",0.00228292378045223,14,1.25280629669599,0.234956814188304,0.416697316257269,88964,8,14,1.1528430180994,0.382527245919525,0.861329760792963
"GO:0005416","amino acid:monoatomic cation symporter activity",0.00284021432351082,17,1.22277094868188,0.235477574429625,0.416697316257269,62587,11,17,1.30542518225961,0.157075474892431,0.767629941402538
