pheno_id	num_snps	boosting_iterations_performed	h2_unscaled	r_squared_cv	PopSize	LD_Decay
pheno_1	1164	13	0.0887789299107712	0.979113285661519	200	0.6
pheno_2	11875	11	0.0641527963639162	0.99996722525382	200	0.6
pheno_3	5048	11	0.0692912513986224	0.999568554321006	200	0.6
pheno_4	14120	11	0.0683931506751739	0.999974570755388	200	0.6
pheno_5	8877	11	0.0690404320613906	0.999903569681434	200	0.6
pheno_6	6132	16	0.0711943924753829	0.999744089070793	200	0.6
pheno_7	5612	11	0.285281474648098	0.998889035757389	200	0.6
pheno_8	12099	11	0.0703895042526298	0.999967284171936	200	0.6
pheno_9	4004	11	0.0735290415563873	0.99921517708972	200	0.6
pheno_10	5242	11	0.0686725635307576	0.999662787288303	200	0.6
pheno_11	1790	13	0.507576613230119	0.97555154616075	200	0.6
pheno_12	4895	11	0.0661125795959866	0.99962207099801	200	0.6
pheno_13	4061	11	0.30391877240067	0.996319431623666	200	0.6
pheno_14	2750	14	0.0828734584890011	0.997615062337485	200	0.6
pheno_15	7434	11	0.0934982458564896	0.999495480017239	200	0.6
pheno_16	8440	16	0.0713806735832637	0.99989769752257	200	0.6
pheno_17	5911	14	0.410518244312399	0.997958557373885	200	0.6
pheno_18	5425	19	0.459936070390265	0.997929657097059	200	0.6
pheno_19	7381	16	0.0746816749358093	0.999878735061218	200	0.6
pheno_20	4564	14	0.0759032269273964	0.99941109496821	200	0.6
pheno_21	5208	13	0.0701682278855901	0.99963961288832	200	0.6
pheno_22	3021	11	0.0938217549625576	0.998526222572298	200	0.6
pheno_23	6338	25	0.0773537593230933	0.999767514683638	200	0.6
pheno_24	11550	11	0.393100896574686	0.999759192266665	200	0.6
pheno_25	8931	11	0.226433653182361	0.999728746963963	200	0.6
pheno_26	1383	11	0.0882221711089874	0.986362264516364	200	0.6
pheno_27	5529	11	0.0843760952928999	0.999345311575003	200	0.6
pheno_28	4649	11	0.0721889777152531	0.999462517925323	200	0.6
pheno_29	2351	19	0.104029269048735	0.9967666697941	200	0.6
pheno_30	9284	11	0.0709492085219149	0.999898678974469	200	0.6
pheno_31	393	11	0.592867366880143	0.820697250665862	200	0.6
pheno_32	4142	12	0.0748450948649613	0.999273326190011	200	0.6
pheno_33	8202	11	0.23511528182496	0.999589147413427	200	0.6
pheno_34	5210	11	0.0736826016642956	0.999595626283091	200	0.6
pheno_35	2774	11	0.100301552179488	0.99309097390321	200	0.6
pheno_36	9982	11	0.0691828235328161	0.999897037299456	200	0.6
pheno_37	5027	11	0.0728164692524337	0.999523929178455	200	0.6
pheno_38	5499	11	0.0639254561217758	0.999714426015803	200	0.6
pheno_39	1207	11	0.0983131056518268	0.974839664874505	200	0.6
pheno_40	2112	11	0.0955728095959729	0.994132190456894	200	0.6
