pheno_id	num_snps	boosting_iterations_performed	h2_unscaled	r_squared_cv	PopSize	LD_Decay
pheno_1	854	14	0.107881035101716	0.961865946385002	200	0.7
pheno_2	8664	11	0.0660415152312396	0.999929145903131	200	0.7
pheno_3	3702	19	0.0875833554692927	0.999246786884958	200	0.7
pheno_4	10263	11	0.0688714867978977	0.999953578997555	200	0.7
pheno_5	6474	11	0.0713484097256159	0.999831546431157	200	0.7
pheno_6	4458	15	0.0792567172934153	0.999456598396539	200	0.7
pheno_7	4085	12	0.101446171305739	0.997891907198541	200	0.7
pheno_8	8780	11	0.0695543915077072	0.999938248474499	200	0.7
pheno_9	2878	11	0.0807270310622435	0.998004797525491	200	0.7
pheno_10	3802	11	0.0710667813750002	0.999316705548976	200	0.7
pheno_11	1315	12	0.495335425952684	0.960212626099498	200	0.7
pheno_12	3554	11	0.0714146482198452	0.998909353189952	200	0.7
pheno_13	2992	11	0.334701114243653	0.993791452039756	200	0.7
pheno_14	2008	11	0.0859861861555617	0.995412347181812	200	0.7
pheno_15	5423	16	0.0907285418237796	0.99899831700985	200	0.7
pheno_16	6141	11	0.0762307414043757	0.999782220113575	200	0.7
pheno_17	4273	16	0.314376958424573	0.996400253558336	200	0.7
pheno_18	3947	16	0.455706022232817	0.995445356438474	200	0.7
pheno_19	5335	12	0.079664234582009	0.999707912116858	200	0.7
pheno_20	3291	11	0.0733020232350263	0.998896225002298	200	0.7
pheno_21	3787	11	0.0681882311706316	0.999205269186193	200	0.7
pheno_22	2197	23	0.101438905156235	0.996961120378299	200	0.7
pheno_23	4588	15	0.0700789930477333	0.999617333871538	200	0.7
pheno_24	8450	11	0.358681224537915	0.999566469943909	200	0.7
pheno_25	6544	11	0.270040059696106	0.999454211820821	200	0.7
pheno_26	1007	11	0.0904764305586065	0.978291866783159	200	0.7
pheno_27	3990	15	0.0741105164130295	0.998694763129885	200	0.7
pheno_28	3409	18	0.0811426937721187	0.99911706305808	200	0.7
pheno_29	1765	12	0.0682262607281698	0.993632750611616	200	0.7
pheno_30	6757	11	0.0746759277974854	0.999785392751164	200	0.7
pheno_31	291	12	0.559198716826972	0.823248469369543	200	0.7
pheno_32	3000	14	0.0854905967857458	0.998313830463113	200	0.7
pheno_33	6025	16	0.240131425588737	0.999274044898963	200	0.7
pheno_34	3791	13	0.0839474764733157	0.999249368856675	200	0.7
pheno_35	2036	11	0.104137593503661	0.987623716730205	200	0.7
pheno_36	7215	14	0.0718474839480681	0.999765886811487	200	0.7
pheno_37	3658	11	0.0774666196901801	0.998537768833269	200	0.7
pheno_38	4005	14	0.0717375425019107	0.999299493561256	200	0.7
pheno_39	880	12	0.118357603716299	0.965700704130254	200	0.7
pheno_40	1557	14	0.102680668422955	0.986649917222667	200	0.7
pheno_41	3044	15	0.0933723661942392	0.997773077576996	200	0.7
pheno_42	3293	11	0.0817473285493101	0.998763430301332	200	0.7
pheno_43	6142	12	0.0742910282206672	0.999808623492972	200	0.7
pheno_44	3937	18	0.237049856149117	0.997088234693226	200	0.7
pheno_45	2759	11	0.0780282159300856	0.997995225803523	200	0.7
pheno_46	3589	11	0.414501885757903	0.994993406888047	200	0.7
pheno_47	11698	11	0.29527485616874	0.999830001141554	200	0.7
pheno_48	6956	13	0.284027036945571	0.999298694713717	200	0.7
pheno_49	1286	11	0.116190736634211	0.967724667779971	200	0.7
pheno_50	3066	11	0.0735704967642291	0.998525664042908	200	0.7
pheno_51	10089	11	0.0656721611356145	0.999947355493163	200	0.7
pheno_52	992	11	0.069378184436912	0.971252494596162	200	0.7
pheno_53	3022	11	0.0784758329715273	0.997958304869065	200	0.7
pheno_54	834	12	0.0521330923798433	0.959103140851703	200	0.7
pheno_55	8744	11	0.0710927726513251	0.999923536064567	200	0.7
pheno_56	11560	11	0.0662925105624969	0.999965678053523	200	0.7
pheno_57	3931	13	0.462044047056446	0.996222813470368	200	0.7
pheno_58	8777	12	0.0676376465066267	0.999864713128854	200	0.7
pheno_59	7260	11	0.0694910006727206	0.999858460724808	200	0.7
pheno_60	3700	11	0.0727260009762361	0.998980313723988	200	0.7
pheno_61	54	16	0.117979951518275	0.385564663902134	200	0.7
pheno_62	6243	11	0.0697902837780411	0.999794800567587	200	0.7
pheno_63	6014	14	0.073180622601303	0.999757177620895	200	0.7
pheno_64	1547	11	0.0891733691198068	0.99020792735575	200	0.7
pheno_65	6391	13	0.0677662355203245	0.999807747430929	200	0.7
pheno_66	1028	15	0.0967653279093059	0.976311698136592	200	0.7
pheno_67	130	18	0.0448380780960587	0.525909315728582	200	0.7
pheno_68	4929	11	0.0761789689456581	0.999555537457074	200	0.7
pheno_69	52	14	0.0375988484372661	0.231925462006458	200	0.7
pheno_70	5746	20	0.0734736962499386	0.999617343179291	200	0.7
