pheno_id	num_snps	boosting_iterations_performed	h2_unscaled	r_squared_cv	PopSize	LD_Decay
pheno_1	1588	11	0.0947293674759685	0.98802389274809	200	0.5
pheno_2	16107	11	0.0644209308075982	0.999980094013183	200	0.5
pheno_3	6789	11	0.0667308914579179	0.999815602459049	200	0.5
pheno_4	19032	11	0.0695522236061238	0.999982661588868	200	0.5
pheno_5	12024	11	0.0707103759991115	0.999959757134009	200	0.5
pheno_6	8310	14	0.0775494020521178	0.99988054890342	200	0.5
pheno_7	7547	15	0.266159479217869	0.999480227409761	200	0.5
pheno_8	16284	11	0.0682386246728296	0.999979186649827	200	0.5
pheno_9	5383	11	0.0714560030191011	0.999531012262717	200	0.5
pheno_10	7097	11	0.067965636479905	0.999807884351169	200	0.5
pheno_11	2423	11	0.485066693722857	0.984642307118422	200	0.5
pheno_12	6598	11	0.0653187202783704	0.999813460481253	200	0.5
pheno_13	5508	11	0.303965010861278	0.998319873538415	200	0.5
pheno_14	3720	11	0.0849613383292075	0.99853925695031	200	0.5
pheno_15	10072	11	0.0858911845615544	0.99977313385486	200	0.5
pheno_16	11444	12	0.0722563690297696	0.999950158877397	200	0.5
pheno_17	7956	11	0.422795077485948	0.998945028157681	200	0.5
pheno_18	7293	15	0.507465689407707	0.998792377626438	200	0.5
pheno_19	9916	16	0.0696576703977493	0.999925963392105	200	0.5
pheno_20	6143	13	0.0753240693137795	0.999712988114822	200	0.5
pheno_21	7089	13	0.0691643693827855	0.999805253135832	200	0.5
pheno_22	4088	11	0.0817807753579193	0.999182114188477	200	0.5
pheno_23	8590	15	0.0767158406728563	0.999906156285017	200	0.5
pheno_24	15612	11	0.393759715742773	0.999892915281949	200	0.5
pheno_25	12178	11	0.264165410774896	0.999854842278201	200	0.5
pheno_26	1873	13	0.0690426082551241	0.975681258827506	200	0.5
pheno_27	7466	17	0.079218887295057	0.999643709200159	200	0.5
pheno_28	6368	11	0.06615016156674	0.999655904069368	200	0.5
pheno_29	3199	24	0.107884038330891	0.978467359218044	200	0.5
pheno_30	12571	11	0.0727919142740635	0.999960430236067	200	0.5
pheno_31	534	11	0.586437073794589	0.830595975615808	200	0.5
pheno_32	5618	16	0.0835925408984235	0.999651435417713	200	0.5
pheno_33	11113	11	0.0884062273977729	0.999742769882975	200	0.5
pheno_34	7004	11	0.0649335978365401	0.999808797276908	200	0.5
pheno_35	3822	16	0.121476179242521	0.997409278118445	200	0.5
pheno_36	13439	11	0.0684164568641831	0.999959408514363	200	0.5
pheno_37	6791	13	0.0705942632862183	0.999775778895632	200	0.5
pheno_38	7421	11	0.0672431454387061	0.999848989662224	200	0.5
pheno_39	1621	11	0.0747399498219618	0.968533419593648	200	0.5
pheno_40	2877	11	0.0986878346173811	0.981411776340295	200	0.5
pheno_41	5702	11	0.0766225371060123	0.99038781778282	200	0.5
