pheno_id	num_snps	boosting_iterations_performed	h2_unscaled	r_squared_cv	PopSize
pheno_1	3402	11	0.0506807319722316	0.999487378317665	150
pheno_2	4632	12	0.0617360706787048	0.999701038319792	150
pheno_3	1873	11	0.0681063981908277	0.997109638731652	150
pheno_4	1779	13	0.0842755093056491	0.996593647016632	150
pheno_5	29	11	0.109381730872019	0.284535195141972	150
pheno_6	1935	16	0.070946364605078	0.997539640151959	150
pheno_7	5389	11	0.0625428451445472	0.999702427993718	150
pheno_8	2772	11	0.062873122510164	0.998622548828171	150
pheno_9	2445	11	0.0684004253168747	0.998644995648784	150
pheno_10	526	13	0.0805855868848744	0.942897257076644	150
pheno_11	1188	19	0.235553502813598	0.983591749993043	150
pheno_12	1842	11	0.0732493929637493	0.996492168890119	150
pheno_13	7520	11	0.0558583969008009	0.999919023144013	150
pheno_14	4457	13	0.0621296248715347	0.999744167467371	150
pheno_15	3352	20	0.22129591086713	0.998332732661703	150
pheno_16	4493	14	0.0553274237261173	0.999742689433318	150
pheno_17	2401	12	0.069169382978045	0.997696631134877	150
pheno_18	2574	22	0.37311960679549	0.993720781239733	150
pheno_19	2215	21	0.0775330767859936	0.998557924124967	150
pheno_20	3497	15	0.0622877691780506	0.999460013356201	150
pheno_21	3222	16	0.0627536113326268	0.999418169312866	150
pheno_22	5088	15	0.0569152975422763	0.999796636751516	150
pheno_23	1570	18	0.0868292557617966	0.99472487830643	150
pheno_24	892	17	0.513323399294168	0.961971500793873	150
pheno_25	1474	16	0.0981914435212659	0.994473328187119	150
pheno_26	1132	11	0.094806097613602	0.989534937204838	150
pheno_27	2610	11	0.062929329598661	0.998618830293516	150
pheno_28	445	11	0.128628297535847	0.934473953410765	150
pheno_29	2707	11	0.0568643180074898	0.998958966386683	150
pheno_30	5879	11	0.0597950852912159	0.999884087489365	150
pheno_31	5027	11	0.0604222910765697	0.999653435900246	150
pheno_32	4660	12	0.0654854151228097	0.999602210628316	150
pheno_33	2849	13	0.289157463534625	0.996408544011513	150
pheno_34	5966	11	0.0595828612441987	0.999903363425572	150
pheno_35	2960	11	0.0566364165297047	0.999050705032596	150
pheno_36	2955	12	0.0711034660178383	0.99896998861506	150
pheno_37	1360	11	0.0601193050947144	0.989653696841469	150
pheno_38	2220	11	0.055757037098159	0.998400524687005	150
pheno_39	2189	11	0.0631844209574631	0.997459622430798	150
pheno_40	2659	16	0.0625386384021186	0.998731498669604	150
pheno_41	2643	11	0.0640738804987138	0.998704521497956	150
pheno_42	6517	11	0.0506014261122108	0.99990305321129	150
pheno_43	3879	12	0.0618542965700163	0.999335980979378	150
pheno_44	1938	11	0.493221008811677	0.99231783623454	150
pheno_45	4096	13	0.0531191567539518	0.999669077728167	150
pheno_46	593	12	0.424369711062944	0.921167756391795	150
pheno_47	1838	11	0.0668513854624485	0.996536569661795	150
