env	term	statistic	p_value	location_shift	ci_lo	ci_hi	median_neg_log10p_heritable	median_neg_log10p_nonheritable	n_heritable_features	n_nonheritable_features	fdr	cohort	tissue	population	modality	run_tag
smoking	env_valueTRUE	14444	0.688997932398875	0.0108454152682099	-0.0425731171173767	0.0671559286567029	0.307386656587088	0.298625983709508	175	161	0.82679751887865	BA_only	caudate	AA	expression	nearest_gene_window_250kb
codeine	env_valueTRUE	16369	0.0103383855563485	0.0730529971540647	0.0167470349124523	0.142116585626879	0.391305274483537	0.216719028655456	175	161	0.121831108278412	BA_only	caudate	AA	expression	nearest_gene_window_250kb
morphine	env_valueTRUE	14901	0.360730049475156	0.0215100968218556	-0.0262408157593276	0.0694459121782636	0.27131887611337	0.258514415651503	175	161	0.685325780381354	BA_only	caudate	AA	expression	nearest_gene_window_250kb
cocaine	env_valueTRUE	16033	0.028773954899198	0.0480904588971359	0.00439056907095032	0.0995306414184235	0.260655285716523	0.183559345642678	175	161	0.121831108278412	BA_only	caudate	AA	expression	nearest_gene_window_250kb
ethanol	env_valueTRUE	15839	0.049013434455197	0.0428395082526347	0.000177799863368897	0.0896393549275077	0.254098909475474	0.206801314082395	175	161	0.147040303365591	BA_only	caudate	AA	expression	nearest_gene_window_250kb
nicotine	env_valueTRUE	13520	0.523850269134539	-0.0249865357181629	-0.104288522332359	0.0568326906940391	0.427870685410669	0.44776940346204	175	161	0.698467025512719	BA_only	caudate	AA	expression	nearest_gene_window_250kb
amphetamines	env_valueTRUE	15328	0.163315063553854	0.0313806930908878	-0.0129978365746652	0.0839001265814881	0.278351135043602	0.211089882424095	175	161	0.391956152529251	BA_only	caudate	AA	expression	nearest_gene_window_250kb
any_trauma_hx	env_value	16013	0.030457777069603	0.0599495392170175	0.00496216343725832	0.120089228372315	0.344412149588666	0.232152187248298	175	161	0.121831108278412	BA_only	caudate	AA	expression	nearest_gene_window_250kb
education	env_valueless_than_hs	14257	0.849317079064747	0.00530539354931715	-0.047479940072288	0.060015308827633	0.295308905417099	0.284347673857704	175	161	0.849317079064747	BA_only	caudate	AA	expression	nearest_gene_window_250kb
education	env_valuemore_than_hs	13860	0.798573669725994	-0.0108207652918214	-0.0988088869913243	0.0806140597143372	0.441642638124166	0.413472387801969	175	161	0.849317079064747	BA_only	caudate	AA	expression	nearest_gene_window_250kb
marital_status	env_valuepreviously_married	14837	0.399773371889123	0.0234800449424102	-0.0296310523176516	0.0909464871044326	0.345112242478088	0.274470279448081	175	161	0.685325780381354	BA_only	caudate	AA	expression	nearest_gene_window_250kb
marital_status	env_valuesingle	14686	0.50141067891216	0.0150044549190204	-0.0305085226261145	0.0647466882777829	0.269016885192498	0.254718025799111	175	161	0.698467025512719	BA_only	caudate	AA	expression	nearest_gene_window_250kb
