flag	h2_category	set	count
F_0.25	heritable	Caudate	3144
F_0.25	heritable	DLPFC	2549
F_0.25	heritable	Hippocampus	2487
F_0.25	heritable	Caudate&Hippocampus	1562
F_0.25	heritable	Caudate&DLPFC	1429
F_0.25	heritable	Hippocampus&DLPFC	2422
F_0.25	heritable	Caudate&Hippocampus&DLPFC	1020
F_0.25	non-heritable	Caudate	4767
F_0.25	non-heritable	DLPFC	2048
F_0.25	non-heritable	Hippocampus	2238
F_0.25	non-heritable	Caudate&Hippocampus	1227
F_0.25	non-heritable	Caudate&DLPFC	1148
F_0.25	non-heritable	Hippocampus&DLPFC	1507
F_0.25	non-heritable	Caudate&Hippocampus&DLPFC	513
F_0.25	low_prediction	Caudate	48
F_0.25	low_prediction	DLPFC	12
F_0.25	low_prediction	Hippocampus	8
F_0.25	low_prediction	Caudate&Hippocampus	16
F_0.25	low_prediction	Caudate&DLPFC	16
F_0.25	low_prediction	Hippocampus&DLPFC	28
F_0.25	low_prediction	Caudate&Hippocampus&DLPFC	13
F_0.25	all	Caudate	6639
F_0.25	all	DLPFC	2574
F_0.25	all	Hippocampus	2379
F_0.25	all	Caudate&Hippocampus	4499
F_0.25	all	Caudate&DLPFC	4423
F_0.25	all	Hippocampus&DLPFC	6936
F_0.25	all	Caudate&Hippocampus&DLPFC	3395
F_0.5	heritable	Caudate	3316
F_0.5	heritable	DLPFC	2717
F_0.5	heritable	Hippocampus	2697
F_0.5	heritable	Caudate&Hippocampus	1412
F_0.5	heritable	Caudate&DLPFC	1287
F_0.5	heritable	Hippocampus&DLPFC	2297
F_0.5	heritable	Caudate&Hippocampus&DLPFC	903
F_0.5	non-heritable	Caudate	5015
F_0.5	non-heritable	DLPFC	2242
F_0.5	non-heritable	Hippocampus	2473
F_0.5	non-heritable	Caudate&Hippocampus	1059
F_0.5	non-heritable	Caudate&DLPFC	978
F_0.5	non-heritable	Hippocampus&DLPFC	1390
F_0.5	non-heritable	Caudate&Hippocampus&DLPFC	425
F_0.5	low_prediction	Caudate	50
F_0.5	low_prediction	DLPFC	14
F_0.5	low_prediction	Hippocampus	11
F_0.5	low_prediction	Caudate&Hippocampus	14
F_0.5	low_prediction	Caudate&DLPFC	15
F_0.5	low_prediction	Hippocampus&DLPFC	26
F_0.5	low_prediction	Caudate&Hippocampus&DLPFC	12
F_0.5	all	Caudate	7191
F_0.5	all	DLPFC	3076
F_0.5	all	Hippocampus	2972
F_0.5	all	Caudate&Hippocampus	3976
F_0.5	all	Caudate&DLPFC	3881
F_0.5	all	Hippocampus&DLPFC	6490
F_0.5	all	Caudate&Hippocampus&DLPFC	2899
F_0.75	heritable	Caudate	3588
F_0.75	heritable	DLPFC	3054
F_0.75	heritable	Hippocampus	3048
F_0.75	heritable	Caudate&Hippocampus	1179
F_0.75	heritable	Caudate&DLPFC	1064
F_0.75	heritable	Hippocampus&DLPFC	2040
F_0.75	heritable	Caudate&Hippocampus&DLPFC	721
F_0.75	non-heritable	Caudate	5300
F_0.75	non-heritable	DLPFC	2596
F_0.75	non-heritable	Hippocampus	2800
F_0.75	non-heritable	Caudate&Hippocampus	862
F_0.75	non-heritable	Caudate&DLPFC	784
F_0.75	non-heritable	Hippocampus&DLPFC	1186
F_0.75	non-heritable	Caudate&Hippocampus&DLPFC	322
F_0.75	low_prediction	Caudate	50
F_0.75	low_prediction	DLPFC	17
F_0.75	low_prediction	Hippocampus	14
F_0.75	low_prediction	Caudate&Hippocampus	14
F_0.75	low_prediction	Caudate&DLPFC	14
F_0.75	low_prediction	Hippocampus&DLPFC	23
F_0.75	low_prediction	Caudate&Hippocampus&DLPFC	11
F_0.75	all	Caudate	7949
F_0.75	all	DLPFC	4030
F_0.75	all	Hippocampus	3931
F_0.75	all	Caudate&Hippocampus	3263
F_0.75	all	Caudate&DLPFC	3181
F_0.75	all	Hippocampus&DLPFC	5638
F_0.75	all	Caudate&Hippocampus&DLPFC	2259
f_0.25	heritable	Caudate	3181
f_0.25	heritable	DLPFC	2521
f_0.25	heritable	Hippocampus	2441
f_0.25	heritable	Caudate&Hippocampus	1495
f_0.25	heritable	Caudate&DLPFC	1383
f_0.25	heritable	Hippocampus&DLPFC	2421
f_0.25	heritable	Caudate&Hippocampus&DLPFC	987
f_0.25	non-heritable	Caudate	4776
f_0.25	non-heritable	DLPFC	2037
f_0.25	non-heritable	Hippocampus	2189
f_0.25	non-heritable	Caudate&Hippocampus	1187
f_0.25	non-heritable	Caudate&DLPFC	1135
f_0.25	non-heritable	Hippocampus&DLPFC	1520
f_0.25	non-heritable	Caudate&Hippocampus&DLPFC	492
f_0.25	low_prediction	Caudate	47
f_0.25	low_prediction	DLPFC	11
f_0.25	low_prediction	Hippocampus	9
f_0.25	low_prediction	Caudate&Hippocampus	18
f_0.25	low_prediction	Caudate&DLPFC	16
f_0.25	low_prediction	Hippocampus&DLPFC	28
f_0.25	low_prediction	Caudate&Hippocampus&DLPFC	14
f_0.25	all	Caudate	6687
f_0.25	all	DLPFC	2489
f_0.25	all	Hippocampus	2247
f_0.25	all	Caudate&Hippocampus	4364
f_0.25	all	Caudate&DLPFC	4309
f_0.25	all	Hippocampus&DLPFC	6945
f_0.25	all	Caudate&Hippocampus&DLPFC	3336
f_0.5	heritable	Caudate	3396
f_0.5	heritable	DLPFC	2663
f_0.5	heritable	Hippocampus	2571
f_0.5	heritable	Caudate&Hippocampus	1303
f_0.5	heritable	Caudate&DLPFC	1202
f_0.5	heritable	Hippocampus&DLPFC	2305
f_0.5	heritable	Caudate&Hippocampus&DLPFC	832
f_0.5	non-heritable	Caudate	5080
f_0.5	non-heritable	DLPFC	2228
f_0.5	non-heritable	Hippocampus	2348
f_0.5	non-heritable	Caudate&Hippocampus	978
f_0.5	non-heritable	Caudate&DLPFC	948
f_0.5	non-heritable	Hippocampus&DLPFC	1427
f_0.5	non-heritable	Caudate&Hippocampus&DLPFC	401
f_0.5	low_prediction	Caudate	48
f_0.5	low_prediction	DLPFC	13
f_0.5	low_prediction	Hippocampus	11
f_0.5	low_prediction	Caudate&Hippocampus	17
f_0.5	low_prediction	Caudate&DLPFC	16
f_0.5	low_prediction	Hippocampus&DLPFC	26
f_0.5	low_prediction	Caudate&Hippocampus&DLPFC	14
f_0.5	all	Caudate	7391
f_0.5	all	DLPFC	2892
f_0.5	all	Hippocampus	2591
f_0.5	all	Caudate&Hippocampus	3662
f_0.5	all	Caudate&DLPFC	3634
f_0.5	all	Hippocampus&DLPFC	6551
f_0.5	all	Caudate&Hippocampus&DLPFC	2686
f_0.75	heritable	Caudate	3821
f_0.75	heritable	DLPFC	2923
f_0.75	heritable	Hippocampus	2837
f_0.75	heritable	Caudate&Hippocampus	946
f_0.75	heritable	Caudate&DLPFC	867
f_0.75	heritable	Hippocampus&DLPFC	2048
f_0.75	heritable	Caudate&Hippocampus&DLPFC	565
f_0.75	non-heritable	Caudate	5470
f_0.75	non-heritable	DLPFC	2502
f_0.75	non-heritable	Hippocampus	2618
f_0.75	non-heritable	Caudate&Hippocampus	718
f_0.75	non-heritable	Caudate&DLPFC	663
f_0.75	non-heritable	Hippocampus&DLPFC	1209
f_0.75	non-heritable	Caudate&Hippocampus&DLPFC	246
f_0.75	low_prediction	Caudate	53
f_0.75	low_prediction	DLPFC	15
f_0.75	low_prediction	Hippocampus	11
f_0.75	low_prediction	Caudate&Hippocampus	12
f_0.75	low_prediction	Caudate&DLPFC	11
f_0.75	low_prediction	Hippocampus&DLPFC	23
f_0.75	low_prediction	Caudate&Hippocampus&DLPFC	9
f_0.75	all	Caudate	8508
f_0.75	all	DLPFC	3684
f_0.75	all	Hippocampus	3331
f_0.75	all	Caudate&Hippocampus	2666
f_0.75	all	Caudate&DLPFC	2635
f_0.75	all	Hippocampus&DLPFC	5735
f_0.75	all	Caudate&Hippocampus&DLPFC	1808
