sample_id	region	n_marker_coordinates	n_marker_coordinates_covered	marker_coverage_fraction	mean_marker_coverage	sample_qc_pass
Br1003	dlpfc	2937	2935	0.999319033026898	35.7817500851209	TRUE
Br1004	dlpfc	2937	2933	0.998638066053796	30.3047327204631	TRUE
Br1007	dlpfc	2937	2853	0.971399387129724	20.8120531154239	TRUE
Br1016	dlpfc	2937	2928	0.996935648621042	41.4651004426285	TRUE
Br1017	dlpfc	2937	2816	0.958801498127341	17.5219611848825	TRUE
Br1021	dlpfc	2937	2934	0.998978549540347	28.0418794688458	TRUE
Br1023	dlpfc	2937	2931	0.997957099080695	22.8811712631937	TRUE
Br1030	dlpfc	2937	2931	0.997957099080695	29.8495062989445	TRUE
Br1034	dlpfc	2937	2935	0.999319033026898	37.762683009874	TRUE
Br1039	dlpfc	2937	2936	0.999659516513449	37.5539666326183	TRUE
Br1053	dlpfc	2937	2923	0.995233231188287	23.9448416751788	TRUE
Br1054	dlpfc	2937	2884	0.981954375212802	21.702076949268	TRUE
Br1056	dlpfc	2937	2896	0.986040177051413	21.7602996254682	TRUE
Br1067	dlpfc	2937	2921	0.994552264215186	34.6356826693905	TRUE
Br1069	dlpfc	2937	2903	0.988423561457269	23.0558392917944	TRUE
Br1084	dlpfc	2937	2933	0.998638066053796	28.6091249574396	TRUE
Br1093	dlpfc	2937	2934	0.998978549540347	26.3067756213824	TRUE
Br1099	dlpfc	2937	2900	0.987402110997617	21.3752128021791	TRUE
Br1102	dlpfc	2937	2856	0.972420837589377	18.4276472591079	TRUE
Br1105	dlpfc	2937	2925	0.995914198161389	24.7442969016003	TRUE
Br1111	dlpfc	2937	2935	0.999319033026898	35.6918624446714	TRUE
Br1122	dlpfc	2937	2928	0.996935648621042	36.4865509022812	TRUE
Br1134	dlpfc	2937	2933	0.998638066053796	25.3129043241403	TRUE
Br1135	dlpfc	2937	2933	0.998638066053796	36.8423561457269	TRUE
Br1137	dlpfc	2937	2908	0.990125978890024	24.2703438883214	TRUE
Br1142	dlpfc	2937	2927	0.996595165134491	37.6084439904665	TRUE
Br1143	dlpfc	2937	2935	0.999319033026898	41.3823629553967	TRUE
Br1157	dlpfc	2937	2051	0.698331630915901	8.30268981954375	FALSE
Br1160	dlpfc	2937	2924	0.995573714674838	24.6564521620701	TRUE
Br1167	dlpfc	2937	2931	0.997957099080695	24.6523663602315	TRUE
Br1179	dlpfc	2937	2925	0.995914198161389	35.8941096356827	TRUE
Br1185	dlpfc	2937	2929	0.997276132107593	36.6625808648281	TRUE
Br1187	dlpfc	2937	2935	0.999319033026898	26.9635682669391	TRUE
Br1193	dlpfc	2937	2930	0.997616615594144	25.7851549199864	TRUE
Br1214	dlpfc	2937	2920	0.994211780728635	22.5645216207014	TRUE
Br1227	dlpfc	2937	2931	0.997957099080695	25.2291453864488	TRUE
Br1228	dlpfc	2937	2933	0.998638066053796	24.8495062989445	TRUE
Br1235	dlpfc	2937	2928	0.996935648621042	23.959822948587	TRUE
Br1245	dlpfc	2937	2929	0.997276132107593	26.3820224719101	TRUE
Br1250	dlpfc	2937	2924	0.995573714674838	24.7541709227103	TRUE
Br1263	dlpfc	2937	2921	0.994552264215186	25.1443649982976	TRUE
Br1265	dlpfc	2937	2924	0.995573714674838	24.050051072523	TRUE
Br1275	dlpfc	2937	2912	0.991487912836227	23.1327885597549	TRUE
Br1276	dlpfc	2937	2926	0.99625468164794	25.3295880149813	TRUE
Br1279	dlpfc	2937	2933	0.998638066053796	38.1283622744297	TRUE
Br1280	dlpfc	2937	2868	0.976506639427988	20.1991828396323	TRUE
Br1281	dlpfc	2937	2912	0.991487912836227	22.5985699693565	TRUE
Br1283	dlpfc	2937	2931	0.997957099080695	39.0561797752809	TRUE
Br1298	dlpfc	2937	2922	0.994892747701736	24.1504937010555	TRUE
Br1314	dlpfc	2937	2926	0.99625468164794	26.5485188968335	TRUE
Br1320	dlpfc	2937	2931	0.997957099080695	24.5137895812053	TRUE
Br1321	dlpfc	2937	2934	0.998978549540347	37.2999659516514	TRUE
Br1324	dlpfc	2937	2925	0.995914198161389	22.8750425604358	TRUE
Br1325	dlpfc	2937	2936	0.999659516513449	26.1743275451141	TRUE
Br1326	dlpfc	2937	2927	0.996595165134491	23.6598569969357	TRUE
Br1339	dlpfc	2937	2902	0.988083077970718	20.2427647259108	TRUE
Br1340	dlpfc	2937	2919	0.993871297242084	21.6149131767109	TRUE
Br1348	dlpfc	2937	2911	0.991147429349677	23.3370786516854	TRUE
Br1351	dlpfc	2937	2931	0.997957099080695	24.2056520258767	TRUE
Br1370	dlpfc	2937	2929	0.997276132107593	25.4068777664283	TRUE
Br1378	dlpfc	2937	2931	0.997957099080695	24.9261150834185	TRUE
Br1383	dlpfc	2937	2876	0.979230507320395	20.9659516513449	TRUE
Br1389	dlpfc	2937	2932	0.998297582567245	26.0459652706844	TRUE
Br1390	dlpfc	2937	2928	0.996935648621042	23.4807626830099	TRUE
Br1399	dlpfc	2937	2930	0.997616615594144	26.1767109295199	TRUE
